employee,role,ytd_hours,ytd_gross_wages,avg_weekly_hours,notes
Paulie DeStefano,Lead Crew,1820,73528.00,42,Standard rate $40.40/hr; consistent
Danny Oliveira,Crew (General + Demo),1640,55104.00,38,Standard rate $33.60/hr
Mike Russo,Apprentice Crew,1520,38912.00,35,Standard rate $25.60/hr; lower than expected for the year - see Airtable job rows for cross-check (Paulie sometimes logs shared days under his own number when Mike floats between Henderson and Westminster on the same day)
Frank Desmond,Carpentry Sub (1099),NA,NA,NA,Subcontractor paid via separate AP track; not on payroll
Laura Murray,Electrical Sub (1099),NA,NA,NA,Subcontractor paid via separate AP track; not on payroll
TOTAL_2026_YTD,Crew W-2 Payroll,4980,167544.00,38.3,YTD 2026 actual payroll growth +9.1% over 2025 baseline of $155000; broker preliminary assumes +18% so the +9.1% Gusto actual is the lever
TOTAL_2025_YTD,Crew W-2 Payroll (prior),4720,153510.00,36.4,2025 actual reference for the year-over-year comparison
Paulie DeStefano - Jan,Lead Crew,168,6787.20,42,January weeks 1-4; on Marquez bath prep
Paulie DeStefano - Feb,Lead Crew,160,6464.00,40,February weeks; Brennan close
Paulie DeStefano - Mar,Lead Crew,176,7110.40,44,March; kitchen jobs pickup
Paulie DeStefano - Aug,Lead Crew,168,6787.20,42,Peak season steady
Paulie DeStefano - Sep,Lead Crew,172,6948.80,43,Volpicelli phase 1 heavy
Paulie DeStefano - Oct,Lead Crew,176,7110.40,44,Henderson kitchen rough-in lead
Danny Oliveira - Jan,Crew (General + Demo),152,5107.20,38,Normal ramp
Danny Oliveira - Sep,Crew (General + Demo),168,5644.80,42,Coletti basement demo lead
Danny Oliveira - Oct,Crew (General + Demo),172,5779.20,43,Owen commercial prep sink
Mike Russo - Jan,Apprentice Crew,120,3072.00,30,Ramp month; shorter days
Mike Russo - Jun,Apprentice Crew,144,3686.40,36,Volpicelli assist
Mike Russo - Oct,Apprentice Crew,152,3891.20,38,Airtable clock-in shows 172 for Oct due to shared Henderson Westminster days; Gusto import lags
Note: Airtable clock-in reference,See Airtable job crew rows,NA,NA,NA,Airtable clock-in is the timestamped source; use it if Gusto and Airtable disagree
Note: 2027 broker preliminary letter,Attached in broker_renewal_thread.eml,NA,NA,NA,Broker assumes +18% payroll growth; Gusto actual +9.1% is the lever to push back
Note: Overtime policy,Time-and-a-half above 40h weekly,NA,NA,NA,Applied to weekly hours not YTD roll-up; overtime pool tracked separately
Note: Bonus pool,Computed off gross revenue not payroll,NA,NA,NA,See prior_year_bonus_distribution.csv for the 3% weighted formula and per-head floor
Paulie DeStefano - Nov (partial),Lead Crew,88,3555.20,44,First two weeks of Nov; strong Henderson push
Danny Oliveira - Nov (partial),Crew (General + Demo),84,2822.40,42,First two weeks of Nov; Coletti basement wrap
Mike Russo - Nov (partial),Apprentice Crew,72,1843.20,36,First two weeks; Airtable clock-in reconciled 82h for same period
Note: Nov WC premium,Workers comp accrual,NA,NA,NA,Nov WC accrual runs $645 based on Gusto payroll rate; separate from broker prelim
Note: Nov payroll tax federal,IRS 941 accrual,NA,NA,NA,Nov 941 accrual approx $2280
Note: Nov payroll tax state,RI DLT accrual,NA,NA,NA,Nov RI DLT accrual approx $410
Note: Time-off balances,PTO and sick,NA,NA,NA,Paulie 24h PTO 8h sick; Danny 16h PTO 8h sick; Mike 8h PTO 4h sick
