deal_id,client_name,address,scope_summary,budget_range,stage,source,first_contact,last_touchpoint,notes
HUB-3001,Sullivan,93 Brook St,Kitchen + bath dual,40-50k,Estimate Sent,East Side referral,2026-10-22,2026-11-05,Mary Sullivan; mother-in-law referral
HUB-3002,Reilly,67 Larch St,Kitchen full,30-35k,Estimate Sent,Word of mouth,2026-10-18,2026-11-02,Kim Reilly responsive; budget firm
HUB-3003,Chen,144 Power St,Kitchen remodel,35-40k,Estimate Sent,Website intake,2026-10-25,2026-11-05,Wei Chen; wants January start
HUB-3004,Lin,4 Tobey St,Kitchen remodel,28-32k,Estimate Sent,Website intake,2026-11-01,2026-11-08,Amy Lin
HUB-3005,Velasquez,28 Holland St,Bath remodel,18-22k,Estimate Sent,Word of mouth,2026-11-04,2026-11-08,Maria Velasquez
HUB-3006,Mitsotakis,201 Wickenden St,Bath remodel,20-25k,Estimate Sent,East Side referral,2026-10-30,2026-11-06,Helen Mitsotakis
HUB-3007,Volpicelli Group,156 Atwells Ave,Commercial buildout phase 1,55-70k,Booked,Repeat client,2026-09-12,2026-11-04,Phase 1 of Atwells expansion
HUB-3008,Patel,71 Olney St,Bath remodel,20-25k,Booked,Website intake,2026-10-08,2026-11-04,Anil Patel; deposit collected
HUB-3009,Owen-Maxwell,176 Doyle Ave,Commercial buildout phase 2,60-75k,Estimate Sent,Repeat client,2026-10-12,2026-11-05,Phase 2 follow-up to J-2026-006
HUB-3010,Bergstrom,89 Angell St,Kitchen remodel,32-38k,Lead,East Side referral,2026-10-25,2026-10-25,Anna Bergstrom; first call only
HUB-3011,Tobin,5 Olney St,Bath replacement,12-15k,Lead,Website intake,2026-09-28,2026-09-28,Cold; no response to follow-up
HUB-3012,Yamamoto,38 Camp St,Kitchen pipe replacement,4-6k,Closed Lost,Word of mouth,2026-08-15,2026-09-10,Went with cheaper bid
HUB-3013,Akhtar,12 Brook St,Kitchen full,40-45k,Lead,East Side referral,2026-10-30,2026-11-04,Salim Akhtar; interested in February start
HUB-3014,Conrad,98 Hope St,Bath remodel,18-22k,Lead,Word of mouth,2026-10-22,2026-10-22,Linda Conrad; first call only
HUB-3015,Lutz,144 Doyle Ave,Commercial sink,3-4k,Lead,Repeat client,2026-09-15,2026-09-15,Cold; price-sensitive
HUB-3016,Pak,72 Wickenden St,Kitchen update,15-20k,Lead,College Hill referral,2026-11-02,2026-11-08,Junho Pak; wants spring
HUB-3017,Trotta,113 Wickenden St,Boiler replacement,8-10k,Closed Won,Repeat client,2026-10-15,2026-10-30,Closed as J-2026-024 emergency
HUB-3018,Coletti,84 Oakwood Dr,Basement finish,30-35k,Booked,East Side referral,2026-09-02,2026-11-05,Booked as J-2026-002 in progress
HUB-3019,Henderson,12 Elmwood Ave,Kitchen remodel,18-22k,Closed Won,Word of mouth,2026-08-08,2026-11-05,Active as J-2026-001; near completion
HUB-3020,Greco,87 Hope St,Kitchen + addition,40-50k,Closed Won,East Side referral,2026-10-08,2026-11-05,Active as J-2026-025
HUB-3021,DiCenzo,4 Manning St,Basement pump,2-4k,Closed Won,Repeat client,2026-10-15,2026-10-25,Closed as J-2026-011
HUB-3022,Riggs,18 Knight St,Bath full,25-30k,Lead,Word of mouth,2026-08-20,2026-08-20,Cold; no follow-up after summer
HUB-3023,Wessel,4 Cedar St,Kitchen + bath,45-55k,Lead,East Side referral,2026-10-15,2026-11-04,Helena Wessel; serious budget
HUB-3024,Brennan,55 Slater Mill Ln,Kitchen pipe replacement,6-8k,Closed Won,Repeat client,2026-08-04,2026-10-02,Closed as J-2026-004
HUB-3025,Marquez,33 Wickenden St,Bath replacement,8-10k,Closed Won,Word of mouth,2026-08-22,2026-10-04,Closed as J-2026-005
HUB-3026,Cohen,42 Sheldon St,Bath remodel,16-20k,Closed Won,Website intake,2026-10-22,2026-11-04,Active as J-2026-008
HUB-3027,Tannenbaum,38 Knight St,Bath addition,24-28k,Closed Won,East Side referral,2026-09-26,2026-11-04,Active as J-2026-014
HUB-3028,Park,201 Hope St,Bath remodel,15-18k,Closed Won,Word of mouth,2026-10-25,2026-11-04,Active as J-2026-012
HUB-3029,Adler,52 Benefit St,Bath full,22-26k,Closed Won,East Side referral,2026-11-02,2026-11-05,Active as J-2026-020
HUB-3030,Hayashi,76 Camp St,Kitchen full,35-40k,Closed Won,East Side referral,2026-10-12,2026-11-05,Active as J-2026-007
HUB-3031,Brassard-Annex,44 Friendship St,Bath secondary,11-14k,Closed Won,Repeat client,2026-10-30,2026-11-05,Active as J-2026-030
HUB-3032,Lutowski,151 Hope St,Kitchen full,32-38k,Lead,East Side referral,2026-10-28,2026-11-07,Tracy Lutowski; spring/summer ideal
