candidate_id,name,status,years_experience,certifications,vehicle,fitness_clear,applied_date,resume_summary,notes
APP-001,Carla Mendoza,Active,3,UA Local 51 Apprenticeship 2022; OSHA 30,Tacoma 2018,Yes,2026-09-12,3 years residential plumbing at Quinn Plumbing (Cranston); helped lead remodel side; references strong,Quinn closing Q1 2027; open to start in spring
APP-002,Devin Brooks,Active,4,UA Local 51 Apprenticeship 2021; CPR; OSHA 10,Sierra 2017,Yes,2026-09-18,4 years apprentice at IBEW union shop; helped on commercial sites; eager to learn remodel side,Wants to step into residential
APP-003,Aaron Polanski,Active,5,UA Local 51 Journeyman 2023; OSHA 30; backflow,Silverado 2020,Yes,2026-09-25,5 years general plumbing across union shops; full residential cert,Most experienced; salary expectations may be higher
APP-004,Tomas Reis,Active,3,UA Local 51 Apprenticeship 2022; OSHA 10,Tundra 2019,Yes,2026-09-08,3 years plumbing; mixed residential and small commercial,Original target; status not refreshed since application
APP-005,Maria Costa,Active,2,Hand-tools only; no UA registration,No,Pending,2026-10-02,2 years general construction labor; wants to learn the trade,Lack of UA registration is a problem
APP-006,Brett Kowalski,Active,4,UA Local 51 Apprenticeship 2021; OSHA 30,Ford F150 2016,Yes,2026-10-08,4 years apprentice at Carrigan Plumbing; small remodels,Felony 2014 (drug possession); fitness review needed; flagged
APP-007,Sophie Carlin,Active,1,OSHA 10,Honda CRV 2018,Yes,2026-10-14,1 year apprentice at Hanson Builders; mostly framing; wants the plumbing path,Too junior for the role
APP-008,Marcus Andre,Active,3,UA Local 51 Apprenticeship 2023; CPR,Tacoma 2015,Yes,2026-10-18,3 years residential plumbing at small Pawtucket shop,Decent fit; references mid
APP-009,Patricia Ng,Active,2,UA Local 51 Apprenticeship 2024; CPR,Toyota Highlander 2019,Yes,2026-10-22,2 years residential plumbing apprentice; wants to learn remodels,Could grow into the role
APP-010,Frank DiSanto,Active,6,UA Local 51 Journeyman 2020; OSHA 30; backflow,Ford F250 2019,Yes,2026-10-25,6 years across union shops; ran his own crew for 2,Too senior for apprentice; would want to be lead
APP-011,Rina Alves,Active,3,UA Local 51 Apprenticeship 2022; OSHA 10,Nissan Rogue 2018,Yes,2026-10-28,3 years residential plumbing at Barros Plumbing (Pawtucket); wants remodel side,Barros scaling back; solid references
APP-012,Alex Petrov,Active,2,UA Local 51 Apprenticeship 2024; CPR,Ford Ranger 2017,Yes,2026-11-01,2 years at Cottrell Plumbing; entry level but strong attitude,Wants to grow with Murray crew
APP-013,Nicole Dubois,Active,4,UA Local 51 Apprenticeship 2020; OSHA 30,Subaru Outback 2020,Yes,2026-11-02,4 years at Woonsocket residential shop; some kitchen remodel work,Solid mid-level candidate
APP-014,Ted Ohara,Active,5,UA Local 51 Journeyman 2023; OSHA 30; backflow,Chevy Colorado 2016,Yes,2026-11-04,5 years mixed commercial residential; wants smaller crew,Journeyman rate expectation may be an issue
APP-015,Michelle Grady,Active,1,OSHA 10; no UA registration,Toyota Rav4 2017,Yes,2026-11-05,1 year construction adjacent; night classes for UA registration,Too junior; interesting profile long term
APP-016,Ravi Iyer,Active,3,UA Local 51 Apprenticeship 2023; OSHA 10; CPR,Honda Pilot 2019,Yes,2026-11-06,3 years residential plumbing at Bristol shop; commutes long,Commute concern; otherwise strong
APP-017,Sam Kaplan,Active,2,UA Local 51 Apprenticeship 2024,Ford F150 2015,Yes,2026-11-06,2 years at small East Providence shop; mostly service calls,Middle of pack
APP-018,Judy Pham,Active,2,UA Local 51 Apprenticeship 2024; OSHA 10,Mazda CX5 2018,Yes,2026-11-07,2 years at Providence shop; wants steadier crew,Reasonable ramp candidate
APP-019,Curtis Bell,Withdrawn,0,None,None listed,No,2026-10-04,Applied speculatively; no plumbing background,Withdrew after learning UA prerequisite
APP-020,Karen Sullivan,Withdrawn,3,UA Local 51 Apprenticeship 2022,Toyota Camry 2019,Yes,2026-09-30,3 years plumbing; withdrew for family relocation to CT,Not available for 2027 start
Reference notes,,,,,,,,Airtable clock-in log holds actual hours by candidate for the reference letter template,See ua_local51_apprentice_reference.txt for the letter shell used for Mike Russo
APP-021,Ivan Cordero,Active,4,UA Local 51 Apprenticeship 2020; OSHA 30,Chevy Silverado 2018,Yes,2026-11-08,4 years at Central Falls plumbing shop; wants residential remodel focus,Solid; would slot in behind Aaron
APP-022,Wendy Kraus,Active,3,UA Local 51 Apprenticeship 2023; OSHA 10,Nissan Frontier 2019,Yes,2026-11-08,3 years mixed residential and small commercial in Warwick,Reasonable candidate for spring
Status flag,Applications older than 60 days without touchpoint,,,,,,,Automatically flagged as Cold in the tracker,Cutoff reference date is 2026-11-09 for the current sweep
Process note,Pipeline stage from Greenhouse feed,,,,,,,Not automatically reconciled with LinkedIn public profile updates,Where a candidate's public profile shows a new employer that beats the Greenhouse status; use the LinkedIn profile as the trusted read
Interview scoring rubric,Score 1-5 across rough-in service and boiler work,,,,,,,Scored during on-site trial day,Not shown here; kept in the shop binder
