Id,DisplayName,GivenName,FamilyName,CompanyName,PrimaryEmailAddr,PrimaryPhone,BillAddr_Line1,BillAddr_City,BillAddr_CountrySubDivisionCode,BillAddr_PostalCode,Balance,Active,Job,Notes
C001,Cafe Nostalgia,Tatiana,Ivanova,Cafe Nostalgia LLC,orders.tatiana@gmail.com,718-555-0311,3018 Brighton 2nd Street,Brooklyn,NY,11235,272.00,true,false,MWF drop 07 00 to 07 30
C002,Brownstone Bookshop Cafe,Anya,Rothman,Brownstone Bookshop Cafe Inc,orders@brownstonebookshop.com,347-555-0142,1204 Cortelyou Road,Brooklyn,NY,11218,171.00,true,false,MWF drop 07 30 to 08 00
C003,Heritage Deli,Sami,Levine,Heritage Deli Corp,manager@heritagedeli.com,718-555-0489,415 Kings Highway,Brooklyn,NY,11223,264.00,true,false,MWF drop 08 00 to 08 30
C010,Custom Retail Holiday 2026,,,Retail Holiday 2026,,,,,,,0.00,true,false,Umbrella customer for individual holiday custom pickups
C004,Seaside Roasters,Marco,Bianchi,Seaside Roasters LLC,orders@seasideroasters.com,718-555-0221,88 Brighton Beach Ave,Brooklyn,NY,11235,88.00,true,false,Tue Thu standing delivery
C005,Park Slope Provisions,Leah,Goldstein,Park Slope Provisions Inc,wholesale@parkslopeprov.com,718-555-0334,412 7th Avenue,Brooklyn,NY,11215,124.50,true,false,Tue Thu standing delivery
C006,Bay Ridge Market,Tony,Esposito,Bay Ridge Market Corp,bakery@bayridgemarket.com,718-555-0445,7803 3rd Avenue,Brooklyn,NY,11209,96.00,true,false,Tue Thu standing delivery
C007,Coney Island Bodega,Rosa,Mendez,Coney Island Bodega LLC,orders@coneybodega.com,718-555-0556,1201 Surf Avenue,Brooklyn,NY,11224,52.00,true,false,Tue Thu standing delivery
C008,Gravesend Deli,Ivan,Petrov,Gravesend Deli Corp,manager@gravesenddeli.com,718-555-0667,2350 McDonald Avenue,Brooklyn,NY,11223,78.00,true,false,Tue Thu standing delivery
C009,Sheepshead Bay Cafe,Nina,Kowalski,Sheepshead Bay Cafe LLC,orders@sheepsheadcafe.com,718-555-0778,1601 Sheepshead Bay Road,Brooklyn,NY,11235,110.00,true,false,Tue Thu standing delivery
C011,Brighton Beach Grocery,Oleg,Volkov,Brighton Beach Grocery Inc,wholesale@brightongrocery.com,718-555-0889,101 Brighton Beach Avenue,Brooklyn,NY,11235,64.00,true,false,Tue Thu standing delivery
C012,Manhattan Beach Market,Sara,Cohen,Manhattan Beach Market LLC,orders@mbmarket.com,718-555-0990,45 Oriental Boulevard,Brooklyn,NY,11235,142.00,true,false,Tue Thu standing delivery
C013,Flatbush Farm Stand,James,Washington,Flatbush Farm Stand Corp,orders@flatbushfarm.com,718-555-0101,2200 Church Avenue,Brooklyn,NY,11226,88.50,true,false,Tue Thu standing delivery
C014,Ditmas Park Bakery Cafe,Maya,Patel,Ditmas Park Bakery Cafe Inc,wholesale@ditmasbakery.com,718-555-0112,1801 Cortelyou Road,Brooklyn,NY,11226,76.00,true,false,Tue Thu standing delivery
C015,Ocean Avenue Coffee,Dmitri,Sokolov,Ocean Avenue Coffee LLC,orders@oceanavecoffee.com,718-555-0123,1725 Ocean Avenue,Brooklyn,NY,11230,102.00,true,false,Tue Thu standing delivery
C016,Kings Highway Cafe,Rebecca,Green,Kings Highway Cafe Inc,wholesale@kingshwycafe.com,718-555-0134,1420 Kings Highway,Brooklyn,NY,11229,58.00,true,false,Tue Thu standing delivery
C017,Emmons Fish Market Deli,Angelo,Russo,Emmons Market Corp,orders@emmonsmarket.com,718-555-0145,2925 Emmons Avenue,Brooklyn,NY,11235,44.00,true,false,Tue Thu standing delivery
C018,Cortelyou Greenmarket Stand,Hannah,Feldman,Cortelyou Greenmarket LLC,orders@cortelyoumarket.com,347-555-0156,Cortelyou Road at Argyle,Brooklyn,NY,11226,0.00,true,false,Saturday market stand seasonal
C019,Bensonhurst Bakery Supply,Vito,Marino,Bensonhurst Bakery Supply Inc,orders@bensonhurstsupply.com,718-555-0167,6820 18th Avenue,Brooklyn,NY,11204,133.50,true,false,Tue Thu standing delivery
C020,Midwood Coffee House,Sarah,Klein,Midwood Coffee House LLC,wholesale@midwoodcoffee.com,718-555-0178,1512 Avenue J,Brooklyn,NY,11230,67.00,true,false,Tue Thu standing delivery
C021,Priya Sharma,Priya,Sharma,,priya.sharma88@gmail.com,347-555-0189,155 Brighton 11th Street,Brooklyn,NY,11235,0.00,true,false,Holiday custom pie preorder retail contact
C022,Jerome Baptiste,Jerome,Baptiste,,jerome.baptiste@gmail.com,646-555-0190,2840 Ocean Parkway,Brooklyn,NY,11235,0.00,true,false,Holiday custom pie preorder retail contact
