id,company_id,first_name,last_name,business_name,type,email,hourly_rate,wage_type,start_date
gcon-0001,comp-moonlight,Jordan,Mendoza,,Individual,jordan.mendoza@example.com,110.78,Hourly,2026-08-05
gcon-0002,comp-moonlight,Nina,Beltran,,Individual,nina.beltran@example.com,69.44,Hourly,2025-06-13
gcon-0003,comp-moonlight,,,Cho Health LLC,Business,billing@cho.example.com,0.00,Fixed,2025-04-01
gcon-0004,comp-moonlight,,,Ortega Care LLC,Business,billing@ortega.example.com,0.00,Fixed,2025-09-22
gcon-0005,comp-moonlight,Natalia,Nair,,Individual,natalia.nair@example.com,87.18,Hourly,2025-03-22
gcon-0006,comp-moonlight,Nadia,Mendoza,,Individual,nadia.mendoza@example.com,64.74,Hourly,2025-01-03
gcon-0007,comp-moonlight,Signal,Whitfield,,Individual,signal.whitfield@example.com,115.37,Hourly,2025-10-14
gcon-0008,comp-moonlight,Guillermo,Herrera,,Individual,guillermo.herrera@example.com,40.03,Hourly,2025-08-22
gcon-0009,comp-moonlight,,,Fuentes Health LLC,Business,billing@fuentes.example.com,0.00,Fixed,2025-07-10
gcon-0010,comp-moonlight,,,Guzman Care LLC,Business,billing@guzman.example.com,0.00,Fixed,2026-06-06
gcon-0011,comp-moonlight,,,Rojas Care LLC,Business,billing@rojas.example.com,0.00,Fixed,2025-08-08
gcon-0012,comp-moonlight,Ximena,Contreras,,Individual,ximena.contreras@example.com,65.87,Hourly,2026-08-22
gcon-0013,comp-moonlight,Beatriz,Marchetti,,Individual,beatriz.marchetti@example.com,76.68,Hourly,2025-08-30
gcon-0014,comp-moonlight,,,Contreras Health LLC,Business,billing@contreras.example.com,0.00,Fixed,2026-05-22
gcon-0015,comp-moonlight,Ines,Marchetti,,Individual,ines.marchetti@example.com,71.53,Hourly,2025-11-25
gcon-0016,comp-moonlight,,,Bautista Health LLC,Business,billing@bautista.example.com,0.00,Fixed,2025-03-29
gcon-0017,comp-moonlight,Priya,Fuentes,,Individual,priya.fuentes@example.com,73.62,Hourly,2025-09-28
gcon-0018,comp-moonlight,,,Escobar Medical LLC,Business,billing@escobar.example.com,0.00,Fixed,2026-06-29
gcon-0019,comp-moonlight,Ricardo,Cortes,,Individual,ricardo.cortes@example.com,88.14,Hourly,2025-10-25
gcon-0020,comp-moonlight,Hana,Ramirez,,Individual,hana.ramirez@example.com,61.24,Hourly,2025-07-15
gcon-0021,comp-moonlight,Ramon,Escobar,,Individual,ramon.escobar@example.com,98.42,Hourly,2026-04-22
gcon-0022,comp-moonlight,Beatriz,Fuentes,,Individual,beatriz.fuentes@example.com,55.80,Hourly,2025-01-19
gcon-0023,comp-moonlight,Signal,Navarro,,Individual,signal.navarro@example.com,82.72,Hourly,2026-06-16
gcon-0024,comp-moonlight,Fernando,Salazar,,Individual,fernando.salazar@example.com,80.60,Hourly,2025-05-15
gcon-0025,comp-moonlight,,,Vargas Health LLC,Business,billing@vargas.example.com,0.00,Fixed,2026-04-19
gcon-0026,comp-moonlight,,,Mendoza Care LLC,Business,billing@mendoza.example.com,0.00,Fixed,2025-01-16
gcon-0027,comp-moonlight,Hector,Contreras,,Individual,hector.contreras@example.com,116.29,Hourly,2025-10-22
gcon-0028,comp-moonlight,Alejandro,Guzman,,Individual,alejandro.guzman@example.com,40.21,Hourly,2025-09-17
gcon-0029,comp-moonlight,,,Rangel Health LLC,Business,billing@rangel.example.com,0.00,Fixed,2025-07-31
gcon-0030,comp-moonlight,Adriana,Herrera,,Individual,adriana.herrera@example.com,74.18,Hourly,2026-05-25
gcon-0031,comp-moonlight,Emilio,Bautista,,Individual,emilio.bautista@example.com,88.85,Hourly,2026-01-01
gcon-0032,comp-moonlight,,,Park Care LLC,Business,billing@park.example.com,0.00,Fixed,2025-01-12
