id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
gcomp-0001,gemp-0001,Resident Physician (Moonlight),95.00,Hour,Non-Exempt,2026-08-01
gcomp-0002,gemp-0002,Attending (Locum),130.42,Hour,Non-Exempt,2025-08-18
gcomp-0003,gemp-0003,Resident Physician (Moonlight),133.21,Hour,Non-Exempt,2026-05-26
gcomp-0004,gemp-0004,Medical Assistant,105.20,Hour,Non-Exempt,2025-04-13
gcomp-0005,gemp-0005,Attending (Locum),114.17,Hour,Non-Exempt,2025-06-20
gcomp-0006,gemp-0006,Attending (Locum),138.68,Hour,Non-Exempt,2025-04-20
gcomp-0007,gemp-0007,Medical Assistant,116.09,Hour,Non-Exempt,2025-03-16
gcomp-0008,gemp-0008,Resident Physician (Moonlight),140.00,Hour,Non-Exempt,2025-12-22
gcomp-0009,gemp-0009,Nurse Practitioner,97.27,Hour,Non-Exempt,2026-05-20
gcomp-0010,gemp-0010,Resident Physician (Moonlight),113.89,Hour,Non-Exempt,2025-10-20
gcomp-0011,gemp-0011,Nurse Practitioner,58.87,Hour,Non-Exempt,2025-08-26
gcomp-0012,gemp-0012,Attending (Locum),109.39,Hour,Non-Exempt,2026-02-15
gcomp-0013,gemp-0013,Resident Physician (Moonlight),133.61,Hour,Non-Exempt,2025-02-12
gcomp-0014,gemp-0014,Nurse Practitioner,113.86,Hour,Non-Exempt,2026-01-21
gcomp-0015,gemp-0015,Medical Assistant,49.74,Hour,Non-Exempt,2026-08-23
gcomp-0016,gemp-0016,Attending (Locum),110.42,Hour,Non-Exempt,2025-02-17
gcomp-0017,gemp-0017,Nurse Practitioner,119.52,Hour,Non-Exempt,2025-10-28
gcomp-0018,gemp-0018,Attending (Locum),91.03,Hour,Non-Exempt,2026-07-22
gcomp-0019,gemp-0019,Nurse Practitioner,76.54,Hour,Non-Exempt,2026-06-11
gcomp-0020,gemp-0020,Attending (Locum),57.24,Hour,Non-Exempt,2026-08-19
gcomp-0021,gemp-0021,Attending (Locum),99.24,Hour,Non-Exempt,2025-12-12
gcomp-0022,gemp-0022,Resident Physician (Moonlight),99.84,Hour,Non-Exempt,2026-02-19
gcomp-0023,gemp-0023,Nurse Practitioner,53.63,Hour,Non-Exempt,2026-04-28
gcomp-0024,gemp-0024,Attending (Locum),90.93,Hour,Non-Exempt,2026-02-16
gcomp-0025,gemp-0025,Nurse Practitioner,69.46,Hour,Non-Exempt,2025-06-26
gcomp-0026,gemp-0026,Medical Assistant,91.61,Hour,Non-Exempt,2026-03-06
gcomp-0027,gemp-0027,Attending (Locum),108.63,Hour,Non-Exempt,2025-01-17
gcomp-0028,gemp-0028,Attending (Locum),50.71,Hour,Non-Exempt,2025-11-30
gcomp-0029,gemp-0029,Attending (Locum),85.02,Hour,Non-Exempt,2025-01-16
gcomp-0030,gemp-0030,Nurse Practitioner,57.78,Hour,Non-Exempt,2026-06-15
gcomp-0031,gemp-0031,Medical Assistant,122.73,Hour,Non-Exempt,2025-07-26
gcomp-0032,gemp-0032,Nurse Practitioner,92.02,Hour,Non-Exempt,2025-06-03
gcomp-0033,gemp-0033,Resident Physician (Moonlight),73.49,Hour,Non-Exempt,2026-05-20
gcomp-0034,gemp-0034,Attending (Locum),78.88,Hour,Non-Exempt,2025-06-09
gcomp-0035,gemp-0035,Resident Physician (Moonlight),83.18,Hour,Non-Exempt,2025-03-30
gcomp-0036,gemp-0036,Resident Physician (Moonlight),113.52,Hour,Non-Exempt,2025-06-08
gcomp-0037,gemp-0037,Nurse Practitioner,48.58,Hour,Non-Exempt,2026-04-23
gcomp-0038,gemp-0038,Attending (Locum),89.23,Hour,Non-Exempt,2026-03-18
gcomp-0039,gemp-0039,Nurse Practitioner,98.88,Hour,Non-Exempt,2026-03-11
gcomp-0040,gemp-0040,Nurse Practitioner,130.76,Hour,Non-Exempt,2025-04-21
gcomp-0041,gemp-0041,Resident Physician (Moonlight),92.22,Hour,Non-Exempt,2026-02-13
gcomp-0042,gemp-0042,Medical Assistant,103.60,Hour,Non-Exempt,2025-11-07
gcomp-0043,gemp-0043,Nurse Practitioner,115.43,Hour,Non-Exempt,2025-11-22
gcomp-0044,gemp-0044,Resident Physician (Moonlight),116.90,Hour,Non-Exempt,2026-05-29
gcomp-0045,gemp-0045,Resident Physician (Moonlight),98.52,Hour,Non-Exempt,2025-12-20
gcomp-0046,gemp-0046,Nurse Practitioner,58.42,Hour,Non-Exempt,2025-09-03
gcomp-0047,gemp-0047,Medical Assistant,64.29,Hour,Non-Exempt,2025-12-03
gcomp-0048,gemp-0048,Resident Physician (Moonlight),108.86,Hour,Non-Exempt,2025-10-15
gcomp-0049,gemp-0049,Medical Assistant,78.81,Hour,Non-Exempt,2026-07-03
gcomp-0050,gemp-0050,Resident Physician (Moonlight),84.13,Hour,Non-Exempt,2026-02-21
gcomp-0051,gemp-0051,Medical Assistant,96.34,Hour,Non-Exempt,2026-03-06
gcomp-0052,gemp-0052,Attending (Locum),58.53,Hour,Non-Exempt,2025-02-14
gcomp-0053,gemp-0053,Attending (Locum),108.25,Hour,Non-Exempt,2025-03-27
gcomp-0054,gemp-0054,Medical Assistant,60.84,Hour,Non-Exempt,2025-04-18
gcomp-0055,gemp-0055,Attending (Locum),112.00,Hour,Non-Exempt,2025-12-29
gcomp-0056,gemp-0056,Medical Assistant,85.27,Hour,Non-Exempt,2026-01-16
gcomp-0057,gemp-0057,Attending (Locum),47.87,Hour,Non-Exempt,2026-01-10
gcomp-0058,gemp-0058,Nurse Practitioner,92.03,Hour,Non-Exempt,2026-08-17
gcomp-0059,gemp-0059,Resident Physician (Moonlight),54.15,Hour,Non-Exempt,2026-03-25
gcomp-0060,gemp-0060,Resident Physician (Moonlight),55.49,Hour,Non-Exempt,2026-08-16
gcomp-0061,gemp-0061,Medical Assistant,119.40,Hour,Non-Exempt,2026-05-26
gcomp-0062,gemp-0062,Resident Physician (Moonlight),95.61,Hour,Non-Exempt,2025-01-16
gcomp-0063,gemp-0063,Nurse Practitioner,126.83,Hour,Non-Exempt,2025-07-22
gcomp-0064,gemp-0064,Attending (Locum),65.81,Hour,Non-Exempt,2025-02-04
gcomp-0065,gemp-0065,Medical Assistant,123.23,Hour,Non-Exempt,2026-05-07
gcomp-0066,gemp-0066,Nurse Practitioner,112.30,Hour,Non-Exempt,2026-02-27
gcomp-0067,gemp-0067,Medical Assistant,50.32,Hour,Non-Exempt,2025-11-02
gcomp-0068,gemp-0068,Attending (Locum),115.85,Hour,Non-Exempt,2026-06-03
gcomp-0069,gemp-0069,Resident Physician (Moonlight),129.22,Hour,Non-Exempt,2025-01-12
gcomp-0070,gemp-0070,Attending (Locum),47.93,Hour,Non-Exempt,2025-07-19
gcomp-0071,gemp-0071,Resident Physician (Moonlight),81.73,Hour,Non-Exempt,2026-03-13
gcomp-0072,gemp-0072,Medical Assistant,57.55,Hour,Non-Exempt,2025-06-17
gcomp-0073,gemp-0073,Attending (Locum),99.76,Hour,Non-Exempt,2025-03-08
gcomp-0074,gemp-0074,Attending (Locum),61.58,Hour,Non-Exempt,2025-02-17
gcomp-0075,gemp-0075,Attending (Locum),122.54,Hour,Non-Exempt,2025-04-19
gcomp-0076,gemp-0076,Medical Assistant,112.83,Hour,Non-Exempt,2026-07-30
gcomp-0077,gemp-0077,Resident Physician (Moonlight),78.86,Hour,Non-Exempt,2025-10-28
gcomp-0078,gemp-0078,Nurse Practitioner,131.94,Hour,Non-Exempt,2025-04-16
gcomp-0079,gemp-0079,Resident Physician (Moonlight),69.44,Hour,Non-Exempt,2025-04-07
gcomp-0080,gemp-0080,Resident Physician (Moonlight),80.50,Hour,Non-Exempt,2025-08-14
gcomp-0081,gemp-0081,Medical Assistant,61.58,Hour,Non-Exempt,2026-06-23
gcomp-0082,gemp-0082,Nurse Practitioner,111.21,Hour,Non-Exempt,2026-04-30
gcomp-0083,gemp-0083,Nurse Practitioner,132.38,Hour,Non-Exempt,2025-08-26
gcomp-0084,gemp-0084,Nurse Practitioner,63.54,Hour,Non-Exempt,2025-10-27
gcomp-0085,gemp-0085,Medical Assistant,130.27,Hour,Non-Exempt,2026-02-11
gcomp-0086,gemp-0086,Attending (Locum),122.21,Hour,Non-Exempt,2026-05-21
gcomp-0087,gemp-0087,Resident Physician (Moonlight),128.56,Hour,Non-Exempt,2026-07-18
gcomp-0088,gemp-0088,Nurse Practitioner,100.25,Hour,Non-Exempt,2026-07-14
gcomp-0089,gemp-0089,Resident Physician (Moonlight),138.01,Hour,Non-Exempt,2025-11-10
gcomp-0090,gemp-0090,Medical Assistant,103.68,Hour,Non-Exempt,2025-10-29
gcomp-0091,gemp-0091,Nurse Practitioner,45.62,Hour,Non-Exempt,2025-04-14
gcomp-0092,gemp-0092,Medical Assistant,133.83,Hour,Non-Exempt,2026-02-08
gcomp-0093,gemp-0093,Resident Physician (Moonlight),48.22,Hour,Non-Exempt,2026-03-13
gcomp-0094,gemp-0094,Resident Physician (Moonlight),60.78,Hour,Non-Exempt,2026-03-18
