id,first_name,last_name,email,login,status,created,activated,last_login
okta_creed,Carlos,Reed,creed@torchwoodlabs.com,creed@torchwoodlabs.com,ACTIVE,2020-06-01T09:00:00Z,2020-06-01T14:00:00Z,2026-12-19T08:42:11Z
okta_jwu,Jason,Wu,jwu@torchwoodlabs.com,jwu@torchwoodlabs.com,ACTIVE,2018-03-15T09:00:00Z,2018-03-15T13:00:00Z,2026-12-19T09:12:00Z
okta_priya,Priya,Kumar,pkumar@torchwoodlabs.com,pkumar@torchwoodlabs.com,ACTIVE,2021-04-01T09:00:00Z,2021-04-01T13:00:00Z,2026-12-19T08:15:00Z
okta_yuki,Yuki,Tanaka,ytanaka@torchwoodlabs.com,ytanaka@torchwoodlabs.com,ACTIVE,2022-01-10T09:00:00Z,2022-01-10T13:00:00Z,2026-12-18T18:22:00Z
okta_aisha,Aisha,Patel,apatel@torchwoodlabs.com,apatel@torchwoodlabs.com,ACTIVE,2021-09-20T09:00:00Z,2021-09-20T13:00:00Z,2026-12-19T07:55:00Z
okta_marcus,Marcus,Bailey,mbailey@torchwoodlabs.com,mbailey@torchwoodlabs.com,ACTIVE,2023-02-10T09:00:00Z,2023-02-10T13:00:00Z,2026-12-19T08:33:00Z
okta_diego,Diego,Ramirez,dramirez@torchwoodlabs.com,dramirez@torchwoodlabs.com,ACTIVE,2019-06-15T09:00:00Z,2019-06-15T13:00:00Z,2026-12-19T09:00:00Z
okta_sara,Sara,Nguyen,snguyen@torchwoodlabs.com,snguyen@torchwoodlabs.com,ACTIVE,2017-11-01T09:00:00Z,2017-11-01T13:00:00Z,2026-12-19T08:45:00Z
okta_leo,Leo,Chen,lchen@torchwoodlabs.com,lchen@torchwoodlabs.com,ACTIVE,2024-05-01T09:00:00Z,2024-05-01T13:00:00Z,2026-12-19T09:20:00Z
okta_monica,Monica,Stevens,mstevens@torchwoodlabs.com,mstevens@torchwoodlabs.com,ACTIVE,2022-08-15T09:00:00Z,2022-08-15T13:00:00Z,2026-12-18T17:40:00Z
okta_2daeafae,Jack,Boyd,jack.boyd@torchwoodlabs.com,jack.boyd@torchwoodlabs.com,DEPROVISIONED,2023-02-11T08:01:00Z,2023-11-17T22:49:00Z,2026-10-20T11:45:00Z
okta_f1c6fc0c,Julia,Petersen,julia.petersen@torchwoodlabs.com,julia.petersen@torchwoodlabs.com,DEPROVISIONED,2022-05-28T22:25:00Z,2024-10-19T12:38:00Z,2026-10-05T11:29:00Z
okta_9c961f5d,Tammy,Snow,tammy.snow@torchwoodlabs.com,tammy.snow@torchwoodlabs.com,ACTIVE,2019-06-05T12:50:00Z,2025-05-14T18:13:00Z,2026-11-29T22:39:00Z
okta_4c30a33d,Lisa,Meza,lisa.meza@torchwoodlabs.com,lisa.meza@torchwoodlabs.com,ACTIVE,2019-03-31T13:02:00Z,2020-09-15T12:36:00Z,2026-11-08T15:12:00Z
okta_a649aa68,Kenneth,Woods,kenneth.woods@torchwoodlabs.com,kenneth.woods@torchwoodlabs.com,DEPROVISIONED,2021-06-16T15:39:00Z,2021-12-24T11:03:00Z,2026-10-21T14:01:00Z
okta_c02b643b,Becky,Durham,becky.durham@torchwoodlabs.com,becky.durham@torchwoodlabs.com,DEPROVISIONED,2025-11-12T17:39:00Z,2024-10-15T20:28:00Z,2026-11-22T20:41:00Z
okta_cad14833,Anthony,Smith,anthony.smith@torchwoodlabs.com,anthony.smith@torchwoodlabs.com,ACTIVE,2025-01-20T19:09:00Z,2018-01-31T06:30:00Z,2026-12-04T15:58:00Z
okta_d23280f4,Marissa,Gonzalez,marissa.gonzalez@torchwoodlabs.com,marissa.gonzalez@torchwoodlabs.com,DEPROVISIONED,2023-01-08T09:55:00Z,2019-06-12T16:14:00Z,2026-10-09T22:16:00Z
okta_3a1dc94e,Adam,Brown,adam.brown@torchwoodlabs.com,adam.brown@torchwoodlabs.com,DEPROVISIONED,2020-11-09T09:52:00Z,2018-10-02T13:26:00Z,2026-11-26T15:11:00Z
okta_94efd729,Matthew,Porter,matthew.porter@torchwoodlabs.com,matthew.porter@torchwoodlabs.com,ACTIVE,2019-08-03T09:48:00Z,2022-03-30T20:06:00Z,2026-11-04T20:30:00Z
okta_e6929d12,Sarah,Ellis,sarah.ellis@torchwoodlabs.com,sarah.ellis@torchwoodlabs.com,ACTIVE,2023-07-28T10:43:00Z,2024-05-15T14:23:00Z,2026-10-08T20:13:00Z
okta_e75827f2,Patrick,Castaneda,patrick.castaneda@torchwoodlabs.com,patrick.castaneda@torchwoodlabs.com,SUSPENDED,2024-03-06T14:05:00Z,2018-03-10T17:05:00Z,2026-10-10T10:29:00Z
okta_d39ccab3,Christine,Robertson,christine.robertson@torchwoodlabs.com,christine.robertson@torchwoodlabs.com,DEPROVISIONED,2024-04-17T21:11:00Z,2023-11-24T20:09:00Z,2026-12-16T13:37:00Z
okta_5eeade41,Carla,Goodwin,carla.goodwin@torchwoodlabs.com,carla.goodwin@torchwoodlabs.com,ACTIVE,2020-02-04T18:42:00Z,2025-03-17T06:23:00Z,2026-10-06T06:58:00Z
okta_8b58c006,Dylan,Casey,dylan.casey@torchwoodlabs.com,dylan.casey@torchwoodlabs.com,SUSPENDED,2019-06-30T10:01:00Z,2020-06-29T07:35:00Z,2026-10-16T21:40:00Z
okta_9338a60e,Ricardo,Greene,ricardo.greene@torchwoodlabs.com,ricardo.greene@torchwoodlabs.com,ACTIVE,2022-09-04T09:02:00Z,2021-10-17T20:59:00Z,2026-10-13T10:21:00Z
okta_e33f7638,Scott,Schmidt,scott.schmidt@torchwoodlabs.com,scott.schmidt@torchwoodlabs.com,ACTIVE,2025-07-22T14:57:00Z,2020-11-06T16:55:00Z,2026-11-07T17:45:00Z
okta_9b42c92f,Rebecca,Snyder,rebecca.snyder@torchwoodlabs.com,rebecca.snyder@torchwoodlabs.com,SUSPENDED,2023-03-25T19:09:00Z,2020-11-23T14:14:00Z,2026-11-15T15:01:00Z
okta_eec692a7,Kara,Bowers,kara.bowers@torchwoodlabs.com,kara.bowers@torchwoodlabs.com,ACTIVE,2019-09-16T22:50:00Z,2019-02-09T19:46:00Z,2026-11-21T12:25:00Z
okta_1d7d091e,James,Smith,james.smith@torchwoodlabs.com,james.smith@torchwoodlabs.com,ACTIVE,2022-07-02T14:00:00Z,2023-03-01T07:15:00Z,2026-12-17T16:26:00Z
