id,customer,subscription,amount_due,amount_paid,currency,status,number,charge,created,due_date
in_sZyjX3tveZBfmEnNJCMbdJEk,cus_I1eS3lpBIaCdmC,,110000,0,usd,open,INV-sZyjX3tveZBfmEnNJCMbdJEk,,1792605600,1792605600
in_pzQaqzo26yKxTxaGgkHmlOMI,cus_CXvnSumR5xnpvV,,80000,80000,usd,paid,INV-pzQaqzo26yKxTxaGgkHmlOMI,,1769623200,1769623200
in_RcxrVE1L5ZMFmxlrJTAvh9L2,cus_eKCQVW1WWONwDc,,25000,25000,usd,paid,INV-RcxrVE1L5ZMFmxlrJTAvh9L2,,1769364000,1769364000
in_eMVFQyjyNxW5m2t9CiZgSZ7g,cus_eKCQVW1WWONwDc,,35000,35000,usd,paid,INV-eMVFQyjyNxW5m2t9CiZgSZ7g,,1782324000,1782324000
in_Uy9RoTl3HuFDDRQplmYIKhFJ,,,120000,120000,usd,paid,INV-Uy9RoTl3HuFDDRQplmYIKhFJ,,1759600800,1759600800
in_MhIiHjovVqpDhUU13I5MJRHT,,,20000,20000,usd,paid,INV-MhIiHjovVqpDhUU13I5MJRHT,,1750010400,1750010400
in_d4ar40zGIqKiMyJLxCCtiP5w,,,90000,0,usd,draft,INV-d4ar40zGIqKiMyJLxCCtiP5w,,1790964000,1790964000
in_3JiB7nIbbZpI3Fzcntrwfw3q,,,50000,50000,usd,paid,INV-3JiB7nIbbZpI3Fzcntrwfw3q,,1765695473,1765695473
in_VJ8WcAq9NXlPKn9wztxNwI1W,,,50000,50000,usd,paid,INV-VJ8WcAq9NXlPKn9wztxNwI1W,,1772916567,1772916567
in_qrInzahJkvUrRx9uq7waQF8V,,,75000,0,usd,open,INV-qrInzahJkvUrRx9uq7waQF8V,,1784007173,1784007173
in_PEZnK4mxquYcPyTxqU1p0LDE,,,15000,15000,usd,paid,INV-PEZnK4mxquYcPyTxqU1p0LDE,,1778611794,1778611794
in_xTgmrfMImwHE0s4dagecGglF,,,25000,25000,usd,paid,INV-xTgmrfMImwHE0s4dagecGglF,,1778307059,1778307059
in_iTyJJBrk9RfdwHDwmo1etRqf,,,100000,100000,usd,paid,INV-iTyJJBrk9RfdwHDwmo1etRqf,,1786323634,1786323634
in_jASgh6AOuu5s9dMvYKOXaQ9Y,,,25000,25000,usd,paid,INV-jASgh6AOuu5s9dMvYKOXaQ9Y,,1781798878,1781798878
in_FCiFBb8WZdO3uhr1twxWwFZf,,,25000,25000,usd,paid,INV-FCiFBb8WZdO3uhr1twxWwFZf,,1778894996,1778894996
in_GljmZPNn9t0gGwFPI00XZQwG,,,75000,75000,usd,paid,INV-GljmZPNn9t0gGwFPI00XZQwG,,1790992234,1790992234
in_YI1rU35QosCnWNdRctbXuARm,,,15000,15000,usd,paid,INV-YI1rU35QosCnWNdRctbXuARm,,1764830726,1764830726
in_cZQOVJuY3GsQ0pNg7fDT81et,,,50000,50000,usd,paid,INV-cZQOVJuY3GsQ0pNg7fDT81et,,1775810062,1775810062
in_7bqIn0KJCauzFdprTEmFPDxz,,,15000,15000,usd,paid,INV-7bqIn0KJCauzFdprTEmFPDxz,,1770733082,1770733082
in_GrR4IWagONKlN4HhGyXXu2ex,,,75000,75000,usd,paid,INV-GrR4IWagONKlN4HhGyXXu2ex,,1789854742,1789854742
in_65R2v6tt78hphMu9EzmyNoQq,,,75000,75000,usd,paid,INV-65R2v6tt78hphMu9EzmyNoQq,,1789224603,1789224603
in_3KydoI5j2qQH8vuNGmXdPfXQ,,,15000,15000,usd,paid,INV-3KydoI5j2qQH8vuNGmXdPfXQ,,1783255372,1783255372
in_HibEo7eZDIjaH500ZfZSOYzn,,,15000,15000,usd,paid,INV-HibEo7eZDIjaH500ZfZSOYzn,,1770204737,1770204737
in_g6sDwmGLHU3azvRAegFnuO8W,,,100000,100000,usd,paid,INV-g6sDwmGLHU3azvRAegFnuO8W,,1790248354,1790248354
in_GlEjEoOCIQepZmDiXKWpPlpl,,,15000,15000,usd,paid,INV-GlEjEoOCIQepZmDiXKWpPlpl,,1785601742,1785601742
in_jSqZSOdl3n15DPd5f10twxTm,,,15000,15000,usd,paid,INV-jSqZSOdl3n15DPd5f10twxTm,,1777600298,1777600298
in_lgA53QhS9mzLUsXAY19vGRih,,,50000,50000,usd,paid,INV-lgA53QhS9mzLUsXAY19vGRih,,1790897868,1790897868
