Name	Relationship	Phone	Email	Notes
Harriet Wilkins	Spouse	(860) 555-0172	harriet.wilkins.ct@gmail.com	Handles banking; emergency contact
Claire Wilkins-Hartley	Daughter	(203) 555-0234	claire.hartley@gmail.com	Stamford; Sunday calls
Thomas Hartley	Son-in-law	(203) 555-0236		Architect; hosts Thanksgiving
Bea Hartley	Granddaughter	(203) 555-0240	bea.hartley@gmail.com	Set up the iPad
Oliver Hartley	Grandson			Book swap; reads fantasy
Margaret Doyle	Best friend	(860) 555-0318	peggy.doyle.ct@gmail.com	Tuesday coffee
Dr. Helen Park	Primary care	(860) 555-0615		Glastonbury Family Practice
Dr. Martin Costello	Cardiologist	(860) 555-0600		Hartford Heart Associates
Dr. Nadia Farooq	Rheumatologist	(860) 555-0610		CT Arthritis Center
Glastonbury Pharmacy	Pharmacy	(860) 555-0455		2 Hebron Avenue, Glastonbury, CT 06033
