Gift log - what I made or gave, and for whom
Mostly handmade. The point is the making, not the buying. Kept so I do not repeat myself and do not forget a birthday.

Date	For	Occasion	Gift	Note
2025-02-14	Ethan	Our anniversary, sort of	A small pour-over dripper, his coffee	He uses it every morning. Good.
2025-05-18	Ethan	Birthday	Dinner at Kamo River Teahouse, and a tea cup	Mid May every year. Book the teahouse early.
2025-06-08	Daniel	Birthday	A small bowl, tenmoku, his favourite	Osaka. He pretends not to be sentimental about them.
2025-10-22	myself	My own birthday	Bought the good Yanagi book I keep borrowing	Turned 31. Still reading the same book slowly.
2025-11-02	Toshio	His birthday	The annual single piece. This year a tea bowl, nuka over iron	The slow gift. One a year since the apprenticeship. The most personal thing I make.
2025-12-25	Mom and Dad	Christmas	A matched pair of rice bowls, and I cooked Mom's stew	Sunday in Kitayama. Dad said nothing and used his at once.
2026-01-10	Mika	Thank you, kiln help	A jug, the celadon she liked	For covering the studio and the wood rota.
2026-05-18	Ethan	Birthday (planned)	Teahouse again. Make him a new cup, the old one chipped	Reminder set.
2026-11-02	Toshio	Birthday (planned)	The annual piece. Decide after the autumn anagama which bowl is good enough	Save three candidates from the wood firing.

The Toshio pieces, kept as a list, are nearly a decade now. One day they should sit together on a shelf. Maybe that is its own small show, one day.
