Higashiyama Craft Collective - shared kiln booking
Gas reduction kiln and the seasonal anagama. Four potters share. Book the gas slot a week ahead, the anagama is planned months out.
Mika Tanabe keeps this sheet. Do not double book. A firing slot is the loading day plus the cool, so the kiln is yours for three days around a gas firing.

Date	Kiln	Booked by	Type	Firing ref	Status	Note
2026-01-23	Gas reduction	Margaret Farmer	Glaze	F-26-01	Done	Seasonal Table winter set
2026-02-06	Gas reduction	Kenta Mori	Glaze	-	Done	Collective member
2026-02-20	Gas reduction	Margaret Farmer	Glaze	F-26-02	Done	Seasonal Table, 6 pieces still short after this
2026-03-06	Gas reduction	Mika Tanabe	Glaze	-	Booked	Mika's spring work
2026-03-20	Gas reduction	Margaret Farmer	Glaze	F-26-03	Booked	Spring set. Asked for this slot for the autumn noodle bowls too
2026-04-03	Gas reduction	Yuki Sato	Bisque	-	Booked	Collective member
2026-04-17	Gas reduction	Margaret Farmer	Glaze	F-26-04	Booked	Museum prototype vessel 1, form test
2026-05-14	Anagama	Margaret + Mika	Wood load	-	Booked	Three day load, light Fri 15. Whole collective helps stoke
2026-05-15	Anagama	Margaret + Mika	Wood fire	F-26-05	Booked	78 hour firing. Paris pieces and museum vessels ride on this one
2026-05-21	Anagama	Margaret + Mika	Unload	F-26-05	Booked	Slow cool first. Unload Thursday

Rule: the anagama firing is shared labour. If you load work you take a stoke shift. Margaret and Mika split the night shifts.
Next gas slot open after 17 Apr is the first week of June. Margaret to confirm a June slot for any Paris refires if the May wood firing is short.
