id,username,full_name,email,initials
tr_mbr_001,laylamcbride,Layla McBride,l.mcbride@nnu-crop.edu.ng,LM
tr_mbr_002,aakpan,Adaeze Akpan,a.akpan@nnu-crop.edu.ng,AA
tr_mbr_003,cwalsh,Ciaran Walsh,c.walsh@nnu-crop.edu.ng,CW
tr_mbr_004,aminabello,Amina Bello,a.bello@nnu-crop.edu.ng,AB
tr_mbr_005,efola,Emeka Fola,e.fola@nnu-crop.edu.ng,EF
tr_mbr_006,okonkwoib,Ifeanyi Okonkwo,i.okonkwo@nnu-crop.edu.ng,IO
tr_mbr_007,nkechi.eze,Nkechi Eze,n.eze@nnu-crop.edu.ng,NE
tr_mbr_008,bassey.o,Otobong Bassey,o.bassey@nnu-crop.edu.ng,OB
tr_mbr_009,dagbo,Damola Agbo,d.agbo@nnu-crop.edu.ng,DA
tr_mbr_010,uchee,Uche Ekwueme,u.ekwueme@nnu-crop.edu.ng,UE
tr_mbr_011,kelechi.nnamdi,Kelechi Nnamdi,kelechi.nnamdi@nnu-crop.edu.ng,KN
tr_mbr_012,onyeka.nnamdi,Onyeka Nnamdi,onyeka.nnamdi@nnu-crop.edu.ng,ON
tr_mbr_013,chinelo.nnamdi,Chinelo Nnamdi,chinelo.nnamdi@nnu-crop.edu.ng,CN
tr_mbr_014,ngozi.nnamdi,Ngozi Nnamdi,ngozi.nnamdi@nnu-crop.edu.ng,NN
tr_mbr_015,obinna.nnamdi,Obinna Nnamdi,obinna.nnamdi@nnu-crop.edu.ng,ON
tr_mbr_016,chidi.nnamdi,Chidi Nnamdi,chidi.nnamdi@nnu-crop.edu.ng,CN
tr_mbr_017,ifeoma.nnamdi,Ifeoma Nnamdi,ifeoma.nnamdi@nnu-crop.edu.ng,IN
tr_mbr_018,yetunde.nnamdi,Yetunde Nnamdi,yetunde.nnamdi@nnu-crop.edu.ng,YN
tr_mbr_019,chukwuma.nnamdi,Chukwuma Nnamdi,chukwuma.nnamdi@nnu-crop.edu.ng,CN
