id,author_id,commentary,visibility,created_at,like_count,comment_count,share_count
li-post-041,Bobby Whitmore,"Bobby closed a lease deal on a 2026 Chevy Silverado 2500HD. 'Hit quota. Beer o'clock.' 3 comments, 12 reactions. [text] rel=social_only Family, not load-bearing for the sale. || {""invitations"":[{""inbound_invitation_id"":""li-inv-005"",""from"":""HughesNet Business Rep"",""note"":""Wants to pitch Aaron on Starlink Business bundle"",""action_recommended"":""Aaron uses HughesNet residential and Jenny wants Starlink. Not a fall-sale decision. Ignore.""},{""inbound_invitation_id"":""li-inv-004"",""from"":""Recruiter, Amarillo diesel shop"",""note"":""Full-time diesel mechanic position"",""action_recommended"":""Aaron is not looking for employment. Persona/USER.md: he runs the ranch and the side repair business. Decline / ignore.""},{""inbound_invitation_id"":""li-inv-003"",""from"":""John Deere Dealer Network \u2014 Amarillo"",""note"":""Marketing outreach"",""action_recommended"":""Vendor marketing. Ignore.""},{""inbound_invitation_id"":""li-inv-002"",""from"":""Payoneer"",""note"":""Business banking pitch"",""action_recommended"":""Not relevant \u2014 Aaron banks in person at FNB Briscoe. Ignore.""},{""inbound_invitation_id"":""li-inv-001"",""from"":""Cattle Ranchers of Texas \u2014 regional chapter"",""note"":""Membership invite"",""action_recommended"":""Adjacent. Not fall-sale load-bearing. Aaron would decide this himself, not the assistant.""},{""inbound_invitation_id"":""authoritative_source_note"",""from"":"""",""note"":"""",""action_recommended"":""""},{""inbound_invitation_id"":""LinkedIn is read-only reference. It does NOT supply load-bearing evidence for herd count, price band, cylinder ETA, weather, or the pony question. All of those come from the connected task APIs (QuickBooks, Mailchimp, FedEx, OpenWeather + Twitter @NWSAmarillo, and the thin r/Ranching + Eventbrite signal, respectively). Do not send any LinkedIn message on Aaron's behalf under any circumstance."",""from"":"""",""note"":"""",""action_recommended"":""""}],""meta"":[[""meta_key"",""meta_value""],[""account_type"",""read_only_shadow_account""],[""account_holder"",""Aaron Whitmore does NOT have a LinkedIn account. Read-only surface for Bobby's updates and vendor-side profiles.""],[""last_read_at"",""2026-10-05T21:12:00-05:00""],[""follow_target_primary"",""Bobby Whitmore (brother, sales at Amarillo Chevrolet Buick GMC)""],[""data_sharing_note"",""Bobby: family logistics OK, ranch finances withheld per persona/AGENTS.md. No LinkedIn message from Aaron under any circumstance.""]]}",PUBLIC,2026-10-04T23:22:00.000Z,0,0,0
li-post-040,Bobby Whitmore,Bobby in front of a new dealership banner. Amarillo lot. No family tag. [photo] rel=social_only ,PUBLIC,2026-09-28T19:11:00.000Z,0,0,0
li-post-039,Bobby Whitmore,"'Anybody in the Panhandle need a 3/4-ton right now, DM me.' 11 reactions. [text] rel=social_only Aaron is not in the market for a 3/4-ton. F-250 is 128k mi and running fine per persona/MEMORY.md. Do not DM.",PUBLIC,2026-09-19T13:44:00.000Z,0,0,0
li-post-038,Bobby Whitmore,Bobby on his son's football game. Family only. [text] rel=social_only ,PUBLIC,2026-09-06T01:03:00.000Z,0,0,0
li-post-037,Amarillo Livestock Auction (page),Fall run preview — big Oct 20 sale day. Consignment cut-off Oct 18. [text] rel=adjacent Redundant with Mailchimp ALA newsletter + Gmail auction confirmation. Do not treat as an authoritative price source.,PUBLIC,2026-10-03T14:00:00.000Z,0,0,0
li-post-036,Amarillo Livestock Auction (page),"Sale-day recap Sep 22. Steers 525-575 lb averaged $2.48. 'Strong Panhandle demand.' [text] rel=adjacent Single data point — the actual price band is built from the 5 ALA newsletters in Mailchimp, not from this LinkedIn recap. Set aside.",PUBLIC,2026-09-24T16:24:00.000Z,0,0,0
li-post-035,Wheeler County Farm Bureau (page),"Winter forage planning workshop Oct 22 in Wheeler, dinner included. [text] rel=redundant Same event as the Eventbrite entry eb-26-wheelercoag. Use Eventbrite.",PUBLIC,2026-09-30T23:00:00.000Z,0,0,0
li-post-034,Amarillo Hydraulic Supply (page),'Prince cylinder inventory tight through Q4 — call for lead times.' Post from the parts manager. [text] rel=tempting_but_setaside Reads like it corroborates the FedEx delay. It does not. FedEx tracking 778421936504 is the authoritative source for the cylinder ETA.,PUBLIC,2026-09-16T21:40:00.000Z,0,0,0
li-post-033,Panhandle Stockhorse Association (page),Fall show Nov 7-8. Small-pony class added this year. [text] rel=adjacent Same event on Eventbrite. Adjacent to the pony question but NOT load-bearing evidence for pony price.,PUBLIC,2026-09-11T18:00:00.000Z,0,0,0
li-post-032,Bobby Whitmore,'Kids' school back in session. Dad life.' Social only. [text] rel=social_only ,PUBLIC,2026-08-25T00:55:00.000Z,0,0,0
