Date	ClassLevel	StartTime	Student	Status	Makeup
2026-01-06	Beginner	7:30 PM	Mateo Reyes	Present	
2026-01-06	Beginner	7:30 PM	Priya Anand	Present	
2026-01-06	Beginner	7:30 PM	Connor Walsh	Absent	scheduled
2026-01-06	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-01-06	Beginner	7:30 PM	Grace Liu	Present	
2026-01-06	Beginner	7:30 PM	Devon Brooks	Present	
2026-01-13	Beginner	7:30 PM	Mateo Reyes	Present	
2026-01-13	Beginner	7:30 PM	Priya Anand	Present	
2026-01-13	Beginner	7:30 PM	Connor Walsh	Present	
2026-01-13	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-01-13	Beginner	7:30 PM	Grace Liu	Present	
2026-01-13	Beginner	7:30 PM	Devon Brooks	Absent	scheduled
2026-01-20	Beginner	7:30 PM	Mateo Reyes	Present	
2026-01-20	Beginner	7:30 PM	Priya Anand	Present	
2026-01-20	Beginner	7:30 PM	Connor Walsh	Present	
2026-01-20	Beginner	7:30 PM	Yuki Tanaka	Absent	scheduled
2026-01-20	Beginner	7:30 PM	Grace Liu	Present	
2026-01-20	Beginner	7:30 PM	Devon Brooks	Present	
2026-01-27	Beginner	7:30 PM	Mateo Reyes	Absent	scheduled
2026-01-27	Beginner	7:30 PM	Priya Anand	Present	
2026-01-27	Beginner	7:30 PM	Connor Walsh	Present	
2026-01-27	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-01-27	Beginner	7:30 PM	Grace Liu	Present	
2026-01-27	Beginner	7:30 PM	Devon Brooks	Present	
2026-02-03	Beginner	7:30 PM	Mateo Reyes	Present	
2026-02-03	Beginner	7:30 PM	Priya Anand	Present	
2026-02-03	Beginner	7:30 PM	Connor Walsh	Present	
2026-02-03	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-02-03	Beginner	7:30 PM	Grace Liu	Present	
2026-02-03	Beginner	7:30 PM	Devon Brooks	Present	
2026-02-10	Beginner	7:30 PM	Mateo Reyes	Present	
2026-02-10	Beginner	7:30 PM	Priya Anand	Present	
2026-02-10	Beginner	7:30 PM	Connor Walsh	Present	
2026-02-10	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-02-10	Beginner	7:30 PM	Grace Liu	Absent	scheduled
2026-02-10	Beginner	7:30 PM	Devon Brooks	Present	
2026-02-17	Beginner	7:30 PM	Mateo Reyes	Present	
2026-02-17	Beginner	7:30 PM	Priya Anand	Absent	scheduled
2026-02-17	Beginner	7:30 PM	Connor Walsh	Present	
2026-02-17	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-02-17	Beginner	7:30 PM	Grace Liu	Present	
2026-02-17	Beginner	7:30 PM	Devon Brooks	Present	
2026-02-24	Beginner	7:30 PM	Mateo Reyes	Present	
2026-02-24	Beginner	7:30 PM	Priya Anand	Present	
2026-02-24	Beginner	7:30 PM	Connor Walsh	Present	
2026-02-24	Beginner	7:30 PM	Yuki Tanaka	Present	
2026-02-24	Beginner	7:30 PM	Grace Liu	Present	
2026-02-24	Beginner	7:30 PM	Devon Brooks	Present	
2026-01-08	Intermediate	7:30 PM	Sora Becker	Present	
2026-01-08	Intermediate	7:30 PM	Nina Castillo	Present	
2026-01-08	Intermediate	7:30 PM	Owen Pratt	Present	
2026-01-08	Intermediate	7:30 PM	Amara Diallo	Present	
2026-01-08	Intermediate	7:30 PM	Ken Whitfield	Absent	scheduled
2026-01-08	Intermediate	7:30 PM	Rosa Medina	Present	
2026-01-15	Intermediate	7:30 PM	Sora Becker	Present	
2026-01-15	Intermediate	7:30 PM	Nina Castillo	Present	
2026-01-15	Intermediate	7:30 PM	Owen Pratt	Absent	scheduled
2026-01-15	Intermediate	7:30 PM	Amara Diallo	Present	
2026-01-15	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-01-15	Intermediate	7:30 PM	Rosa Medina	Present	
2026-01-22	Intermediate	7:30 PM	Sora Becker	Present	
2026-01-22	Intermediate	7:30 PM	Nina Castillo	Present	
2026-01-22	Intermediate	7:30 PM	Owen Pratt	Present	
2026-01-22	Intermediate	7:30 PM	Amara Diallo	Present	
2026-01-22	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-01-22	Intermediate	7:30 PM	Rosa Medina	Present	
2026-01-29	Intermediate	7:30 PM	Sora Becker	Present	
2026-01-29	Intermediate	7:30 PM	Nina Castillo	Present	
2026-01-29	Intermediate	7:30 PM	Owen Pratt	Present	
2026-01-29	Intermediate	7:30 PM	Amara Diallo	Absent	scheduled
2026-01-29	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-01-29	Intermediate	7:30 PM	Rosa Medina	Present	
2026-02-05	Intermediate	7:30 PM	Sora Becker	Absent	scheduled
2026-02-05	Intermediate	7:30 PM	Nina Castillo	Present	
2026-02-05	Intermediate	7:30 PM	Owen Pratt	Present	
2026-02-05	Intermediate	7:30 PM	Amara Diallo	Present	
2026-02-05	Intermediate	7:30 PM	Ken Whitfield	Present	
2026-02-05	Intermediate	7:30 PM	Rosa Medina	Present	
2026-02-12	Intermediate	7:30 PM	Sora Becker	Present	
