id,domain,message_id,event,recipient,timestamp,reason
ev_000001,plateau.mailgun.example,20260401.evt000001@plateau.mailgun.example,delivered,resident0059@plateau.example.ca,2026-04-01T10:00:00Z,
ev_000002,plateau.mailgun.example,20260401.evt000002@plateau.mailgun.example,delivered,resident0014@plateau.example.ca,2026-04-01T10:00:00Z,
ev_000003,plateau.mailgun.example,20260401.evt000003@plateau.mailgun.example,delivered,resident0013@plateau.example.ca,2026-04-01T10:00:00Z,
ev_000004,plateau.mailgun.example,20260402.evt000004@plateau.mailgun.example,delivered,resident0029@plateau.example.ca,2026-04-02T10:00:00Z,
ev_000005,plateau.mailgun.example,20260402.evt000005@plateau.mailgun.example,delivered,resident0031@plateau.example.ca,2026-04-02T10:00:00Z,
ev_000006,plateau.mailgun.example,20260402.evt000006@plateau.mailgun.example,delivered,resident0001@plateau.example.ca,2026-04-02T10:00:00Z,
ev_000007,plateau.mailgun.example,20260403.evt000007@plateau.mailgun.example,delivered,resident0053@plateau.example.ca,2026-04-03T10:00:00Z,
ev_000008,plateau.mailgun.example,20260403.evt000008@plateau.mailgun.example,delivered,resident0053@plateau.example.ca,2026-04-03T10:00:00Z,
ev_000009,plateau.mailgun.example,20260403.evt000009@plateau.mailgun.example,delivered,resident0003@plateau.example.ca,2026-04-03T10:00:00Z,
ev_000010,plateau.mailgun.example,20260404.evt000010@plateau.mailgun.example,delivered,resident0002@plateau.example.ca,2026-04-04T10:00:00Z,
ev_000011,plateau.mailgun.example,20260404.evt000011@plateau.mailgun.example,delivered,resident0040@plateau.example.ca,2026-04-04T10:00:00Z,
ev_000012,plateau.mailgun.example,20260404.evt000012@plateau.mailgun.example,delivered,resident0013@plateau.example.ca,2026-04-04T10:00:00Z,
ev_000013,plateau.mailgun.example,20260405.evt000013@plateau.mailgun.example,delivered,resident0034@plateau.example.ca,2026-04-05T10:00:00Z,
ev_000014,plateau.mailgun.example,20260405.evt000014@plateau.mailgun.example,delivered,resident0053@plateau.example.ca,2026-04-05T10:00:00Z,
ev_000015,plateau.mailgun.example,20260405.evt000015@plateau.mailgun.example,delivered,resident0028@plateau.example.ca,2026-04-05T10:00:00Z,
ev_000016,plateau.mailgun.example,20260406.evt000016@plateau.mailgun.example,delivered,resident0057@plateau.example.ca,2026-04-06T10:00:00Z,
ev_000017,plateau.mailgun.example,20260406.evt000017@plateau.mailgun.example,delivered,resident0026@plateau.example.ca,2026-04-06T10:00:00Z,
ev_000018,plateau.mailgun.example,20260406.evt000018@plateau.mailgun.example,delivered,resident0037@plateau.example.ca,2026-04-06T10:00:00Z,
ev_000019,plateau.mailgun.example,20260407.evt000019@plateau.mailgun.example,delivered,resident0042@plateau.example.ca,2026-04-07T10:00:00Z,
ev_000020,plateau.mailgun.example,20260407.evt000020@plateau.mailgun.example,delivered,resident0045@plateau.example.ca,2026-04-07T10:00:00Z,
ev_000021,plateau.mailgun.example,20260407.evt000021@plateau.mailgun.example,delivered,resident0051@plateau.example.ca,2026-04-07T10:00:00Z,
ev_000022,plateau.mailgun.example,20260408.evt000022@plateau.mailgun.example,delivered,resident0041@plateau.example.ca,2026-04-08T10:00:00Z,
ev_000023,plateau.mailgun.example,20260408.evt000023@plateau.mailgun.example,delivered,resident0042@plateau.example.ca,2026-04-08T10:00:00Z,
ev_000024,plateau.mailgun.example,20260408.evt000024@plateau.mailgun.example,delivered,resident0042@plateau.example.ca,2026-04-08T10:00:00Z,
ev_000025,plateau.mailgun.example,20260409.evt000025@plateau.mailgun.example,delivered,resident0058@plateau.example.ca,2026-04-09T10:00:00Z,
ev_000026,plateau.mailgun.example,20260409.evt000026@plateau.mailgun.example,delivered,resident0026@plateau.example.ca,2026-04-09T10:00:00Z,
ev_000027,plateau.mailgun.example,20260409.evt000027@plateau.mailgun.example,delivered,resident0054@plateau.example.ca,2026-04-09T10:00:00Z,
ev_000028,plateau.mailgun.example,20260410.evt000028@plateau.mailgun.example,delivered,resident0015@plateau.example.ca,2026-04-10T10:00:00Z,
ev_000029,plateau.mailgun.example,20260410.evt000029@plateau.mailgun.example,delivered,resident0051@plateau.example.ca,2026-04-10T10:00:00Z,
ev_000030,plateau.mailgun.example,20260410.evt000030@plateau.mailgun.example,delivered,resident0032@plateau.example.ca,2026-04-10T10:00:00Z,
ev_000031,plateau.mailgun.example,20260411.evt000031@plateau.mailgun.example,delivered,resident0044@plateau.example.ca,2026-04-11T10:00:00Z,
ev_000032,plateau.mailgun.example,20260411.evt000032@plateau.mailgun.example,delivered,resident0055@plateau.example.ca,2026-04-11T10:00:00Z,
ev_000033,plateau.mailgun.example,20260411.evt000033@plateau.mailgun.example,delivered,resident0059@plateau.example.ca,2026-04-11T10:00:00Z,
ev_000034,plateau.mailgun.example,20260412.evt000034@plateau.mailgun.example,delivered,resident0004@plateau.example.ca,2026-04-12T10:00:00Z,
ev_000035,plateau.mailgun.example,20260412.evt000035@plateau.mailgun.example,delivered,resident0015@plateau.example.ca,2026-04-12T10:00:00Z,
ev_000036,plateau.mailgun.example,20260412.evt000036@plateau.mailgun.example,delivered,resident0036@plateau.example.ca,2026-04-12T10:00:00Z,
ev_000037,plateau.mailgun.example,20260413.evt000037@plateau.mailgun.example,delivered,resident0012@plateau.example.ca,2026-04-13T10:00:00Z,
ev_000038,plateau.mailgun.example,20260413.evt000038@plateau.mailgun.example,delivered,resident0004@plateau.example.ca,2026-04-13T10:00:00Z,
ev_000039,plateau.mailgun.example,20260413.evt000039@plateau.mailgun.example,delivered,resident0043@plateau.example.ca,2026-04-13T10:00:00Z,
ev_000040,plateau.mailgun.example,20260414.evt000040@plateau.mailgun.example,delivered,resident0018@plateau.example.ca,2026-04-14T10:00:00Z,
ev_000041,plateau.mailgun.example,20260414.evt000041@plateau.mailgun.example,delivered,resident0005@plateau.example.ca,2026-04-14T10:00:00Z,
ev_000042,plateau.mailgun.example,20260414.evt000042@plateau.mailgun.example,delivered,resident0023@plateau.example.ca,2026-04-14T10:00:00Z,
ev_000043,plateau.mailgun.example,20260415.evt000043@plateau.mailgun.example,delivered,resident0044@plateau.example.ca,2026-04-15T10:00:00Z,
ev_000044,plateau.mailgun.example,20260415.evt000044@plateau.mailgun.example,delivered,resident0060@plateau.example.ca,2026-04-15T10:00:00Z,
