list_address,address,name,subscribed,vars
consultation@plateau.montreal.qc.ca,resident0001@plateau.example.ca,Resident 0001,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0002@plateau.example.ca,Resident 0002,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0003@plateau.example.ca,Resident 0003,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0004@plateau.example.ca,Resident 0004,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0005@plateau.example.ca,Resident 0005,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0006@plateau.example.ca,Resident 0006,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0007@plateau.example.ca,Resident 0007,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0008@plateau.example.ca,Resident 0008,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0009@plateau.example.ca,Resident 0009,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0010@plateau.example.ca,Resident 0010,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0011@plateau.example.ca,Resident 0011,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0012@plateau.example.ca,Resident 0012,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0013@plateau.example.ca,Resident 0013,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0014@plateau.example.ca,Resident 0014,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0015@plateau.example.ca,Resident 0015,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0016@plateau.example.ca,Resident 0016,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0017@plateau.example.ca,Resident 0017,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0018@plateau.example.ca,Resident 0018,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0019@plateau.example.ca,Resident 0019,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0020@plateau.example.ca,Resident 0020,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0021@plateau.example.ca,Resident 0021,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0022@plateau.example.ca,Resident 0022,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0023@plateau.example.ca,Resident 0023,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0024@plateau.example.ca,Resident 0024,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0025@plateau.example.ca,Resident 0025,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0026@plateau.example.ca,Resident 0026,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0027@plateau.example.ca,Resident 0027,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0028@plateau.example.ca,Resident 0028,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0029@plateau.example.ca,Resident 0029,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0030@plateau.example.ca,Resident 0030,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0031@plateau.example.ca,Resident 0031,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0032@plateau.example.ca,Resident 0032,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0033@plateau.example.ca,Resident 0033,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0034@plateau.example.ca,Resident 0034,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0035@plateau.example.ca,Resident 0035,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0036@plateau.example.ca,Resident 0036,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0037@plateau.example.ca,Resident 0037,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0038@plateau.example.ca,Resident 0038,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0039@plateau.example.ca,Resident 0039,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0040@plateau.example.ca,Resident 0040,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0041@plateau.example.ca,Resident 0041,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0042@plateau.example.ca,Resident 0042,true,"{""cohort"":""fr""}"
consultation@plateau.montreal.qc.ca,resident0043@plateau.example.ca,Resident 0043,true,"{""cohort"":""fr""}"
