id,calendar_id,summary,description,location,start,end,all_day,status,creator,organizer,recurrence,visibility
evt-201,dawn.lawson@Finthesiss.ai,Private lesson block,Mon Wed Fri afternoons two students per day,Home study,2026-10-05T14:00:00-07:00,2026-10-05T18:00:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,dawn.lawson@Finthesiss.ai,"RRULE:FREQ=WEEKLY;BYDAY=MO,WE,FR;UNTIL=20261218T235959Z",private
evt-202,bayside.chess.club_206@group.calendar.google.com,Bayside Chess Club weekly meeting,Morrison Hall Room 206 club night with prepared demonstration game,Morrison Hall Room 206 Bayside University,2026-10-08T17:00:00-07:00,2026-10-08T19:00:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,marcus.thompson@baysideuniversity.edu,RRULE:FREQ=WEEKLY;BYDAY=TH;UNTIL=20261218T235959Z,default
evt-203,dawn.lawson@Finthesiss.ai,Elena endgame block,Standing Saturday two hour endgame technique block,Home study,2026-10-10T10:00:00-07:00,2026-10-10T12:00:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,dawn.lawson@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=SA;UNTIL=20261219T235959Z,private
evt-204,lawson.family@group.calendar.google.com,Sunday video call with Ethan and Lily,Brooklyn family window,Home,2026-10-11T18:00:00-07:00,2026-10-11T18:45:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,dawn.lawson@Finthesiss.ai,RRULE:FREQ=WEEKLY;BYDAY=SU;UNTIL=20270111T235959Z,private
evt-205,dawn.lawson@Finthesiss.ai,Nathan sixtieth at Maison Terre,Reservation for two under Lawson,Maison Terre 1802 Fourth Street Berkeley,2026-10-11T18:30:00-07:00,2026-10-11T21:00:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,dawn.lawson@Finthesiss.ai,,private
evt-206,grandmaster.review.column@group.calendar.google.com,Column deadline Candidates analysis,October piece to Carol Whitman final draft due,,2026-10-16T09:00:00-07:00,2026-10-16T18:00:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,cwhitman@grandmasterreview.org,,private
evt-207,bayside.chess.club_206@group.calendar.google.com,Intercollegiate vs Bayside Institute of Technology,Home match five board format,Morrison Hall Room 206 Bayside University,2026-10-24T13:00:00-07:00,2026-10-24T18:00:00-07:00,false,confirmed,dawn.lawson@Finthesiss.ai,marcus.thompson@baysideuniversity.edu,,default
evt-208,berkeley.chess.foundation_ops@group.calendar.google.com,Simul at Eastshore Community Library,Thirty board simultaneous exhibition,Eastshore Community Library 1234 Broadway Oakland,2026-11-07T10:00:00-08:00,2026-11-07T14:00:00-08:00,false,confirmed,dawn.lawson@Finthesiss.ai,tmorales@eastshorelibrary.org,,default
evt-209,berkeley.chess.foundation_ops@group.calendar.google.com,Berkeley Chess Festival,Annual festival at Bayside student union target one hundred fifty participants,Bayside University Student Union,2026-11-14T09:00:00-08:00,2026-11-14T17:00:00-08:00,false,confirmed,dawn.lawson@Finthesiss.ai,dawn.lawson@Finthesiss.ai,,default
evt-210,lawson.family@group.calendar.google.com,Ethan and Lily arrive SFO,Delta 1187 arriving 12 40 PM Terminal 2,San Francisco International Airport Terminal 2,2026-11-21T12:40:00-08:00,2026-11-21T14:00:00-08:00,false,confirmed,dawn.lawson@Finthesiss.ai,dawn.lawson@Finthesiss.ai,,private
