id,domain,message_id,event,recipient,timestamp,reason
ev-mg-msg-001-1,mail.cornerstone-museum.org,mg-msg-001,accepted,visitor1@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-001-2,mail.cornerstone-museum.org,mg-msg-001,delivered,visitor1@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-001-3,mail.cornerstone-museum.org,mg-msg-001,opened,visitor1@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-002-1,mail.cornerstone-museum.org,mg-msg-002,accepted,visitor4@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-002-2,mail.cornerstone-museum.org,mg-msg-002,delivered,visitor4@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-002-3,mail.cornerstone-museum.org,mg-msg-002,opened,visitor4@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-003-1,mail.cornerstone-museum.org,mg-msg-003,accepted,donor.001@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-003-2,mail.cornerstone-museum.org,mg-msg-003,delivered,donor.001@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-003-3,mail.cornerstone-museum.org,mg-msg-003,opened,donor.001@example.com,2026-09-28T15:00:00Z,
ev-mg-msg-004-1,mail.cornerstone-museum.org,mg-msg-004,accepted,visitor2@example.com,2026-09-29T15:00:00Z,
ev-mg-msg-004-2,mail.cornerstone-museum.org,mg-msg-004,delivered,visitor2@example.com,2026-09-29T15:00:00Z,
ev-mg-msg-005-1,mail.cornerstone-museum.org,mg-msg-005,accepted,parent1@example.com,2026-09-30T15:00:00Z,
ev-mg-msg-005-2,mail.cornerstone-museum.org,mg-msg-005,delivered,parent1@example.com,2026-09-30T15:00:00Z,
ev-mg-msg-006-1,mail.cornerstone-museum.org,mg-msg-006,accepted,vol1@example.com,2026-10-01T15:00:00Z,
ev-mg-msg-006-2,mail.cornerstone-museum.org,mg-msg-006,delivered,vol1@example.com,2026-10-01T15:00:00Z,
ev-mg-msg-006-3,mail.cornerstone-museum.org,mg-msg-006,opened,vol1@example.com,2026-10-01T15:00:00Z,
ev-mg-msg-007-1,mail.cornerstone-museum.org,mg-msg-007,accepted,visitor5@example.com,2026-10-01T16:00:00Z,
ev-mg-msg-007-2,mail.cornerstone-museum.org,mg-msg-007,delivered,visitor5@example.com,2026-10-01T16:00:00Z,
ev-mg-msg-007-3,mail.cornerstone-museum.org,mg-msg-007,opened,visitor5@example.com,2026-10-01T16:00:00Z,
ev-mg-msg-008-1,mail.cornerstone-museum.org,mg-msg-008,accepted,donor.002@example.com,2026-10-01T16:30:00Z,
ev-mg-msg-008-2,mail.cornerstone-museum.org,mg-msg-008,delivered,donor.002@example.com,2026-10-01T16:30:00Z,
ev-mg-msg-008-3,mail.cornerstone-museum.org,mg-msg-008,opened,donor.002@example.com,2026-10-01T16:30:00Z,
