sid,phone_number,friendly_name,iso_country,sms_enabled,voice_enabled,mms_enabled,capabilities_fax,date_created
PN_MIDORI_CELL,+15415554188,Midori cell,US,True,True,True,False,2024-01-08T09:01:00Z
PN_CLINIC_LINE,+15415556290,Rimrock Valley clinic main,US,True,True,False,True,2024-01-08T09:01:30Z
PN_AUTO_0001,+15415551533,Rimrock front desk,US,True,True,False,False,2025-01-30T09:01:00.000Z
PN_AUTO_0002,+15415555522,On-call forwarding,US,True,True,False,False,2024-05-31T09:01:00.000Z
PN_AUTO_0003,+15415551623,Clinic fax line,US,True,True,True,True,2025-05-17T09:01:00.000Z
PN_AUTO_0004,+15415551047,Vendor orders line,US,True,True,True,False,2025-03-13T09:01:00.000Z
PN_AUTO_0005,+15415553182,Personal Google Voice,US,True,True,True,False,2024-07-20T09:01:00.000Z
PN_AUTO_0006,+15415553868,Photography business line,US,True,True,True,False,2025-10-12T09:01:00.000Z
PN_AUTO_0007,+15415558462,Barn intercom,US,True,True,False,False,2026-04-21T09:01:00.000Z
PN_AUTO_0008,+15415559875,Rimrock ambulatory line,US,True,True,True,False,2025-12-14T09:01:00.000Z
PN_AUTO_0009,+15415555683,Rimrock front desk,US,True,True,True,False,2024-04-09T09:01:00.000Z
PN_AUTO_0010,+15415551169,On-call forwarding,US,True,True,True,False,2025-02-21T09:01:00.000Z
PN_AUTO_0011,+15415552963,Mike Henderson cell,US,True,True,True,True,2025-01-24T09:01:00.000Z
PN_AUTO_0012,+15415558744,Vendor orders line,US,True,True,True,False,2026-01-14T09:01:00.000Z
PN_AUTO_0013,+15415558352,Personal Google Voice,US,True,True,False,False,2026-01-27T09:01:00.000Z
PN_AUTO_0014,+15415552008,Photography business line,US,True,True,True,False,2025-06-27T09:01:00.000Z
PN_AUTO_0015,+15415558018,Barn intercom,US,True,True,True,False,2025-06-10T09:01:00.000Z
PN_AUTO_0016,+15415553549,Rimrock ambulatory line,US,True,True,False,False,2025-05-05T09:01:00.000Z
PN_AUTO_0017,+15415559969,Rimrock front desk,US,True,True,False,False,2024-02-10T09:01:00.000Z
PN_AUTO_0018,+15415551461,On-call forwarding,US,True,True,True,False,2024-12-19T09:01:00.000Z
PN_AUTO_0019,+15415559288,Clinic fax line,US,True,True,True,True,2025-07-16T09:01:00.000Z
PN_AUTO_0020,+15415557483,Vendor orders line,US,True,True,True,False,2025-11-02T09:01:00.000Z
PN_AUTO_0021,+15415551271,Personal Google Voice,US,True,True,True,False,2026-05-20T09:01:00.000Z
PN_AUTO_0022,+15415555797,Photography business line,US,True,True,True,False,2026-03-12T09:01:00.000Z
PN_AUTO_0023,+15415555621,Barn intercom,US,True,True,False,False,2026-05-05T09:01:00.000Z
PN_AUTO_0024,+15415554621,Rimrock ambulatory line,US,True,True,False,False,2024-01-17T09:01:00.000Z
PN_AUTO_0025,+15415554093,Rimrock front desk,US,True,True,True,False,2024-08-07T09:01:00.000Z
PN_AUTO_0026,+15415555974,On-call forwarding,US,True,True,False,False,2025-11-07T09:01:00.000Z
PN_AUTO_0027,+15415558340,Clinic fax line,US,True,True,False,True,2024-09-05T09:01:00.000Z
PN_AUTO_0028,+15415555082,Vendor orders line,US,True,True,False,False,2024-09-24T09:01:00.000Z
PN_AUTO_0029,+15415559344,Personal Google Voice,US,True,True,True,False,2024-04-15T09:01:00.000Z
PN_AUTO_0030,+15415551365,Photography business line,US,True,True,True,False,2024-10-06T09:01:00.000Z
PN_AUTO_0031,+15415554120,Barn intercom,US,True,True,True,False,2024-12-15T09:01:00.000Z
PN_AUTO_0032,+15415551076,Rimrock ambulatory line,US,True,True,False,False,2024-01-22T09:01:00.000Z
PN_AUTO_0033,+15415552125,Rimrock front desk,US,True,True,True,False,2025-07-12T09:01:00.000Z
PN_AUTO_0034,+15415554455,On-call forwarding,US,True,True,True,False,2024-09-21T09:01:00.000Z
PN_AUTO_0035,+15415556264,Clinic fax line,US,True,True,True,True,2024-08-13T09:01:00.000Z
PN_AUTO_0036,+15415554822,Vendor orders line,US,True,True,True,False,2025-07-25T09:01:00.000Z
PN_AUTO_0037,+15415557361,Personal Google Voice,US,True,True,True,False,2024-03-04T09:01:00.000Z
PN_AUTO_0038,+15415559001,Photography business line,US,True,True,True,False,2025-07-03T09:01:00.000Z
PN_AUTO_0039,+15415555597,Barn intercom,US,True,True,False,False,2024-01-22T09:01:00.000Z
PN_AUTO_0040,+15415559489,Rimrock ambulatory line,US,True,True,True,False,2024-10-20T09:01:00.000Z
PN_AUTO_0041,+15415552138,Rimrock front desk,US,True,True,False,False,2026-03-21T09:01:00.000Z
PN_AUTO_0042,+15415557986,On-call forwarding,US,True,True,False,False,2025-03-01T09:01:00.000Z
PN_AUTO_0043,+15415556093,Clinic fax line,US,True,True,True,True,2024-09-12T09:01:00.000Z
PN_AUTO_0044,+15415558438,Vendor orders line,US,True,True,False,False,2024-08-20T09:01:00.000Z
PN_AUTO_0045,+15415559916,Personal Google Voice,US,True,True,False,False,2024-01-11T09:01:00.000Z
PN_AUTO_0046,+15415559283,Photography business line,US,True,True,True,False,2025-01-25T09:01:00.000Z
PN_AUTO_0047,+15415557606,Barn intercom,US,True,True,True,False,2025-01-25T09:01:00.000Z
PN_AUTO_0048,+15415558801,Rimrock ambulatory line,US,True,True,True,False,2025-12-24T09:01:00.000Z
PN_AUTO_0049,+15415558769,Rimrock front desk,US,True,True,True,False,2024-03-07T09:01:00.000Z
PN_AUTO_0050,+15415552767,On-call forwarding,US,True,True,False,False,2026-02-04T09:01:00.000Z
PN_AUTO_0051,+15415551793,Clinic fax line,US,True,True,True,True,2024-11-30T09:01:00.000Z
PN_AUTO_0052,+15415554032,Vendor orders line,US,True,True,True,False,2024-01-12T09:01:00.000Z
PN_AUTO_0053,+15415558644,Personal Google Voice,US,True,True,False,False,2025-02-12T09:01:00.000Z
PN_AUTO_0054,+15415558762,Photography business line,US,True,True,True,False,2025-07-14T09:01:00.000Z
PN_AUTO_0055,+15415559847,Barn intercom,US,True,True,True,False,2025-10-23T09:01:00.000Z
PN_AUTO_0056,+15415554519,Rimrock ambulatory line,US,True,True,True,False,2024-05-14T09:01:00.000Z
