id,first_name,last_name,email,username,role,billing_city,billing_country,is_paying_customer,date_created
5001,Angela,Brooks,angela.brooks.design@gmail.com,angela_test,customer,Seattle,US,True,2024-05-14T10:15:00
5002,Suki,Patel,suki.patel@u.washington.edu,suki.patel,customer,Seattle,US,True,2026-03-20T14:00:00
5003,Ravi,Krishnamurthy,ravi.k@thornfield.edu,ravi.krishnamurthy,customer,Palo Alto,US,True,2025-01-18T14:00:00
5004,Yuki,Nakamura,y.nakamura@cid.edu,yuki.nakamura,customer,Seattle,US,False,2025-01-18T14:00:00
5005,Marcus,Webb,m.webb@cid.edu,marcus.webb,customer,Seattle,US,False,2025-04-22T14:00:00
5006,Zoe,Park,zoe@greenleafyouth.org,zoe.park,customer,Seattle,US,True,2025-07-11T14:00:00
5007,Oliver,Strand,oliver.strand@fastmail.com,oliver.strand,customer,Seattle,US,True,2024-09-12T14:00:00
5008,Kevin,Brooks,kev.brooks16@fastmail.com,kevin.brooks,customer,Bellevue,US,True,2025-10-08T14:00:00
5009,Linda,Brooks,linda@goldengatebakery.com,linda.brooks,customer,Bellevue,US,True,2025-01-18T14:00:00
5010,Robert,Brooks,r.brooks@pinecrest.tech,robert.brooks,customer,Bellevue,US,True,2026-03-20T14:00:00
5011,Ruth,Brooks,ruth.b1948@fastmail.com,ruth.brooks,customer,Portland,US,True,2025-04-22T14:00:00
5012,May,Brooks,may.brooks@fastmail.com,may.brooks,customer,San Jose,US,True,2025-10-08T14:00:00
5013,Selena,Ortiz,selena@briarwood-tutoring.org,selena.ortiz,customer,Seattle,US,True,2026-02-14T13:00:00
5014,James,Whitaker,james.w@briarwood-tutoring.org,james.whitaker,customer,Seattle,US,True,2026-07-26T13:00:00
5015,Nora,Ellingsen,nora.e@briarwood-tutoring.org,nora.ellingsen,customer,Seattle,US,True,2026-02-14T13:00:00
5016,Reyna,Alvarez,reyna@harborviewwellness.co,reyna.alvarez,customer,Seattle,US,False,2026-01-07T13:00:00
5017,Devi,Ramaswamy,devi@harborviewwellness.co,devi.ramaswamy,customer,Seattle,US,False,2026-04-03T13:00:00
5018,Zoe,Park,zoe@greenleafyouth.org,zoe.park,customer,Seattle,US,True,2026-03-10T13:00:00
5019,Marcus,Isaacs,marcus.i@greenleafyouth.org,marcus.isaacs,customer,Seattle,US,True,2026-08-02T13:00:00
5020,Sasha,Sison,sasha.sison18@proton.me,sasha.sison,customer,Brooklyn,US,True,2026-08-31T09:37:00
5021,Seren,Steele,seren.steele19@hey.com,seren.steele,customer,Miami,US,True,2026-06-25T21:49:00
5022,Sharif,Tao,sharif.tao20@duck.com,sharif.tao,customer,San Francisco,US,True,2026-09-03T20:08:00
5023,Sofia,Torres,sofia.torres21@pm.me,sofia.torres,customer,Philadelphia,US,True,2026-06-08T12:59:00
5024,Sunil,Vasquez,sunil.vasquez22@mailbox.org,sunil.vasquez,customer,Seattle,US,True,2026-10-05T15:46:00
5025,Tam,Wang,tam.wang23@gmail.com,tam.wang,customer,Seattle,US,True,2026-09-02T11:43:00
5026,Tao,Woo,tao.woo24@protonmail.com,tao.woo,customer,Los Angeles,US,False,2026-09-04T13:18:00
5027,Tara,Yi,tara.yi25@fastmail.com,tara.yi,customer,Nashville,US,True,2026-09-17T15:35:00
5028,Theo,Zhao,theo.zhao26@icloud.com,theo.zhao,customer,Melbourne,US,True,2026-06-29T13:10:00
5029,Thora,Aguilar,thora.aguilar27@outlook.com,thora.aguilar,customer,San Francisco,US,True,2026-08-22T15:26:00
5030,Tobias,Basu,tobias.basu28@proton.me,tobias.basu,customer,Paris,US,True,2026-08-07T21:21:00
5031,Uma,Brennan,uma.brennan29@hey.com,uma.brennan,customer,Dallas,US,True,2026-08-25T11:30:00
5032,Vera,Chandra,vera.chandra30@duck.com,vera.chandra,customer,Madison,US,True,2026-07-14T18:13:00
5033,Vincent,Craig,vincent.craig31@pm.me,vincent.craig,customer,Toronto,US,True,2026-09-08T09:18:00
5034,Wren,Doan,wren.doan32@mailbox.org,wren.doan,customer,Detroit,US,True,2026-07-24T16:29:00
5035,Xin,Fadel,xin.fadel33@gmail.com,xin.fadel,customer,Eugene,US,False,2026-10-04T19:13:00
5036,Yara,Fox,yara.fox34@protonmail.com,yara.fox,customer,Seattle,US,True,2026-06-25T09:59:00
5037,Yasmin,Gomes,yasmin.gomes35@fastmail.com,yasmin.gomes,customer,Sacramento,US,True,2026-07-03T11:01:00
5038,Yuki,Harada,yuki.harada36@icloud.com,yuki.harada,customer,Redmond,US,False,2026-06-13T17:20:00
5039,Zara,Holt,zara.holt37@outlook.com,zara.holt,customer,Boise,US,False,2026-08-28T10:05:00
5040,Aisha,Jain,aisha.jain38@proton.me,aisha.jain,customer,Portland,US,True,2026-08-10T18:35:00
5041,Alex,Kaur,alex.kaur39@hey.com,alex.kaur,customer,Denver,US,True,2026-07-23T11:14:00
5042,Amara,Krishnan,amara.krishnan40@duck.com,amara.krishnan,customer,Oakland,US,True,2026-09-16T09:25:00
5043,Amelie,Lee,amelie.lee41@pm.me,amelie.lee,customer,San Diego,US,False,2026-08-11T09:32:00
5044,Anh,Little,anh.little42@mailbox.org,anh.little,customer,Detroit,US,False,2026-09-05T14:45:00
5045,Anika,Malik,anika.malik43@gmail.com,anika.malik,customer,Cambridge,US,True,2026-07-18T11:45:00
5046,Anton,Miller,anton.miller44@protonmail.com,anton.miller,customer,Sydney,US,True,2026-06-10T15:14:00
5047,Ari,Morris,ari.morris45@fastmail.com,ari.morris,customer,New York,US,True,2026-10-10T12:36:00
5048,Astrid,Nishida,astrid.nishida46@icloud.com,astrid.nishida,customer,Redmond,US,True,2026-07-04T18:47:00
5049,Ayaan,Okonkwo,ayaan.okonkwo47@outlook.com,ayaan.okonkwo,customer,Pittsburgh,US,True,2026-08-20T18:06:00
5050,Beatriz,Palma,beatriz.palma48@proton.me,beatriz.palma,customer,Copenhagen,US,False,2026-09-01T20:39:00
5051,Ben,Pillai,ben.pillai49@hey.com,ben.pillai,customer,Boston,US,True,2026-07-09T20:43:00
5052,Bilal,Rahim,bilal.rahim50@duck.com,bilal.rahim,customer,Dallas,US,True,2026-09-30T15:50:00
5053,Brenda,Reyes,brenda.reyes51@pm.me,brenda.reyes,customer,Kyoto,US,False,2026-06-15T21:41:00
5054,Caleb,Roman,caleb.roman52@mailbox.org,caleb.roman,customer,Baltimore,US,True,2026-06-14T21:49:00
5055,Camille,Santos,camille.santos53@gmail.com,camille.santos,customer,Toronto,US,False,2026-07-31T16:38:00
5056,Cara,Sharma,cara.sharma54@protonmail.com,cara.sharma,customer,Montreal,US,False,2026-07-17T19:30:00
5057,Chi,Smith,chi.smith55@fastmail.com,chi.smith,customer,Berlin,US,False,2026-09-06T19:40:00
5058,Clara,Sultana,clara.sultana56@icloud.com,clara.sultana,customer,Melbourne,US,True,2026-08-08T15:16:00
5059,Cora,Thao,cora.thao57@outlook.com,cora.thao,customer,Salt Lake City,US,False,2026-07-10T10:29:00
5060,Damien,Truong,damien.truong58@proton.me,damien.truong,customer,New York,US,False,2026-06-14T18:57:00
5061,Dara,Villanueva,dara.villanueva59@hey.com,dara.villanueva,customer,Sacramento,US,True,2026-09-17T17:09:00
5062,Delia,Watkins,delia.watkins60@duck.com,delia.watkins,customer,San Francisco,US,True,2026-06-07T14:51:00
5063,Devon,Xu,devon.xu61@pm.me,devon.xu,customer,Tacoma,US,False,2026-07-21T19:48:00
5064,Diego,Younis,diego.younis62@mailbox.org,diego.younis,customer,Seattle,US,True,2026-07-26T19:50:00
5065,Dmitri,Zhu,dmitri.zhu63@gmail.com,dmitri.zhu,customer,Vancouver,US,False,2026-08-10T10:34:00
5066,Elena,Akhtar,elena.akhtar64@protonmail.com,elena.akhtar,customer,Tacoma,US,True,2026-06-25T09:29:00
5067,Eli,Bell,eli.bell65@fastmail.com,eli.bell,customer,Salt Lake City,US,False,2026-06-30T18:03:00
5068,Elise,Cai,elise.cai66@icloud.com,elise.cai,customer,Brooklyn,US,True,2026-07-09T18:38:00
5069,Emil,Chen,emil.chen67@outlook.com,emil.chen,customer,Tokyo,US,True,2026-08-19T17:20:00
5070,Esperanza,Dang,esperanza.dang68@proton.me,esperanza.dang,customer,New Orleans,US,False,2026-08-05T10:31:00
5071,Farah,Drake,farah.drake69@hey.com,farah.drake,customer,Cambridge,US,True,2026-06-13T19:20:00
5072,Felix,Faulkner,felix.faulkner70@duck.com,felix.faulkner,customer,Miami,US,False,2026-10-10T21:32:00
5073,Freya,Fuentes,freya.fuentes71@pm.me,freya.fuentes,customer,Spokane,US,True,2026-10-11T10:31:00
5074,Gabi,Greer,gabi.greer72@mailbox.org,gabi.greer,customer,Madison,US,True,2026-07-10T10:07:00
5075,Georgia,Hatch,georgia.hatch73@gmail.com,georgia.hatch,customer,Seattle,US,False,2026-08-04T13:49:00
5076,Gina,Huang,gina.huang74@protonmail.com,gina.huang,customer,Seattle,US,True,2026-09-10T09:43:00
5077,Hana,Jimenez,hana.jimenez75@fastmail.com,hana.jimenez,customer,Eugene,US,True,2026-10-07T10:53:00
5078,Hazel,Khoury,hazel.khoury76@icloud.com,hazel.khoury,customer,Pittsburgh,US,True,2026-07-24T14:49:00
5079,Heidi,Lai,heidi.lai77@outlook.com,heidi.lai,customer,Cambridge,US,True,2026-06-24T19:33:00
5080,Hiro,Levine,hiro.levine78@proton.me,hiro.levine,customer,Salt Lake City,US,True,2026-07-26T20:50:00
5081,Ian,Long,ian.long79@hey.com,ian.long,customer,Seattle,US,False,2026-06-25T10:35:00
5082,Ines,Martel,ines.martel80@duck.com,ines.martel,customer,Baltimore,US,True,2026-07-07T10:44:00
5083,Ira,Mitchell,ira.mitchell81@pm.me,ira.mitchell,customer,Seattle,US,True,2026-09-22T11:18:00
5084,Isla,Nair,isla.nair82@mailbox.org,isla.nair,customer,Pittsburgh,US,True,2026-06-06T13:34:00
5085,Ivo,Nunes,ivo.nunes83@gmail.com,ivo.nunes,customer,Salt Lake City,US,True,2026-07-31T20:23:00
5086,Jamal,Ortiz,jamal.ortiz84@protonmail.com,jamal.ortiz,customer,Pittsburgh,US,True,2026-06-18T15:38:00
5087,Jasmine,Parr,jasmine.parr85@fastmail.com,jasmine.parr,customer,Los Angeles,US,True,2026-10-08T21:15:00
5088,Jia,Prasad,jia.prasad86@icloud.com,jia.prasad,customer,Portland,US,False,2026-06-28T20:48:00
5089,Joaquin,Rana,joaquin.rana87@outlook.com,joaquin.rana,customer,Minneapolis,US,True,2026-08-29T09:52:00
5090,Juno,Rios,juno.rios88@proton.me,juno.rios,customer,Kirkland,US,True,2026-07-28T11:40:00
5091,Kaito,Sadek,kaito.sadek89@hey.com,kaito.sadek,customer,Tokyo,US,True,2026-08-28T14:01:00
5092,Kalinda,Sayed,kalinda.sayed90@duck.com,kalinda.sayed,customer,Spokane,US,False,2026-06-29T10:32:00
5093,Kian,Shin,kian.shin91@pm.me,kian.shin,customer,Minneapolis,US,False,2026-08-14T10:35:00
5094,Kira,Song,kira.song92@mailbox.org,kira.song,customer,Baltimore,US,True,2026-07-16T17:10:00
5095,Lena,Sundara,lena.sundara93@gmail.com,lena.sundara,customer,Salt Lake City,US,True,2026-06-19T15:23:00
5096,Leo,Tian,leo.tian94@protonmail.com,leo.tian,customer,Seattle,US,True,2026-06-10T18:04:00
