id,employeeId,name,type,start,end
wo-dc405948,0,New Year's Day,holiday,2025-01-01,2025-01-01
wo-776f8e82,0,Memorial Day,holiday,2025-05-26,2025-05-26
wo-8fba8f0d,0,Independence Day,holiday,2025-07-04,2025-07-04
wo-3670c78e,0,Labor Day,holiday,2025-09-01,2025-09-01
wo-c0bc7949,0,Thanksgiving Day,holiday,2025-11-27,2025-11-27
wo-879968db,0,Day After Thanksgiving,holiday,2025-11-28,2025-11-28
wo-1974289d,0,Christmas Eve,holiday,2025-12-24,2025-12-24
wo-c4ce4765,0,Christmas Day,holiday,2025-12-25,2025-12-25
wo-dcc2f3c4,0,New Year's Day,holiday,2026-01-01,2026-01-01
wo-8a1de29f,0,Presidents' Day,holiday,2026-02-16,2026-02-16
wo-42a9c14f,0,Thanksgiving Day,holiday,2026-11-26,2026-11-26
wo-303e5e0a,0,Day After Thanksgiving,holiday,2026-11-27,2026-11-27
wo-65b4a550,0,Christmas Eve,holiday,2026-12-24,2026-12-24
wo-49908f1b,0,Christmas Day,holiday,2026-12-25,2026-12-25
wo-44637343,e208,Darren Yates,timeOff,2026-01-19,2026-01-20
wo-0489d826,e208,Darren Yates,timeOff,2026-03-06,2026-03-06
wo-8041a370,e208,Darren Yates,timeOff,2026-03-13,2026-03-13
wo-416d2138,e208,Darren Yates,timeOff,2026-10-14,2026-10-16
wo-e7973701,e200,Brandon Kelly,timeOff,2025-12-26,2025-12-31
wo-a70ae2f5,e208,Darren Yates,timeOff,2025-12-29,2025-12-31
wo-9e40e86c,e200,Brandon Kelly,timeOff,2025-11-26,2025-11-28
wo-063fec69,e208,Darren Yates,timeOff,2025-10-20,2025-10-21
wo-59ee3669,e200,Brandon Kelly,timeOff,2026-02-09,2026-02-09
wo-fbff6140,e208,Darren Yates,timeOff,2026-11-25,2026-11-25
