id,employeeId,type,status,start,end,amount,unit,notes,created
tor-bbef3b4b,e208,Unpaid Time Off,approved,2026-01-19,2026-01-20,2,days,"Family in town, taking Monday and Tuesday.",2026-01-12
tor-667e95a0,e208,Unpaid Time Off,approved,2026-03-06,2026-03-06,1,days,Trade school exam day.,2026-02-23
tor-755de91d,e208,Sick Leave,approved,2026-03-13,2026-03-13,1,days,"Sick, head cold.",2026-03-02
tor-6c0779fe,e208,Unpaid Time Off,requested,2026-10-14,2026-10-16,3,days,"Wedding out of state, requesting the week.",2026-03-25
tor-24635b63,e208,Unpaid Time Off,approved,2025-01-20,2025-01-20,1,days,"Snow, roads bad out to the site.",2025-01-13
tor-e581c88d,e208,Unpaid Time Off,approved,2025-02-14,2025-02-14,1,days,Taking the Friday off.,2025-02-06
tor-c02c064b,e208,Unpaid Time Off,approved,2025-03-10,2025-03-11,2,days,Moving apartments.,2025-03-03
tor-7d07c917,e208,Sick Leave,approved,2025-10-09,2025-10-09,1,days,Stomach bug.,2025-10-08
tor-05809e17,e208,Sick Leave,approved,2025-10-20,2025-10-21,2,days,"Flu, doctor said stay home.",2025-10-17
tor-9a5c8d08,e208,Unpaid Time Off,approved,2025-11-26,2025-11-28,3,days,"Thanksgiving week, family.",2025-11-10
tor-5ae97195,e208,Unpaid Time Off,approved,2025-12-29,2025-12-31,3,days,Holiday shutdown.,2025-12-15
tor-4550d06b,e208,Unpaid Time Off,denied,2025-12-05,2025-12-05,1,days,"Big panel job that Friday, need him on it.",2025-12-02
tor-fe70f97f,e200,Unpaid Time Off,approved,2025-11-26,2025-11-28,3,days,Closing the shop for Thanksgiving.,2025-11-12
tor-a9ce1c07,e200,Unpaid Time Off,approved,2025-12-26,2025-12-31,4,days,"Year-end, no jobs booked.",2025-12-10
tor-c5d551b2,e200,Unpaid Time Off,approved,2026-02-09,2026-02-09,1,days,"Birthday, taking the day.",2026-01-28
tor-ff4e08a8,e208,Sick Leave,approved,2026-02-13,2026-02-13,1,days,Bad cold.,2026-02-02
tor-7c2235f8,e208,Unpaid Time Off,denied,2026-03-20,2026-03-20,1,days,"Inspection scheduled, need both of us.",2026-03-09
tor-fe407b04,e208,Unpaid Time Off,approved,2026-03-27,2026-03-27,1,days,"DMV, license renewal.",2026-03-16
tor-57fbb1a3,e200,Unpaid Time Off,requested,2026-11-26,2026-11-27,2,days,"Thanksgiving, hosting.",2026-03-30
tor-6a56b693,e208,Unpaid Time Off,requested,2026-11-25,2026-11-27,3,days,Thanksgiving with family.,2026-03-31
tor-d8e0f8b8,e208,Unpaid Time Off,requested,2026-12-23,2026-12-26,4,days,Christmas break.,2026-03-20
tor-0320e1d8,e200,Unpaid Time Off,requested,2026-12-24,2026-12-26,3,days,"Closing the shop, holidays.",2026-03-15
