<<<<<<< HEAD
Date	Vendor_Name	Items_Purchased	Amount	Notes
2025-05-03	Stony Creek Farm	mixed lettuce radishes green onions	18.50	First market of season
2025-05-03	Bluebird Herb Garden	basil start cilantro start mint start	14.00	Got tomato starts for garden
2025-05-10	Hillside Heritage Farm	fresh eggs kale spring peas	22.75	Derek picked up honey
2025-05-10	Hocking Hills Honey	wildflower honey jar 16oz	12.00	
2025-05-17	Stony Creek Farm	spinach beet greens arugula	19.50	
2025-05-24	Clintonville Flower Farm	mixed wildflower bouquet	14.00	Bought bouquet for kitchen table
2025-05-31	Bluebird Herb Garden	dill parsley tarragon starts	16.25	
2025-06-07	Stony Creek Farm	zucchini summer squash cucumber kale	24.00	
2025-06-07	Clintonville Flower Farm	sunflower and zinnia bouquet	12.00	Bought bouquet
2025-06-14	Millbrook Produce	green beans snap peas fresh dill	21.50	
2025-06-14	Hocking Hills Honey	clover honey 12oz raw honey sampler	18.00	
2025-06-21	Stony Creek Farm	heirloom tomato starts zucchini basil	27.75	Got extra tomato starts
2025-06-28	Millbrook Produce	bell peppers banana peppers cilantro	23.00	
2025-07-05	Stony Creek Farm	heirloom tomatoes cherry tomatoes basil	32.50	Tomatoes finally in season
2025-07-05	Clintonville Flower Farm	mixed bouquet dahlias zinnias	15.00	Bought bouquet
2025-07-12	Millbrook Produce	sweet corn green beans peaches	28.75	
2025-07-12	Hocking Hills Honey	hot pepper honey 8oz	14.00	
2025-07-19	Stony Creek Farm	large heirloom tomatoes peppers eggplant	38.00	Made big batch of salsa
2025-07-26	Millbrook Produce	peaches blueberries sweet corn	29.50	
2025-08-02	Stony Creek Farm	heirloom tomatoes peppers cucumbers basil	42.00	
2025-08-02	Clintonville Flower Farm	sunflower bouquet mixed dahlias	16.00	Bought bouquet for week
2025-08-09	Millbrook Produce	sweet corn peaches late blueberries	31.50	
2025-08-09	Hocking Hills Honey	wildflower honey 16oz creamed honey 8oz	26.00	Stocked up
2025-08-16	Stony Creek Farm	tomatoes peppers jalapenos tomatillos	35.75	
2025-08-23	Millbrook Produce	end of season corn eggplant late beans	22.00	
2025-09-06	Stony Creek Farm	butternut squash acorn squash kale tomatoes	33.00	
2025-09-06	Hocking Hills Honey	apple cider vinegar honey jar	19.50	Derek picked up cider
2025-09-13	Millbrook Produce	apple cider late tomatoes collard greens	27.25	
2025-09-20	Stony Creek Farm	winter squash root vegetables late kale	29.00	
2025-10-04	Stony Creek Farm	butternut squash pie pumpkins sweet potatoes	34.00	
2025-10-04	Clintonville Flower Farm	fall mums dried flower arrangement	22.00	Last flower bouquet of season
2025-10-04	Hocking Hills Honey	apple butter wildflower honey gift set	31.00	Bought for holiday gifts
2025-10-04	Millbrook Produce	apple cider decorative gourds ornamental corn	18.50	Last market of season
=======
Date	Vendor_Name	Items_Purchased	Amount	Notes
2025-05-03	Stony Creek Farm	mixed lettuce radishes green onions	18.50	First market of season
2025-05-03	Bluebird Herb Garden	basil start cilantro start mint start	14.00	Got tomato starts for garden
2025-05-10	Hillside Heritage Farm	fresh eggs kale spring peas	22.75	Derek picked up honey
2025-05-10	Hocking Hills Honey	wildflower honey jar 16oz	12.00	
2025-05-17	Stony Creek Farm	spinach beet greens arugula	19.50	
2025-05-24	Clintonville Flower Farm	mixed wildflower bouquet	14.00	Bought bouquet for kitchen table
2025-05-31	Bluebird Herb Garden	dill parsley tarragon starts	16.25	
2025-06-07	Stony Creek Farm	zucchini summer squash cucumber kale	24.00	
2025-06-07	Clintonville Flower Farm	sunflower and zinnia bouquet	12.00	Bought bouquet
2025-06-14	Millbrook Produce	green beans snap peas fresh dill	21.50	
2025-06-14	Hocking Hills Honey	clover honey 12oz raw honey sampler	18.00	
2025-06-21	Stony Creek Farm	heirloom tomato starts zucchini basil	27.75	Got extra tomato starts
2025-06-28	Millbrook Produce	bell peppers banana peppers cilantro	23.00	
2025-07-05	Stony Creek Farm	heirloom tomatoes cherry tomatoes basil	32.50	Tomatoes finally in season
2025-07-05	Clintonville Flower Farm	mixed bouquet dahlias zinnias	15.00	Bought bouquet
2025-07-12	Millbrook Produce	sweet corn green beans peaches	28.75	
2025-07-12	Hocking Hills Honey	hot pepper honey 8oz	14.00	
2025-07-19	Stony Creek Farm	large heirloom tomatoes peppers eggplant	38.00	Made big batch of salsa
2025-07-26	Millbrook Produce	peaches blueberries sweet corn	29.50	
2025-08-02	Stony Creek Farm	heirloom tomatoes peppers cucumbers basil	42.00	
2025-08-02	Clintonville Flower Farm	sunflower bouquet mixed dahlias	16.00	Bought bouquet for week
2025-08-09	Millbrook Produce	sweet corn peaches late blueberries	31.50	
2025-08-09	Hocking Hills Honey	wildflower honey 16oz creamed honey 8oz	26.00	Stocked up
2025-08-16	Stony Creek Farm	tomatoes peppers jalapenos tomatillos	35.75	
2025-08-23	Millbrook Produce	end of season corn eggplant late beans	22.00	
2025-09-06	Stony Creek Farm	butternut squash acorn squash kale tomatoes	33.00	
2025-09-06	Hocking Hills Honey	apple cider vinegar honey jar	19.50	Derek picked up cider
2025-09-13	Millbrook Produce	apple cider late tomatoes collard greens	27.25	
2025-09-20	Stony Creek Farm	winter squash root vegetables late kale	29.00	
2025-10-04	Stony Creek Farm	butternut squash pie pumpkins sweet potatoes	34.00	
2025-10-04	Clintonville Flower Farm	fall mums dried flower arrangement	22.00	Last flower bouquet of season
2025-10-04	Hocking Hills Honey	apple butter wildflower honey gift set	31.00	Bought for holiday gifts
2025-10-04	Millbrook Produce	apple cider decorative gourds ornamental corn	18.50	Last market of season
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
