<<<<<<< HEAD
Date	Time	Track_Title	Artist	Album_Or_Show	Duration_sec	Content_Type	Device
2025-01-06	21:16	Running Your First Half Marathon	Ali on the Run Show	Ali on the Run Show	3120	Podcast Episode	MacBook Air
2025-01-09	08:50	Long Road Home	Running Rhythm	Marathon Mix	241	Music Track	iPhone 15
2025-01-13	19:46	The Wellness Industry	Maintenance Phase	Maintenance Phase	3600	Podcast Episode	MacBook Air
2025-01-20	07:26	Morning Miles	Running Rhythm	Morning Miles	198	Music Track	iPhone 15
2025-01-23	20:33	The Biggest Loser	Maintenance Phase	Maintenance Phase	3900	Podcast Episode	MacBook Air
2025-01-27	07:22	Hill Repeats	Running Rhythm	Morning Miles	188	Music Track	iPhone 15
2025-02-03	08:52	Morning Miles	Running Rhythm	Morning Miles	198	Music Track	iPhone 15
2025-02-06	06:49	Strong Stride	Endurance Beat	Long Run Sessions	207	Music Track	iPhone 15
2025-02-10	06:55	Hill Repeats	Running Rhythm	Morning Miles	188	Music Track	iPhone 15
2025-02-17	21:15	Processed Food and the Diet Industry Part 1	Maintenance Phase	Maintenance Phase	3480	Podcast Episode	MacBook Air
2025-02-24	21:31	Morning News Briefing April	The Daily	The Daily	1920	Podcast Episode	MacBook Air
2025-03-03	19:37	Weight Loss Drugs	Maintenance Phase	Maintenance Phase	4020	Podcast Episode	MacBook Air
2025-03-07	20:11	The Wellness Industry	Maintenance Phase	Maintenance Phase	3600	Podcast Episode	MacBook Air
2025-03-10	08:47	Long Road Home	Running Rhythm	Marathon Mix	241	Music Track	iPhone 15
2025-03-17	19:22	Morning News Briefing December	The Daily	The Daily	1860	Podcast Episode	MacBook Air
2025-03-20	20:12	How to Stay Motivated in Winter Training	Ali on the Run Show	Ali on the Run Show	3240	Podcast Episode	MacBook Air
2025-03-24	08:46	Cadence Up	Endurance Beat	Long Run Sessions	204	Music Track	iPhone 15
2025-04-03	07:51	Easy Does It	Recovery Run Collective	Easy Miles	233	Music Track	iPhone 15
2025-04-05	19:50	Training Through Injury with Dr. Amy Goss	Ali on the Run Show	Ali on the Run Show	3480	Podcast Episode	MacBook Air
2025-04-12	08:45	Easy Does It	Recovery Run Collective	Easy Miles	233	Music Track	iPhone 15
2025-04-19	06:24	Breathe and Push	Cardio Collective	Track Season	196	Music Track	iPhone 15
2025-04-26	06:14	Crossing Lines	Upbeat Running Mix	Race Day	222	Music Track	iPhone 15
2025-05-03	21:35	Morning News Briefing June	The Daily	The Daily	1740	Podcast Episode	MacBook Air
2025-05-08	06:43	Pacemaker	Cardio Collective	Track Season	224	Music Track	iPhone 15
2025-05-10	08:54	Keep Moving Forward	Endurance Beat	Long Run Sessions	215	Music Track	iPhone 15
