<<<<<<< HEAD
Date	Description	Amount	Balance
2025-10-01	Mortgage Payment HTN-MTG-2024-881204	-1350.00	2058.72
2025-10-03	Kestrel Healthcare Payroll Direct Deposit	2005.00	4063.72
2025-10-04	Kroger Clintonville	-112.47	3951.25
2025-10-05	State Farm Insurance SF-OH-47748203	-165.00	3786.25
2025-10-09	Speedway Gas Station Columbus OH	-47.80	3738.45
2025-10-12	Kroger Clintonville	-88.93	3649.52
2025-10-15	Amazon Purchase	-54.37	3595.15
2025-10-17	Kestrel Healthcare Payroll Direct Deposit	2005.00	5600.15
2025-10-18	T-Mobile Wireless	-90.00	5510.15
2025-10-19	Spectrum Internet	-65.00	5445.15
2025-10-21	Netflix Hulu Spotify Subscriptions	-45.00	5400.15
2025-10-25	Kroger Clintonville	-147.62	5252.53
2025-10-31	Kestrel Healthcare Payroll Direct Deposit	2005.00	7257.53
2025-11-01	Mortgage Payment HTN-MTG-2024-881204	-1350.00	5907.53
2025-11-01	Zelle Transfer Aunt Carol Novak	-400.00	5507.53
2025-11-02	Kroger Clintonville	-95.14	5412.39
2025-11-03	Huntington Auto Loan HTN-AUTO-2021-774823	-340.00	5072.39
2025-11-03	MOHELA Student Loans MOHE-20190087	-680.00	4392.39
2025-11-05	EdFinancial Student Loans EDF-DJ-20180234	-140.00	4252.39
2025-11-07	Speedway Gas Station Columbus OH	-49.25	4203.14
2025-11-12	Amazon Purchase	-87.92	4115.22
2025-11-14	Kestrel Healthcare Payroll Direct Deposit	2005.00	6120.22
2025-11-15	State Farm Insurance SF-OH-47748203	-165.00	5955.22
2025-11-16	Kroger Clintonville	-118.40	5836.82
2025-11-18	T-Mobile Wireless	-90.00	5746.82
2025-11-18	Spectrum Internet	-65.00	5681.82
2025-11-20	Netflix Hulu Spotify Subscriptions	-45.00	5636.82
2025-11-23	Kroger Clintonville	-182.55	5454.27
2025-11-28	Kestrel Healthcare Payroll Direct Deposit	2005.00	7459.27
2025-12-01	Mortgage Payment HTN-MTG-2024-881204	-1350.00	6109.27
2025-12-03	Huntington Auto Loan HTN-AUTO-2021-774823	-340.00	5769.27
2025-12-05	MOHELA Student Loans MOHE-20190087	-680.00	5089.27
2025-12-05	EdFinancial Student Loans EDF-DJ-20180234	-140.00	4949.27
2025-12-06	Speedway Gas Station Columbus OH	-51.60	4897.67
2025-12-07	Kroger Clintonville	-124.80	4772.87
2025-12-08	Amazon Purchase	-38.15	4734.72
2025-12-10	Clintonville Community Church	-100.00	4634.72
2025-12-12	Kestrel Healthcare Payroll Direct Deposit	2005.00	6639.72
2025-12-14	Kroger Clintonville	-168.33	6471.39
2025-12-15	State Farm Insurance SF-OH-47748203	-165.00	6306.39
2025-12-15	T-Mobile Wireless	-90.00	6216.39
2025-12-16	Spectrum Internet	-65.00	6151.39
2025-12-17	Netflix Hulu Spotify Subscriptions	-45.00	6106.39
2025-12-21	Kroger Clintonville	-193.47	5912.92
2025-12-26	Kestrel Healthcare Payroll Direct Deposit	2005.00	7917.92
2025-12-28	Transfer to Savings Account 7301284659	-500.00	7417.92
=======
Date	Description	Amount	Balance
2025-10-01	Mortgage Payment HTN-MTG-2024-881204	-1350.00	2058.72
2025-10-03	Kestrel Healthcare Payroll Direct Deposit	2005.00	4063.72
2025-10-04	Kroger Clintonville	-112.47	3951.25
2025-10-05	State Farm Insurance SF-OH-47748203	-165.00	3786.25
2025-10-09	Speedway Gas Station Columbus OH	-47.80	3738.45
2025-10-12	Kroger Clintonville	-88.93	3649.52
2025-10-15	Amazon Purchase	-54.37	3595.15
2025-10-17	Kestrel Healthcare Payroll Direct Deposit	2005.00	5600.15
2025-10-18	T-Mobile Wireless	-90.00	5510.15
2025-10-19	Spectrum Internet	-65.00	5445.15
2025-10-21	Netflix Hulu Spotify Subscriptions	-45.00	5400.15
2025-10-25	Kroger Clintonville	-147.62	5252.53
2025-10-31	Kestrel Healthcare Payroll Direct Deposit	2005.00	7257.53
2025-11-01	Mortgage Payment HTN-MTG-2024-881204	-1350.00	5907.53
2025-11-01	Zelle Transfer Aunt Carol Novak	-400.00	5507.53
2025-11-02	Kroger Clintonville	-95.14	5412.39
2025-11-03	Huntington Auto Loan HTN-AUTO-2021-774823	-340.00	5072.39
2025-11-03	MOHELA Student Loans MOHE-20190087	-680.00	4392.39
2025-11-05	EdFinancial Student Loans EDF-DJ-20180234	-140.00	4252.39
2025-11-07	Speedway Gas Station Columbus OH	-49.25	4203.14
2025-11-12	Amazon Purchase	-87.92	4115.22
2025-11-14	Kestrel Healthcare Payroll Direct Deposit	2005.00	6120.22
2025-11-15	State Farm Insurance SF-OH-47748203	-165.00	5955.22
2025-11-16	Kroger Clintonville	-118.40	5836.82
2025-11-18	T-Mobile Wireless	-90.00	5746.82
2025-11-18	Spectrum Internet	-65.00	5681.82
2025-11-20	Netflix Hulu Spotify Subscriptions	-45.00	5636.82
2025-11-23	Kroger Clintonville	-182.55	5454.27
2025-11-28	Kestrel Healthcare Payroll Direct Deposit	2005.00	7459.27
2025-12-01	Mortgage Payment HTN-MTG-2024-881204	-1350.00	6109.27
2025-12-03	Huntington Auto Loan HTN-AUTO-2021-774823	-340.00	5769.27
2025-12-05	MOHELA Student Loans MOHE-20190087	-680.00	5089.27
2025-12-05	EdFinancial Student Loans EDF-DJ-20180234	-140.00	4949.27
2025-12-06	Speedway Gas Station Columbus OH	-51.60	4897.67
2025-12-07	Kroger Clintonville	-124.80	4772.87
2025-12-08	Amazon Purchase	-38.15	4734.72
2025-12-10	Clintonville Community Church	-100.00	4634.72
2025-12-12	Kestrel Healthcare Payroll Direct Deposit	2005.00	6639.72
2025-12-14	Kroger Clintonville	-168.33	6471.39
2025-12-15	State Farm Insurance SF-OH-47748203	-165.00	6306.39
2025-12-15	T-Mobile Wireless	-90.00	6216.39
2025-12-16	Spectrum Internet	-65.00	6151.39
2025-12-17	Netflix Hulu Spotify Subscriptions	-45.00	6106.39
2025-12-21	Kroger Clintonville	-193.47	5912.92
2025-12-26	Kestrel Healthcare Payroll Direct Deposit	2005.00	7917.92
2025-12-28	Transfer to Savings Account 7301284659	-500.00	7417.92
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
