<<<<<<< HEAD
Name	Relation	Phone	Email	Notes
Derek Jones	Husband	(614) 555-0134	derek.jones.math@gmail.com	Ridgewood Middle School math teacher
Linda Novak	Mother	(614) 555-0148	linda.novak@gmail.com	Home health aide call Monday evenings
Robert Novak	Father	(614) 555-0149	robert.novak.oh@gmail.com	Rideshare driver type 2 diabetes check on diet
Lauren Novak	Sister	(614) 555-0163	lauren.novak27@gmail.com	MBA student Ironwood College
Tyler Novak	Brother	(614) 555-0175	tyler.novak.it@gmail.com	IT support Ashdale Technologies
Aunt Carol Novak	Aunt	(614) 555-0160		Quarterly $400 support via Zelle rural Ohio
Rachel Torres	Best Friend	(614) 555-0192	rachel.torres.np@gmail.com	Nurse practitioner Montrose Medical voice memos
Dr. Karen Whitfield	Supervisor	(614) 555-0208	karen.whitfield@gmail.com	Director Pediatric Rehabilitation Kestrel Healthcare
Sarah Mitchell	PT Colleague	(614) 555-0219	sarah.mitchell.pt@gmail.com	Shares caseload coverage
Gloria Jones	Mother-in-law	(937) 555-0231	gloria.jones.dayton@gmail.com	Retired postal worker Dayton
Coach Diane Palmer	Former Coach	(513) 555-0243	diane.palmer@gmail.com	Mapleton track coach mentor
Pastor Jim Reardon	Pastor	(614) 555-0256		Clintonville Community Church
Dr. Sarah Chen	Physician	(614) 555-0267		Meridian Medical annual physical
Dr. Kevin Walsh	Dentist			Clintonville Family Dental cleaning due November 2026
=======
Name	Relation	Phone	Email	Notes
Derek Jones	Husband	(614) 555-0134	derek.jones.math@gmail.com	Ridgewood Middle School math teacher
Linda Novak	Mother	(614) 555-0148	linda.novak@gmail.com	Home health aide call Monday evenings
Robert Novak	Father	(614) 555-0149	robert.novak.oh@gmail.com	Rideshare driver type 2 diabetes check on diet
Lauren Novak	Sister	(614) 555-0163	lauren.novak27@gmail.com	MBA student Ironwood College
Tyler Novak	Brother	(614) 555-0175	tyler.novak.it@gmail.com	IT support Ashdale Technologies
Aunt Carol Novak	Aunt	(614) 555-0160		Quarterly $400 support via Zelle rural Ohio
Rachel Torres	Best Friend	(614) 555-0192	rachel.torres.np@gmail.com	Nurse practitioner Montrose Medical voice memos
Dr. Karen Whitfield	Supervisor	(614) 555-0208	karen.whitfield@gmail.com	Director Pediatric Rehabilitation Kestrel Healthcare
Sarah Mitchell	PT Colleague	(614) 555-0219	sarah.mitchell.pt@gmail.com	Shares caseload coverage
Gloria Jones	Mother-in-law	(937) 555-0231	gloria.jones.dayton@gmail.com	Retired postal worker Dayton
Coach Diane Palmer	Former Coach	(513) 555-0243	diane.palmer@gmail.com	Mapleton track coach mentor
Pastor Jim Reardon	Pastor	(614) 555-0256		Clintonville Community Church
Dr. Sarah Chen	Physician	(614) 555-0267		Meridian Medical annual physical
Dr. Kevin Walsh	Dentist			Clintonville Family Dental cleaning due November 2026
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
