<<<<<<< HEAD
Week_Of	Session_Type	Sessions_Completed	Avg_Duration_Min	Patient_Age_Range	Primary_Diagnosis_Category	Notes
2025-01-06	Therapeutic Exercise	21	48	2-12 years	CP/Neuromuscular	Insurance auth pending for 3 patients
2025-01-13	Gait Training	22	53	2-12 years	Developmental Delay	New eval family in transition from EI services
2025-01-20	Neurodevelopmental Treatment	23	52	2-12 years	Post-Surgical	Saturday makeup session included
2025-01-27	Family Education	23	48	2-12 years	Torticollis	2 patients on school break schedule
2025-02-03	Initial Evaluation	26	47	2-12 years	Sports Injury	Aquatic pool maintenance reduced sessions by 1
2025-02-10	Aquatic Therapy	26	58	2-12 years	CP/Neuromuscular	Coverage for colleague Sarah Mitchell on Wednesday
2025-02-17	Therapeutic Exercise	22	45	2-12 years	Developmental Delay	Parent training session added mid-week
2025-02-24	Gait Training	22	51	2-12 years	Post-Surgical	Hamstring strain PT observation added to weekly note
2025-03-03	Neurodevelopmental Treatment	23	45	2-12 years	Torticollis	IEP coordination call with 2 school teams
2025-03-10	Family Education	26	51	2-12 years	Sports Injury	Productivity review submitted to Dr. Whitfield
2025-03-17	Initial Evaluation	26	58	2-12 years	CP/Neuromuscular	New authorization received for 4 patients this week
2025-03-24	Aquatic Therapy	23	59	2-12 years	Developmental Delay	Progress notes due end of month
2025-03-31	Therapeutic Exercise	26	53	2-12 years	Post-Surgical	Holiday schedule reduced to 20 sessions
2025-04-07	Gait Training	22	50	2-12 years	Torticollis	Summer schedule overlap with camp programs
2025-04-14	Neurodevelopmental Treatment	25	55	2-12 years	Sports Injury	2 new evaluations on Thursday afternoon
2025-04-21	Family Education	24	49	2-12 years	CP/Neuromuscular	Telehealth follow-up for post-surgical patient
2025-04-28	Initial Evaluation	23	55	2-12 years	Developmental Delay	Sensory gym equipment maintenance this week
2025-05-05	Aquatic Therapy	22	47	2-12 years	Post-Surgical	Family home program update for 5 patients
2025-05-12	Therapeutic Exercise	25	48	2-12 years	Torticollis	Discharge planning for 2 patients meeting goals
2025-05-19	Gait Training	24	56	2-12 years	Sports Injury	Caseload adjustment pending insurance decisions
2025-05-26	Neurodevelopmental Treatment	26	53	2-12 years	CP/Neuromuscular	Monthly team meeting with Kestrel outpatient staff
2025-06-02	Family Education	22	59	2-12 years	Developmental Delay	Back-to-school schedule changes noted
2025-06-09	Initial Evaluation	26	48	2-12 years	Post-Surgical	Spring break makeup sessions scheduled
2025-06-16	Aquatic Therapy	25	47	2-12 years	Torticollis	Conference attendance reduced coverage to 22 sessions
2025-06-23	Therapeutic Exercise	26	54	2-12 years	Sports Injury	Year-end documentation review completed
2025-06-30	Gait Training	26	56	2-12 years	CP/Neuromuscular	Insurance auth pending for 3 patients
2025-07-07	Neurodevelopmental Treatment	26	51	2-12 years	Developmental Delay	New eval family in transition from EI services
2025-07-14	Family Education	22	46	2-12 years	Post-Surgical	Saturday makeup session included
2025-07-21	Initial Evaluation	23	54	2-12 years	Torticollis	2 patients on school break schedule
2025-07-28	Aquatic Therapy	22	52	2-12 years	Sports Injury	Aquatic pool maintenance reduced sessions by 1
2025-08-04	Therapeutic Exercise	22	57	2-12 years	CP/Neuromuscular	Coverage for colleague Sarah Mitchell on Wednesday
2025-08-11	Gait Training	24	59	2-12 years	Developmental Delay	Parent training session added mid-week
2025-08-18	Neurodevelopmental Treatment	24	50	2-12 years	Post-Surgical	Hamstring strain PT observation added to weekly note
2025-08-25	Family Education	24	56	2-12 years	Torticollis	IEP coordination call with 2 school teams
2025-09-01	Initial Evaluation	23	53	2-12 years	Sports Injury	Productivity review submitted to Dr. Whitfield
2025-09-08	Aquatic Therapy	22	50	2-12 years	CP/Neuromuscular	New authorization received for 4 patients this week
2025-09-15	Therapeutic Exercise	26	52	2-12 years	Developmental Delay	Progress notes due end of month
2025-09-22	Gait Training	23	59	2-12 years	Post-Surgical	Holiday schedule reduced to 20 sessions
2025-09-29	Neurodevelopmental Treatment	25	53	2-12 years	Torticollis	Summer schedule overlap with camp programs
2025-10-06	Family Education	26	52	2-12 years	Sports Injury	2 new evaluations on Thursday afternoon
2025-10-13	Initial Evaluation	24	46	2-12 years	CP/Neuromuscular	Telehealth follow-up for post-surgical patient
2025-10-20	Aquatic Therapy	23	46	2-12 years	Developmental Delay	Sensory gym equipment maintenance this week
2025-10-27	Therapeutic Exercise	24	57	2-12 years	Post-Surgical	Family home program update for 5 patients
2025-11-03	Gait Training	24	47	2-12 years	Torticollis	Discharge planning for 2 patients meeting goals
2025-11-10	Neurodevelopmental Treatment	23	55	2-12 years	Sports Injury	Caseload adjustment pending insurance decisions
2025-11-17	Family Education	23	60	2-12 years	CP/Neuromuscular	Monthly team meeting with Kestrel outpatient staff
2025-11-24	Initial Evaluation	25	59	2-12 years	Developmental Delay	Back-to-school schedule changes noted
2025-12-01	Aquatic Therapy	23	53	2-12 years	Post-Surgical	Spring break makeup sessions scheduled
2025-12-08	Therapeutic Exercise	23	52	2-12 years	Torticollis	Conference attendance reduced coverage to 22 sessions
2025-12-15	Gait Training	26	53	2-12 years	Sports Injury	Year-end documentation review completed
2025-12-22	Neurodevelopmental Treatment	20	58	2-12 years	CP/Neuromuscular	Insurance auth pending for 3 patients
2025-12-29	Family Education	20	57	2-12 years	Developmental Delay	New eval family in transition from EI services
=======
Week_Of	Session_Type	Sessions_Completed	Avg_Duration_Min	Patient_Age_Range	Primary_Diagnosis_Category	Notes
2025-01-06	Therapeutic Exercise	21	48	2-12 years	CP/Neuromuscular	Insurance auth pending for 3 patients
2025-01-13	Gait Training	22	53	2-12 years	Developmental Delay	New eval family in transition from EI services
2025-01-20	Neurodevelopmental Treatment	23	52	2-12 years	Post-Surgical	Saturday makeup session included
2025-01-27	Family Education	23	48	2-12 years	Torticollis	2 patients on school break schedule
2025-02-03	Initial Evaluation	26	47	2-12 years	Sports Injury	Aquatic pool maintenance reduced sessions by 1
2025-02-10	Aquatic Therapy	26	58	2-12 years	CP/Neuromuscular	Coverage for colleague Sarah Mitchell on Wednesday
2025-02-17	Therapeutic Exercise	22	45	2-12 years	Developmental Delay	Parent training session added mid-week
2025-02-24	Gait Training	22	51	2-12 years	Post-Surgical	Hamstring strain PT observation added to weekly note
2025-03-03	Neurodevelopmental Treatment	23	45	2-12 years	Torticollis	IEP coordination call with 2 school teams
2025-03-10	Family Education	26	51	2-12 years	Sports Injury	Productivity review submitted to Dr. Whitfield
2025-03-17	Initial Evaluation	26	58	2-12 years	CP/Neuromuscular	New authorization received for 4 patients this week
2025-03-24	Aquatic Therapy	23	59	2-12 years	Developmental Delay	Progress notes due end of month
2025-03-31	Therapeutic Exercise	26	53	2-12 years	Post-Surgical	Holiday schedule reduced to 20 sessions
2025-04-07	Gait Training	22	50	2-12 years	Torticollis	Summer schedule overlap with camp programs
2025-04-14	Neurodevelopmental Treatment	25	55	2-12 years	Sports Injury	2 new evaluations on Thursday afternoon
2025-04-21	Family Education	24	49	2-12 years	CP/Neuromuscular	Telehealth follow-up for post-surgical patient
2025-04-28	Initial Evaluation	23	55	2-12 years	Developmental Delay	Sensory gym equipment maintenance this week
2025-05-05	Aquatic Therapy	22	47	2-12 years	Post-Surgical	Family home program update for 5 patients
2025-05-12	Therapeutic Exercise	25	48	2-12 years	Torticollis	Discharge planning for 2 patients meeting goals
2025-05-19	Gait Training	24	56	2-12 years	Sports Injury	Caseload adjustment pending insurance decisions
2025-05-26	Neurodevelopmental Treatment	26	53	2-12 years	CP/Neuromuscular	Monthly team meeting with Kestrel outpatient staff
2025-06-02	Family Education	22	59	2-12 years	Developmental Delay	Back-to-school schedule changes noted
2025-06-09	Initial Evaluation	26	48	2-12 years	Post-Surgical	Spring break makeup sessions scheduled
2025-06-16	Aquatic Therapy	25	47	2-12 years	Torticollis	Conference attendance reduced coverage to 22 sessions
2025-06-23	Therapeutic Exercise	26	54	2-12 years	Sports Injury	Year-end documentation review completed
2025-06-30	Gait Training	26	56	2-12 years	CP/Neuromuscular	Insurance auth pending for 3 patients
2025-07-07	Neurodevelopmental Treatment	26	51	2-12 years	Developmental Delay	New eval family in transition from EI services
2025-07-14	Family Education	22	46	2-12 years	Post-Surgical	Saturday makeup session included
2025-07-21	Initial Evaluation	23	54	2-12 years	Torticollis	2 patients on school break schedule
2025-07-28	Aquatic Therapy	22	52	2-12 years	Sports Injury	Aquatic pool maintenance reduced sessions by 1
2025-08-04	Therapeutic Exercise	22	57	2-12 years	CP/Neuromuscular	Coverage for colleague Sarah Mitchell on Wednesday
2025-08-11	Gait Training	24	59	2-12 years	Developmental Delay	Parent training session added mid-week
2025-08-18	Neurodevelopmental Treatment	24	50	2-12 years	Post-Surgical	Hamstring strain PT observation added to weekly note
2025-08-25	Family Education	24	56	2-12 years	Torticollis	IEP coordination call with 2 school teams
2025-09-01	Initial Evaluation	23	53	2-12 years	Sports Injury	Productivity review submitted to Dr. Whitfield
2025-09-08	Aquatic Therapy	22	50	2-12 years	CP/Neuromuscular	New authorization received for 4 patients this week
2025-09-15	Therapeutic Exercise	26	52	2-12 years	Developmental Delay	Progress notes due end of month
2025-09-22	Gait Training	23	59	2-12 years	Post-Surgical	Holiday schedule reduced to 20 sessions
2025-09-29	Neurodevelopmental Treatment	25	53	2-12 years	Torticollis	Summer schedule overlap with camp programs
2025-10-06	Family Education	26	52	2-12 years	Sports Injury	2 new evaluations on Thursday afternoon
2025-10-13	Initial Evaluation	24	46	2-12 years	CP/Neuromuscular	Telehealth follow-up for post-surgical patient
2025-10-20	Aquatic Therapy	23	46	2-12 years	Developmental Delay	Sensory gym equipment maintenance this week
2025-10-27	Therapeutic Exercise	24	57	2-12 years	Post-Surgical	Family home program update for 5 patients
2025-11-03	Gait Training	24	47	2-12 years	Torticollis	Discharge planning for 2 patients meeting goals
2025-11-10	Neurodevelopmental Treatment	23	55	2-12 years	Sports Injury	Caseload adjustment pending insurance decisions
2025-11-17	Family Education	23	60	2-12 years	CP/Neuromuscular	Monthly team meeting with Kestrel outpatient staff
2025-11-24	Initial Evaluation	25	59	2-12 years	Developmental Delay	Back-to-school schedule changes noted
2025-12-01	Aquatic Therapy	23	53	2-12 years	Post-Surgical	Spring break makeup sessions scheduled
2025-12-08	Therapeutic Exercise	23	52	2-12 years	Torticollis	Conference attendance reduced coverage to 22 sessions
2025-12-15	Gait Training	26	53	2-12 years	Sports Injury	Year-end documentation review completed
2025-12-22	Neurodevelopmental Treatment	20	58	2-12 years	CP/Neuromuscular	Insurance auth pending for 3 patients
2025-12-29	Family Education	20	57	2-12 years	Developmental Delay	New eval family in transition from EI services
>>>>>>> 4e4ecc5ce026dfe93cb7a2ee56839c707900e068
