Date	Beneficiary	Account	Amount	Method	RunningBalance
2025-08-01	Hana Mosley	DA-5582019	400.00	auto from BECU	27200.00
2025-08-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	13200.00
2025-09-01	Hana Mosley	DA-5582019	400.00	auto from BECU	27600.00
2025-09-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	13600.00
2025-10-01	Hana Mosley	DA-5582019	400.00	auto from BECU	28000.00
2025-10-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	14000.00
2025-11-01	Hana Mosley	DA-5582019	400.00	auto from BECU	28400.00
2025-11-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	14400.00
2025-12-01	Hana Mosley	DA-5582019	400.00	auto from BECU	28800.00
2025-12-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	14800.00
2026-01-01	Hana Mosley	DA-5582019	400.00	auto from BECU	29200.00
2026-01-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	15200.00
2026-02-01	Hana Mosley	DA-5582019	400.00	auto from BECU	29600.00
2026-02-01	Kenji Mosley	DA-5582020	400.00	auto from BECU	15600.00
