request_id,product_id,status,rider_id,driver_name,vehicle,license_plate,start_latitude,start_longitude,start_address,end_latitude,end_longitude,end_address,distance_miles,duration_minutes,fare,surge_multiplier,requested_at,completed_at
trip_001,prod_001,completed,rider_001,James,Honda Accord,MD-1234,39.2795,-76.6082,Federal Hill,39.2904,-76.6122,Inner Harbor,1.2,8,12.50,1.0,2026-10-05T18:30:00-04:00,2026-10-05T18:38:00-04:00
trip_0002,prod_001,completed,rider_001,Driver_0,Toyota Camry,MD-0000,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,3.8,16,13.97,1.0,2026-10-02T21:00:00-04:00,
trip_0003,prod_001,completed,rider_001,Driver_1,Toyota Camry,MD-0001,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,3.4,12,9.38,1.0,2026-10-05T17:00:00-04:00,
trip_0004,prod_001,completed,rider_001,Driver_2,Toyota Camry,MD-0002,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,2.0,14,9.37,1.0,2026-10-05T08:00:00-04:00,
trip_0005,prod_001,completed,rider_001,Driver_3,Toyota Camry,MD-0003,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,2.3,12,8.08,1.0,2026-10-04T13:00:00-04:00,
trip_0006,prod_001,completed,rider_001,Driver_4,Toyota Camry,MD-0004,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,2.7,17,22.53,1.0,2026-10-10T21:00:00-04:00,
trip_0007,prod_001,completed,rider_001,Driver_5,Toyota Camry,MD-0005,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,1.3,5,18.95,1.0,2026-10-09T20:00:00-04:00,
trip_0008,prod_001,completed,rider_001,Driver_6,Toyota Camry,MD-0006,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,4.5,17,11.72,1.0,2026-10-01T21:00:00-04:00,
trip_0009,prod_001,completed,rider_001,Driver_7,Toyota Camry,MD-0007,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,3.1,9,22.41,1.0,2026-10-09T14:00:00-04:00,
trip_0010,prod_001,completed,rider_001,Driver_8,Toyota Camry,MD-0008,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,1.4,12,21.47,1.0,2026-10-08T15:00:00-04:00,
trip_0011,prod_001,completed,rider_001,Driver_9,Toyota Camry,MD-0009,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,4.3,7,24.68,1.0,2026-10-02T13:00:00-04:00,
trip_0012,prod_001,completed,rider_001,Driver_10,Toyota Camry,MD-0010,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,5.0,12,24.25,1.0,2026-10-02T18:00:00-04:00,
trip_0013,prod_001,completed,rider_001,Driver_11,Toyota Camry,MD-0011,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,4.7,17,15.56,1.0,2026-10-04T08:00:00-04:00,
trip_0014,prod_001,completed,rider_001,Driver_12,Toyota Camry,MD-0012,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,4.7,6,15.27,1.0,2026-10-06T10:00:00-04:00,
trip_0015,prod_001,completed,rider_001,Driver_13,Toyota Camry,MD-0013,39.28,-76.61,Federal Hill,39.29,-76.61,Baltimore,1.2,19,13.60,1.0,2026-10-08T21:00:00-04:00,
trip_00016,prod_001,completed,rider_001,Driver_16,Toyota Camry,XX-0016,39.28,-76.61,Downtown,39.29,-76.62,Destination,6.2,21,13.28,1.0,2026-10-02T00:00:00-04:00,
trip_00017,prod_001,completed,rider_001,Driver_17,Toyota Camry,XX-0017,39.28,-76.61,Downtown,39.29,-76.62,Destination,7.3,32,10.13,1.0,2026-04-12T00:00:00-04:00,
trip_00018,prod_001,completed,rider_001,Driver_18,Toyota Camry,XX-0018,39.28,-76.61,Downtown,39.29,-76.62,Destination,8.7,8,13.16,1.0,2026-06-20T00:00:00-04:00,
trip_00019,prod_001,completed,rider_001,Driver_19,Toyota Camry,XX-0019,39.28,-76.61,Downtown,39.29,-76.62,Destination,11.2,23,36.27,1.0,2026-09-02T00:00:00-04:00,
trip_00020,prod_001,completed,rider_001,Driver_20,Toyota Camry,XX-0020,39.28,-76.61,Downtown,39.29,-76.62,Destination,1.8,5,41.24,1.0,2026-04-17T00:00:00-04:00,
