Harrington Arts Academy	Foundations Department	Fall 2025	FND 104 Foundations of Mixed Media
Instructor: Nancy Crawford	Section: 01	Submitted: 2025-12-16	Grades due: 2025-12-16
Student ID	Last Name	First Name	Studio (50)	Participation (25)	Journal (15)	Final Portfolio (10)	Total	Letter
HAA-22841	Ellison	Maya	46	22	14	9	91	A-
HAA-22907	Okonkwo	Daniel	41	21	12	9	83	B+
HAA-23012	Nair	Priya	45	23	13	9	90	A-
HAA-22655	Brandt	Theo	39	19	12	8	78	B
HAA-23188	Lindqvist	Rosa	40	24	14	8	86	B+
HAA-22990	Alvarez	Mateo	43	20	11	8	82	B
HAA-23044	Whitfield	Grace	48	24	15	10	97	A
HAA-22719	Park	Soo-jin	44	22	13	9	88	B+
HAA-23151	Donnelly	Aidan	35	17	10	7	69	C+
HAA-22863	Rossi	Elena	46	23	14	10	93	A
HAA-23097	Bauer	Lukas	38	18	11	7	74	C+
HAA-22778	Coleman	Janelle	42	21	13	9	85	B+
Class average					84.6	B
