Name	Relationship	Phone	Email	City	State	ZIP	Notes
Karen Pittman-Dahl	Daughter - ICE, Medical Proxy, POA	605-555-0183	karen.dahl.sf@gmail.com	Sioux Falls	SD	57106	Lives at 4812 West 49th St with Roger, Nate, Emma
Roger Dahl	Son-in-law	605-555-0184	roger.dahl.eng@gmail.com	Sioux Falls	SD	57106	Karen's husband
Nate Dahl	Grandson	605-555-0186	nate.dahl16@gmail.com	Sioux Falls	SD	57106	Born January 9 2010, age 16
Emma Dahl	Granddaughter	(uses Karen's phone)		Sioux Falls	SD	57106	Born March 22 2013, age 13
Jeff Pittman	Son	701-555-0217	jeff.pittman.bis@gmail.com	Bismarck	ND		Oil field services, son Tyler born Feb 18 2016
Tyler Pittman	Grandson			Bismarck	ND		Born February 18 2016, Jeff's son, age 10
Dale Gustafson	Best friend since high school	605-555-0241		Aberdeen	SD	57401	Retired postal carrier. Born Dec 3 1953. Coffee at Koffee Kup 7 AM daily
Elaine Hoff	Neighbor	605-555-0155		Aberdeen	SD	57401	621 South Kline Street. Widowed 2021. Brings casseroles
Pastor Linda Sorenson	Employer and pastor	605-555-0420	pastor.sorenson@bethlehemaberdeen.org	Aberdeen	SD	57401	Senior pastor, Bethlehem Lutheran Church
Barb Kleinsasser	Church secretary	605-555-0421	barb.kleinsasser@bethlehemaberdeen.org	Aberdeen	SD	57401	Logs maintenance requests at church
Dr. Robert Strand	Primary care physician	605-555-0701		Aberdeen	SD	57401	Avera St. Luke's. Gary's doctor 20 years. Use Avera portal for messages
Dr. Christine Agard	Pulmonologist	605-555-0715		Aberdeen	SD	57401	Avera Medical Group Pulmonology. COPD monitoring
Dr. Keith Olson	Dentist	605-555-0720		Aberdeen	SD	57401	Aberdeen Family Dentistry, 2315 6th Ave SE
Dr. Amy Richter	Optometrist	605-555-0740		Aberdeen	SD	57401	Prairie Eye Care. Annual vision exam. Gary wears bifocals
Dacotah Bank - Main Branch	Bank	605-225-6363		Aberdeen	SD	57401	315 South Main Street. Gary handles all transactions in person
Aberdeen Auto Care	Vehicle service	605-555-0880		Aberdeen	SD	57401	1820 6th Ave SE. Services Gary's 2016 Silverado
Keith Baumann	Farmers Insurance agent	605-225-4000		Aberdeen	SD	57401	320 S Main St. Policy SDH-4417892
Koffee Kup Kafe	Regular coffee spot	605-555-0310		Aberdeen	SD	57401	7 AM daily coffee with Dale Gustafson
Nordic Air Comfort	Church HVAC contractor	605-555-0899		Aberdeen	SD	57401	HVAC maintenance at Bethlehem Lutheran
