id,username,full_name,email,initials
courtney,courtney.harper,Courtney Harper,courtney.harper@finthesiss.ai,CH
mem_0000,user0,User 0,user317@gmail.com,U0
mem_0001,user1,User 1,user44@outlook.com,U1
mem_0002,user2,User 2,user855@outlook.com,U2
mem_0003,user3,User 3,user630@gmail.com,U3
mem_0004,user4,User 4,user29@gmail.com,U4
mem_0005,user5,User 5,user122@gmail.com,U5
mem_0006,user6,User 6,user727@gmail.com,U6
mem_0007,user7,User 7,user850@gmail.com,U7
mem_0008,user8,User 8,user670@outlook.com,U8
mem_0009,user9,User 9,user153@outlook.com,U9
mem_0010,user10,User 10,user798@outlook.com,U10
mem_0011,user11,User 11,user254@gmail.com,U11
mem_0012,user12,User 12,user50@outlook.com,U12
mem_0013,user13,User 13,user22@outlook.com,U13
mem_0014,user14,User 14,user16@outlook.com,U14
mem_0015,user15,User 15,user419@gmail.com,U15
mem_0016,user16,User 16,user28@gmail.com,U16
mem_0017,user17,User 17,user871@outlook.com,U17
mem_0018,user18,User 18,user245@outlook.com,U18
mem_0019,user19,User 19,user698@gmail.com,U19
mem_0020,user20,User 20,user76@outlook.com,U20
mem_0021,user21,User 21,user746@gmail.com,U21
mem_0022,user22,User 22,user723@gmail.com,U22
mem_0023,user23,User 23,user464@gmail.com,U23
mem_0024,user24,User 24,user180@outlook.com,U24
mem_0025,user25,User 25,user650@gmail.com,U25
mem_0026,user26,User 26,user552@gmail.com,U26
mem_0027,user27,User 27,user358@gmail.com,U27
mem_0028,user28,User 28,user32@gmail.com,U28
mem_0029,user29,User 29,user376@gmail.com,U29
mem_0030,user30,User 30,user925@outlook.com,U30
mem_0031,user31,User 31,user80@outlook.com,U31
mem_0032,user32,User 32,user393@gmail.com,U32
mem_0033,user33,User 33,user20@outlook.com,U33
mem_0034,user34,User 34,user942@gmail.com,U34
mem_0035,user35,User 35,user355@gmail.com,U35
mem_0036,user36,User 36,user664@gmail.com,U36
mem_0037,user37,User 37,user621@outlook.com,U37
mem_0038,user38,User 38,user724@gmail.com,U38
mem_0039,user39,User 39,user399@outlook.com,U39
mem_0040,user40,User 40,user221@gmail.com,U40
mem_0041,user41,User 41,user788@gmail.com,U41
mem_0042,user42,User 42,user409@outlook.com,U42
mem_0043,user43,User 43,user885@gmail.com,U43
mem_0044,user44,User 44,user460@gmail.com,U44
mem_0045,user45,User 45,user189@outlook.com,U45
mem_0046,user46,User 46,user342@gmail.com,U46
mem_0047,user47,User 47,user297@outlook.com,U47
mem_0048,user48,User 48,user228@outlook.com,U48
mem_0049,user49,User 49,user111@outlook.com,U49
mem_0050,user50,User 50,user384@gmail.com,U50
mem_0051,user51,User 51,user65@gmail.com,U51
mem_0052,user52,User 52,user351@gmail.com,U52
mem_0053,user53,User 53,user730@outlook.com,U53
mem_0054,user54,User 54,user610@gmail.com,U54
mem_0055,user55,User 55,user799@gmail.com,U55
mem_0056,user56,User 56,user378@outlook.com,U56
mem_0057,user57,User 57,user694@outlook.com,U57
mem_0058,user58,User 58,user239@gmail.com,U58
mem_0059,user59,User 59,user738@gmail.com,U59
mem_0060,user60,User 60,user878@gmail.com,U60
mem_0061,user61,User 61,user888@outlook.com,U61
mem_0062,user62,User 62,user199@outlook.com,U62
mem_0063,user63,User 63,user131@gmail.com,U63
mem_0064,user64,User 64,user701@gmail.com,U64
mem_0065,user65,User 65,user534@gmail.com,U65
mem_0066,user66,User 66,user357@gmail.com,U66
mem_0067,user67,User 67,user9@gmail.com,U67
mem_0068,user68,User 68,user934@outlook.com,U68
mem_0069,user69,User 69,user967@outlook.com,U69
mem_0070,user70,User 70,user391@outlook.com,U70
mem_0071,user71,User 71,user53@gmail.com,U71
mem_0072,user72,User 72,user435@gmail.com,U72
mem_0073,user73,User 73,user653@gmail.com,U73
mem_0074,user74,User 74,user127@outlook.com,U74
mem_0075,user75,User 75,user787@gmail.com,U75
mem_0076,user76,User 76,user389@outlook.com,U76
mem_0077,user77,User 77,user918@gmail.com,U77
mem_0078,user78,User 78,user510@outlook.com,U78
mem_0079,user79,User 79,user498@gmail.com,U79
mem_0080,user80,User 80,user848@outlook.com,U80
mem_0081,user81,User 81,user679@outlook.com,U81
mem_0082,user82,User 82,user775@gmail.com,U82
mem_0083,user83,User 83,user556@outlook.com,U83
mem_0084,user84,User 84,user634@outlook.com,U84
mem_0085,user85,User 85,user488@gmail.com,U85
mem_0086,user86,User 86,user915@outlook.com,U86
mem_0087,user87,User 87,user681@outlook.com,U87
mem_0088,user88,User 88,user951@gmail.com,U88
mem_0089,user89,User 89,user371@gmail.com,U89
mem_0090,user90,User 90,user808@outlook.com,U90
mem_0091,user91,User 91,user256@outlook.com,U91
mem_0092,user92,User 92,user569@gmail.com,U92
mem_0093,user93,User 93,user778@outlook.com,U93
mem_0094,user94,User 94,user824@gmail.com,U94
mem_0095,user95,User 95,user549@outlook.com,U95
mem_0096,user96,User 96,user725@outlook.com,U96
mem_0097,user97,User 97,user290@gmail.com,U97
mem_0098,user98,User 98,user753@gmail.com,U98
mem_0099,user99,User 99,user336@gmail.com,U99
mem_0100,user100,User 100,user411@outlook.com,U100
mem_0101,user101,User 101,user961@gmail.com,U101
mem_0102,user102,User 102,user256@gmail.com,U102
mem_0103,user103,User 103,user854@outlook.com,U103
mem_0104,user104,User 104,user295@outlook.com,U104
mem_0105,user105,User 105,user688@outlook.com,U105
mem_0106,user106,User 106,user176@outlook.com,U106
mem_0107,user107,User 107,user628@outlook.com,U107
mem_0108,user108,User 108,user502@outlook.com,U108
mem_0109,user109,User 109,user755@gmail.com,U109
mem_0110,user110,User 110,user715@outlook.com,U110
mem_0111,user111,User 111,user322@outlook.com,U111
mem_0112,user112,User 112,user2@outlook.com,U112
