id,customer,price,status,quantity,current_period_start,current_period_end,cancel_at_period_end,created
sub_5xuj46pg,cus_p1atstla,price_92jnp4,active,1,2025-09-28T20:25:00,2026-04-04T20:37:00,false,2025-02-15T14:40:00
sub_pdpfwd4a,cus_2g9j6jcc,price_45ymdm,canceled,1,2026-01-10T01:05:00,2025-05-22T05:29:00,false,2026-06-12T13:27:00
sub_3z1nr9ui,cus_o8q06tqo,price_txfamy,canceled,1,2026-04-03T15:57:00,2025-02-21T06:53:00,false,2026-09-03T02:08:00
sub_ud4oa6fx,cus_btrzic6s,price_uk081p,canceled,1,2025-02-15T02:24:00,2026-08-13T16:05:00,false,2026-05-23T06:06:00
sub_z0vlrdfz,cus_bxvwbrm3,price_hcvlq4,canceled,1,2025-11-11T09:12:00,2026-01-26T17:57:00,false,2026-02-12T19:00:00
sub_ju8pn5bq,cus_kfcq7xg6,price_hsoufj,canceled,1,2025-03-19T03:03:00,2025-04-23T21:56:00,false,2025-08-22T21:15:00
sub_waudxh2x,cus_fcv36t80,price_s6cjfn,canceled,1,2025-08-13T15:35:00,2026-07-11T19:47:00,false,2025-11-13T13:41:00
sub_wy7puv9o,cus_5othk41y,price_bpsghi,canceled,1,2025-07-08T15:04:00,2026-08-19T23:30:00,false,2025-10-17T02:10:00
sub_5cyyx2xi,cus_1bxh7zgi,price_ahh2t0,canceled,1,2025-06-19T18:29:00,2026-05-30T07:20:00,false,2025-08-31T04:08:00
sub_ptdkxqky,cus_c0qckm1a,price_03cs2z,canceled,1,2025-02-01T23:07:00,2025-06-19T22:00:00,false,2026-04-28T06:33:00
sub_2j7nrgra,cus_wqhnrhit,price_kc88bt,canceled,1,2026-09-05T15:10:00,2025-12-16T20:19:00,false,2026-02-07T14:46:00
sub_or3zu0xr,cus_koq5qlo5,price_ukuf1e,canceled,1,2025-01-04T05:34:00,2025-04-29T00:45:00,false,2026-04-18T21:19:00
sub_7qcp3hif,cus_x0qs0df7,price_sgyhuh,active,1,2026-03-21T19:23:00,2026-03-17T06:19:00,false,2025-01-11T11:47:00
sub_ve3l7zte,cus_12bdl04g,price_bjnyy0,canceled,1,2026-08-02T21:05:00,2025-04-05T16:09:00,false,2025-08-08T15:48:00
sub_z4gaa5yk,cus_ix0wuwy2,price_e25z0y,canceled,1,2026-06-07T19:47:00,2026-05-15T20:00:00,false,2026-05-27T07:50:00
sub_4ewqfxxk,cus_9u9rp4q0,price_1wq3tp,active,1,2025-10-22T00:51:00,2026-09-23T15:48:00,false,2025-03-07T14:26:00
sub_ll7qnsw1,cus_n8ijrr6c,price_hixton,canceled,1,2025-10-21T16:32:00,2025-07-26T07:52:00,false,2025-11-21T15:16:00
sub_m2v3r64u,cus_nlqchd21,price_c841j2,active,1,2025-02-03T01:53:00,2025-09-27T23:07:00,false,2026-01-27T20:47:00
sub_3wwg4vmh,cus_9didtups,price_jb1uic,active,1,2026-03-04T15:46:00,2025-02-17T23:43:00,false,2025-02-23T08:30:00
sub_4vksbczx,cus_tqwfpfm5,price_ywwplq,canceled,1,2025-03-21T08:39:00,2025-08-02T02:40:00,false,2025-06-15T11:15:00
sub_ndqt6d2d,cus_hyb4dmzt,price_nuj42z,active,1,2025-05-16T15:18:00,2026-01-20T11:20:00,false,2026-08-25T04:07:00
sub_48rn1yar,cus_5vz6ats0,price_ray1ys,active,1,2025-04-24T01:50:00,2025-03-22T02:21:00,false,2025-11-05T20:21:00
