id,first_name,last_name,email,username,role,billing_city,billing_country,is_paying_customer,date_created
1,Meredith,Alcorn,meredith.alcorn0@example.com,user0001,customer,Portland,US,false,2024-01-01T09:00:00Z
2,Kelly,Aldrete,kelly.aldrete1@example.com,user0002,customer,Beaverton,US,false,2024-02-04T09:00:00Z
3,Barbara,Wong,barbara.wong2@example.com,user0003,customer,Hillsboro,US,false,2024-03-07T09:00:00Z
4,Nia,Casey,nia.casey3@example.com,user0004,customer,Lake Oswego,US,false,2024-04-10T09:00:00Z
5,Ruth,Kim,ruth.kim4@example.com,user0005,customer,Tigard,US,false,2024-05-13T09:00:00Z
6,Kai,Reeves,kai.reeves5@example.com,user0006,customer,Vancouver WA,US,false,2024-06-16T09:00:00Z
7,Ivy,Doyle,ivy.doyle6@example.com,user0007,customer,West Linn,US,false,2024-07-19T09:00:00Z
8,Julien,Nair,julien.nair7@example.com,user0008,customer,Milwaukie,US,false,2024-08-22T09:00:00Z
9,Rania,Marsh,rania.marsh8@example.com,user0009,customer,Sherwood,US,false,2024-09-25T09:00:00Z
10,Harlan,Mitchell,harlan.mitchell9@example.com,user0010,customer,Gresham,US,false,2024-10-01T09:00:00Z
11,Colby,Bourque,colby.bourque10@example.com,user0011,customer,Salem,US,false,2024-11-04T09:00:00Z
12,Isabel,Bellemare,isabel.bellemare11@example.com,user0012,customer,Silverton,US,false,2024-12-07T09:00:00Z
13,Adele,Ouellet,adele.ouellet12@example.com,user0013,customer,Tualatin,US,false,2024-01-10T09:00:00Z
14,Klein,Cote,klein.cote13@example.com,user0014,customer,Wilsonville,US,false,2024-02-13T09:00:00Z
15,Malia,Girard,malia.girard14@example.com,user0015,customer,Aloha,US,false,2024-03-16T09:00:00Z
16,Sam,Beaulieu,sam.beaulieu15@example.com,user0016,customer,Cedar Hills,US,false,2024-04-19T09:00:00Z
17,Erik,Alcorn,erik.alcorn16@example.com,user0017,customer,Bethany,US,false,2024-05-22T09:00:00Z
18,Cara,Aldrete,cara.aldrete17@example.com,user0018,customer,Forest Grove,US,false,2024-06-25T09:00:00Z
19,Reese,Wong,reese.wong18@example.com,user0019,customer,Portland,US,false,2024-07-01T09:00:00Z
20,Toni,Casey,toni.casey19@example.com,user0020,customer,Beaverton,US,false,2024-08-04T09:00:00Z
21,Reese,Kim,reese.kim20@example.com,user0021,customer,Hillsboro,US,false,2024-09-07T09:00:00Z
22,Meredith,Reeves,meredith.reeves21@example.com,user0022,customer,Lake Oswego,US,false,2024-10-10T09:00:00Z
