Member	Age	Years at Club	Game	Skill Level	Days	Notes
Ashley Rogers	70	15	Chess and Dominoes	Advanced	Tue Thu	Plays to win, no charity games
Clarence Jenkins	72	15	Chess and Dominoes	Advanced	Tue Thu	Talks the whole game, still sharp
Earl Whitfield	68	9	Dominoes	Intermediate	Tue Thu	Loudest at the table
Sammy Boykin	61	6	Chess	Intermediate	Thu	Learning the openings, getting better
Reverend Cole	77	12	Chess	Advanced	Tue	Retired pastor, patient player
Big Mike Turner	55	4	Dominoes	Beginner	Tue Thu	Newer, brings the younger crowd
Otis Pruitt	72	11	Dominoes	Advanced	Tue Thu	Keeps score for the whole room
Curtis Lang	64	7	Chess	Intermediate	Thu	Quiet, sneaky good at endgames
Malik Harris	15	1	Chess	Beginner	Thu	Ashley's grandson, comes when he can
Walter Means	80	14	Chess	Advanced	Tue	Oldest at the table, slowest hand fastest mind
Frank DuBois	59	5	Chess and Dominoes	Intermediate	Tue Thu	Drives in from Redford
