Name	Relationship	Phone	Email
Denise Rogers-Harris	Daughter	(313) 555-0218	denise.harris.det@example.com
James Harris	Son-in-law	(313) 555-0219	james.harris.det@example.com
Marcus Rogers	Son	(313) 555-0267	marcus.rogers.det@example.com
Keisha Rogers	Daughter-in-law	(313) 555-0268	keisha.rogers.det@example.com
Terri Rogers-Coleman	Daughter	(734) 555-0184	terri.coleman.aa@example.com
Greg Coleman	Son-in-law	(734) 555-0185	greg.coleman.aa@example.com
Clarence Jenkins	Friend, chess partner	(313) 555-0305	(none)
Pastor Raymond Gaines	Pastor	(313) 555-0411	pastor.gaines@greaterhope.org
Miss Eunice Palmer	Church elder	(313) 555-0189	(none)
Dorothy Pruitt	Food bank coordinator	(313) 555-0322	harvest.table@greaterhope.org
Brightmoor Health Clinic	Clinic	(313) 555-0500	(none)
Motor City Community Bank	Bank	(313) 555-0700	(none)
