Date	Opponent	Color	Opening	Moves	Result	Notes
2024-10-08	Clarence Jenkins	White	Ruy Lopez	41	Win	Clarence missed the fork on move 29
2024-10-15	Clarence Jenkins	Black	Sicilian Defense	38	Loss	Got greedy with the pawn, paid for it
2024-10-22	Clarence Jenkins	White	Queen's Gambit	52	Draw	Long endgame, both kings exposed
2024-10-29	Clarence Jenkins	Black	French Defense	44	Win	Held the center, he overextended
2024-11-05	Clarence Jenkins	White	Italian Game	36	Win	Quick once he traded the wrong bishop
2024-11-12	Clarence Jenkins	Black	Caro-Kann	49	Loss	He had me on the clock and the board
2024-11-19	Clarence Jenkins	White	English Opening	40	Win	Patient game, took the open file
2024-12-10	Clarence Jenkins	White	Ruy Lopez	47	Win	Clarence talking more than playing
2025-01-14	Clarence Jenkins	White	Queen's Gambit	42	Win	Clean. He shook his head and reset the board
2025-02-11	Clarence Jenkins	Black	Caro-Kann	37	Win	He resigned, rare for him
2025-02-18	Clarence Jenkins	White	English Opening	50	Loss	Tired. Should have stopped after the food bank
