date,account_mask,merchant_or_source,category,amount_usd,direction,note
2026-07-20,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-07-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-08-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-08-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-08-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-08-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-08-06,****4821,Instacart Order Trader Joes,groceries,-243.11,out,
2026-08-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-08-14,****4821,Trader Joes Cambridge,groceries,-92.44,out,
2026-08-18,****4821,Legal Sea Foods,dining,-88.60,out,date_night_with_sarah
2026-08-22,****4821,Peets Coffee Subscription,subscriptions,-24.00,out,dark_roast_monthly
2026-08-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-08-28,****4821,Boston IVF Copay,healthcare,-380.00,out,
2026-09-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-09-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-09-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-09-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-09-08,****4821,Deerfield Wellness Copay,healthcare,-45.00,out,neurology_followup_slot
2026-09-10,****4821,Instacart Order Trader Joes,groceries,-268.90,out,
2026-09-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-09-14,****4821,H Mart Porter Square,groceries,-71.30,out,
2026-09-16,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-09-19,****4821,REI Coop Cambridge,hobbies,-64.20,out,run_gear_refresh
2026-09-22,****4821,Amazon Nurtec Refill Copay,healthcare,-45.00,out,rimegepant_refill
2026-09-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-09-28,****4821,Etsy Data Viz Print Sale,income_other,127.44,in,brian_etsy_shop_net_deposit
2026-09-30,****4821,Progressive Auto Insurance,insurance_auto,-145.00,out,monthly
2026-09-30,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-10-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-10-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal_final_month
2026-10-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-10-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-10-07,****4821,Instacart Order Whole Foods,groceries,-201.55,out,
2026-10-09,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-10-11,****4821,Amtrak to Stamford,transportation,-89.00,out,henderson_reunion_weekend
2026-10-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-10-14,****4821,Trader Joes Cambridge,groceries,-104.72,out,
2026-10-16,****4821,Flour Bakery Cambridge,dining,-14.60,out,brian_lunch_near_windbridge
2026-10-18,****4821,Cambridge YMCA Basketball League,hobbies,-45.00,out,monday_league_fee_monthly
