visit_id,date_start,date_end,duration_nights,mode_of_travel,cost_usd,attendees,purpose,notes
V-2025-11-Thanksgiving,2025-11-26,2025-11-30,4,drive_subaru,68.20,"Brian, Sarah",Thanksgiving Stamford,grandma_dorothy_at_table_all_four_days_scott_home_from_law_school
V-2025-12-Christmas,2025-12-24,2025-12-28,4,drive_subaru,71.40,"Brian, Sarah",Christmas Stamford,brian_migraine_day_2_two_nurtec_doses_weather_pressure_drop
V-2026-02-Consult,2026-02-14,2026-02-16,2,amtrak,178.00,Brian,Boston IVF consult prep visit plus Stamford,solo_trip_brian_stopped_in_stamford_after_boston_ivf_consult
V-2026-03-Sarah_Birthday,2026-03-07,2026-03-08,1,drive_subaru,52.10,"Brian, Sarah",Sarah 32 birthday brunch with Patricia and Robert,short_stay_grandma_dorothy_present
V-2026-05-Mothers_Day,2026-05-09,2026-05-10,1,drive_subaru,54.60,"Brian, Sarah",Mothers Day Patricia,short_stay_grandma_dorothy_present
V-2026-07-July4,2026-07-03,2026-07-05,2,drive_subaru,68.80,"Brian, Sarah",July 4 barbecue at parents,scott_took_the_bar_prep_July_grandma_dorothy_slept_through_fireworks
V-2026-09-Labor_Day,2026-09-05,2026-09-07,2,drive_subaru,72.40,"Brian, Sarah",Labor Day weekend,brian_finished_manuscript_v1_at_the_kitchen_table_in_stamford
V-2026-10-Reunion,2026-10-10,2026-10-12,2,amtrak,178.00,Brian,Henderson family reunion,sarah_stayed_cambridge_for_bright_path_deadline_brian_migraine_day_2
V-2026-11-Thanksgiving,2026-11-25,2026-11-28,3,TBD,,"Brian, Sarah",Thanksgiving Stamford Patricia set window,PLANNED_conflicts_with_stim_block_and_retrieval_recovery_review
V-2026-12-Christmas,2026-12-24,2026-12-28,4,TBD,,"Brian, Sarah",Christmas Stamford Patricia set window,PLANNED_scott_finishing_1L_exams_grandma_dorothy_narrower_window
V-2027-01-Physical,2027-01-24,2027-01-25,1,drive_subaru,,Brian,Post-annual-physical Stamford weekend,PLANNED
