date,account_mask,merchant_or_source,category,amount_usd,direction,note
2026-04-24,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-04-24,****4821,Herald & Post Publishing ACH,income_sarah_freelance,2100.00,in,spring_series_deposit_invoice_INV-2026-0410
2026-04-25,****4821,Amberfield Institute Stipend,income_adjunct,833.33,in,monthly_adjunct
2026-04-28,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-05-01,****4821,Mike Callahan Rent,housing_rent,-3200.00,out,current_lease_pre_renewal
2026-05-01,****4821,PayPal to R Henderson,transfer_out,-300.00,out,parents_remittance_rail_fixed
2026-05-02,****4821,AMC Stubs A List,subscriptions,-23.95,out,monthly_movie_pass
2026-05-02,****4821,Trader Joes Cambridge,groceries,-101.53,out,
2026-05-05,****4821,Ally Bank Transfer to HYSA,transfer_out,-2000.00,out,ivf_hysa_monthly
2026-05-05,****4821,Nelnet Loan Servicing,student_loan,-420.00,out,pinecrest_mph_income_driven
2026-05-05,****4821,Sarah ACA Marketplace,insurance_health,-380.00,out,sarah_aca_monthly_no_fertility_coverage
2026-05-06,****4821,Coastal Wellness Studio Check,income_sarah_freelance,1650.00,in,spring_brand_refresh_deposit_invoice_INV-2026-0428
2026-05-06,****4821,Dr Karen Miller Therapy,healthcare,-180.00,out,biweekly_therapy_copay
2026-05-06,****4821,Flour Bakery Cambridge,dining,-13.86,out,brian_lunch_near_windbridge
2026-05-07,****4821,H Mart Porter Square,groceries,-58.74,out,
2026-05-08,****4821,1-800-Flowers,gifts,-68.40,out,grandma_dorothy_birthday_arrangement
2026-05-08,****4821,Dr Sarah Walsh PT Copay,healthcare,-45.00,out,biweekly_pt_l4_l5
2026-05-08,****4821,Shell Alewife,gas_auto,-56.18,out,subaru_crosstrek_fill
2026-05-09,****4821,Eversource Electric,utilities_electric,-108.40,out,fixed_billing
2026-05-09,****4821,Papyrus Cambridge,gifts,-24.60,out,mothers_day_card_patricia
2026-05-10,****4821,Union Square Donuts,dining,-13.69,out,saturday_after_long_run
2026-05-11,****4821,Etsy Data Viz Print Sale,income_other,68.20,in,brian_etsy_shop_net_deposit
2026-05-11,****4821,Verizon Wireless,phone_internet,-104.99,out,family_plan_2_lines
2026-05-11,****4821,Xfinity Internet,phone_internet,-55.00,out,fixed_gigabit_plan
2026-05-12,****4821,Windbridge Partners Payroll,income_salary,5850.00,in,net_semimonthly_deposit
2026-05-13,****4821,Boston IVF Diagnostics Copay,healthcare,-320.00,out,hormone_panel_workup
2026-05-13,****4821,Flour Bakery Cambridge,dining,-16.22,out,brian_lunch_near_windbridge
