id,firstname,lastname,email,phone,jobtitle,company,lifecyclestage,createdate,lastmodifieddate
hubspot_contacts_1000,Hubspot item 0,Hubspot item 0,user0@hubspot.example,phone_0,Hubspot item 0,company_0,lifecyclestage_0,2026-08-01T07:00:00,2026-08-01T21:00:00
hubspot_contacts_1001,Hubspot item 1,Hubspot item 1,user1@hubspot.example,phone_1,Hubspot item 1,company_1,lifecyclestage_1,2026-08-02T14:00:00,2026-08-02T15:00:00
hubspot_contacts_1002,Hubspot item 2,Hubspot item 2,user2@hubspot.example,phone_2,Hubspot item 2,company_2,lifecyclestage_2,2026-08-03T01:00:00,2026-08-03T04:00:00
hubspot_contacts_1003,Hubspot item 3,Hubspot item 3,user3@hubspot.example,phone_3,Hubspot item 3,company_3,lifecyclestage_3,2026-08-04T05:00:00,2026-08-04T01:00:00
hubspot_contacts_1004,Hubspot item 4,Hubspot item 4,user4@hubspot.example,phone_4,Hubspot item 4,company_4,lifecyclestage_4,2026-08-05T16:00:00,2026-08-05T11:00:00
hubspot_contacts_1005,Hubspot item 5,Hubspot item 5,user5@hubspot.example,phone_5,Hubspot item 5,company_5,lifecyclestage_5,2026-08-06T15:00:00,2026-08-06T04:00:00
hubspot_contacts_1006,Hubspot item 6,Hubspot item 6,user6@hubspot.example,phone_6,Hubspot item 6,company_6,lifecyclestage_6,2026-08-07T12:00:00,2026-08-07T21:00:00
hubspot_contacts_1007,Hubspot item 7,Hubspot item 7,user7@hubspot.example,phone_7,Hubspot item 7,company_7,lifecyclestage_7,2026-08-08T19:00:00,2026-08-08T12:00:00
hubspot_contacts_1008,Hubspot item 8,Hubspot item 8,user8@hubspot.example,phone_8,Hubspot item 8,company_8,lifecyclestage_8,2026-08-09T13:00:00,2026-08-09T18:00:00
hubspot_contacts_1009,Hubspot item 9,Hubspot item 9,user9@hubspot.example,phone_9,Hubspot item 9,company_9,lifecyclestage_9,2026-08-10T17:00:00,2026-08-10T04:00:00
hubspot_contacts_1010,Hubspot item 10,Hubspot item 10,user10@hubspot.example,phone_10,Hubspot item 10,company_10,lifecyclestage_10,2026-08-11T22:00:00,2026-08-11T23:00:00
