# Personal Contacts (phone export). Groups, not relationships, are labeled.
# Owner device: iPhone 15. Owner: Randy Holt, 1428 E Lee St, Tucson, AZ 85719.
name	group	city	phone	birthday	note
Barbara Holt	Family	Tucson (Barrio Viejo)	(520) 555-0172	December 3	Sunday Mass and dinner. Eyes appointment reminders.
Tyler Holt	Family	Tucson (home)	(520) 555-0167	October 22	Saguaro Prep senior. Soccer #9.
Megan Holt	Family	Tucson (campus)	(520) 555-0156	November 9	Copper Canyon Family Services.
Karen Holt-Navarro	Family	Phoenix	(602) 555-0124	November 27	Calls midweek. Mateo and Isabella.
Robert Holt	Co-parent	Tucson	(520) 555-0139	December 15	Tyler every other weekend. Soccer games.
Rosa Maldonado	Office	Tucson	(520) 555-0193		Paralegal. Morning calendar handoff.
Diana Ochoa	Shelter	Tucson	(520) 555-0211		Desert Bloom director.
Father Miguel Escobar	Parish	Tucson	(520) 555-0102		San Rafael Mission.
Dr. Maria Quinones	Medical	Tucson	(520) 555-0188		Annual physical, Sonoran Health Partners.
Gloria Reyna	Finance	Tucson	(520) 555-0145		Quarterly taxes.
