# Desert Bloom Women's Shelter, Volunteer Coordination (Airtable export)
# Maintained by R. Holt, Volunteer Program Coordinator. Resident data excluded by policy.
# Contact: diana.ochoa@desertbloomtucson.org . Mailing: PO Box 42890, Tucson, AZ 85733
volunteer_id	name	role	assigned_shift	weekday	status	background_check	onboarded
DB-014	Diana Ochoa	Executive Director	Administration	Daily	Active	Cleared	2017-02-10
DB-051	Randy Holt	Volunteer Program Coordinator	Empowerment Group + Legal Clinic	Tue/Thu	Active	Cleared	2017-09-12
DB-067	Patricia Nunez	Group Facilitator	Empowerment Group	Tuesday	Active	Cleared	2019-03-04
DB-072	Sandra Begay	Intake Volunteer	Front Desk	Thursday	Active	Cleared	2020-11-18
DB-088	Lupe Carrillo	Childcare Volunteer	Childcare Room	Tue/Thu	Active	Cleared	2021-06-22
DB-094	Theresa Aldama	Pro Bono Attorney	Legal Clinic	First Wednesday	Active	Cleared	2022-01-19
DB-101	Marcus Field	Pro Bono Attorney	Legal Clinic	First Wednesday	Active	Cleared	2022-08-30
DB-110	Gabriela Soto	Donation Coordinator	Warehouse	Saturday	Active	Cleared	2023-02-14
DB-118	Hannah Whitmer	Gala Committee	Events	As needed	Active	Cleared	2023-09-05
DB-126	Ray Tibbets	Driver Volunteer	Transport	As needed	On leave	Cleared	2024-04-11
DB-133	Olivia Mendez	Empowerment Co-Facilitator	Empowerment Group	Thursday	Active	Cleared	2024-10-02
DB-140	Bill Ferro	Maintenance Volunteer	Facilities	Monday	Active	Cleared	2025-01-27
