Person	Occasion	Date	Gift_Ideas	Budget_Euro	Notes	Status	Purchased
Colin Doyle	Birthday	18 October	Concert tickets to an act he would actually like (check Ticketmaster presales). Galway International Arts Festival programme if anything good is on. A night away in Connemara, he has been asking about Ballynahinch.	150	He is hard to buy for because he says he doesn't want anything and means it. The Ballynahinch suggestion came from him. Put it on the list.	Planning	No
Colin Doyle	Christmas	25 December	Something for the kitchen he would use. A new dough scraper and proving basket set. Or a cooking class with a local baker if available.	80	He will not want something expensive. The sourdough kit would make him happy.	Planning	No
Margaret Hampton	Birthday	7 January	Handmade card, send the week before. A quilting book she hasn't seen. Or a gift voucher for the Connemara fleece shop in Clifden if she would use it. Or just drive up and take her for lunch.	60	She genuinely prefers a phone call and the visit over anything wrapped. The lunch is the gift.	Planning	No
Margaret Hampton	Christmas	25 December	Something for the B&B or for her personally. Lavender soap and hand cream set from the Saturday market. Or new quilting thread in colours she's mentioned.	50	Homemade or local always. Never anything generic.	Planning	No
Patrick Hampton	Birthday	3 December	Drive to Clifden. Bring something from the Saturday market he would appreciate. Whiskey. Good cheese. Connemara black pudding if the stall is running.	60	He does not want to make a fuss. The visit is the gift. Bring the food and sit with him.	Planning	No
Patrick Hampton	Christmas	25 December	Together with birthday drive. Already in Clifden.	0	Covered by the December visit.	Done	Yes
Owen Hampton	Birthday	15 November	Something for the kids to give him from them. Fiona and Oscar could decorate a card. Or a voucher for his favourite restaurant, Ard Bia or The House Hotel.	70	He is easier than Colin. A nice dinner voucher works.	Planning	No
Amy Hampton	Birthday (October 22) and general	22 October	Something thoughtful. She likes pottery. The Saturday market ceramics stall has good pieces. Or a weekend away voucher for herself without the kids.	60	She does everything and never asks for anything. Something that is specifically for her.	Planning	No
Nina O'Callaghan	Birthday	9 February	Move the Saturday coffee to Ard Bia instead of Kai. Bring a handmade card. Maybe a gift from the market: a candle, a piece of jewellery from the craft stall.	40	It's the time and the ritual that matters to her.	Done	Yes
Nina O'Callaghan	Wedding gift	2026	Something for the house. A piece of pottery. A voucher for a Connemara weekend away. Or a contribution to their honeymoon fund if they set one up.	150	She is one of the most important people in my life. The gift should reflect that without being showy.	Planning	No
Fiona Hampton	Birthday (approx June)	June each year	Picture book. Art supplies. Something for a 5-year-old.	25	Check with Amy what she would actually like and doesn't already have.	Planning	No
Oscar Hampton	Birthday (approx March)	March each year	Something for a 3-year-old. Construction toys. Books.	25	Same, check with Amy.	Planning	No
