payout_batch_id,sender_batch_id,status,amount_value,currency_code,recipient_email,create_time
BATCH0000,SB0000,SUCCESS,500.00,CAD,vendor0@example.com,2026-04-01T00:00:00Z
BATCH0001,SB0001,SUCCESS,500.00,CAD,vendor1@example.com,2026-04-02T00:00:00Z
BATCH0002,SB0002,SUCCESS,500.00,CAD,vendor2@example.com,2026-04-03T00:00:00Z
BATCH0003,SB0003,SUCCESS,500.00,CAD,vendor3@example.com,2026-04-04T00:00:00Z
BATCH0004,SB0004,SUCCESS,500.00,CAD,vendor4@example.com,2026-04-05T00:00:00Z
BATCH0005,SB0005,SUCCESS,500.00,CAD,vendor5@example.com,2026-04-06T00:00:00Z
BATCH0006,SB0006,SUCCESS,500.00,CAD,vendor6@example.com,2026-04-07T00:00:00Z
BATCH0007,SB0007,SUCCESS,500.00,CAD,vendor7@example.com,2026-04-08T00:00:00Z
BATCH0008,SB0008,SUCCESS,500.00,CAD,vendor8@example.com,2026-04-09T00:00:00Z
BATCH0009,SB0009,SUCCESS,500.00,CAD,vendor9@example.com,2026-04-10T00:00:00Z
BATCH0010,SB0010,SUCCESS,500.00,CAD,vendor10@example.com,2026-04-11T00:00:00Z
BATCH0011,SB0011,SUCCESS,500.00,CAD,vendor11@example.com,2026-04-12T00:00:00Z
BATCH0012,SB0012,SUCCESS,500.00,CAD,vendor12@example.com,2026-04-13T00:00:00Z
BATCH0013,SB0013,SUCCESS,500.00,CAD,vendor13@example.com,2026-04-14T00:00:00Z
BATCH0014,SB0014,SUCCESS,500.00,CAD,vendor14@example.com,2026-04-15T00:00:00Z
BATCH0015,SB0015,SUCCESS,500.00,CAD,vendor15@example.com,2026-04-16T00:00:00Z
BATCH0016,SB0016,SUCCESS,500.00,CAD,vendor16@example.com,2026-04-17T00:00:00Z
BATCH0017,SB0017,SUCCESS,500.00,CAD,vendor17@example.com,2026-04-18T00:00:00Z
BATCH0018,SB0018,SUCCESS,500.00,CAD,vendor18@example.com,2026-04-19T00:00:00Z
BATCH0019,SB0019,SUCCESS,500.00,CAD,vendor19@example.com,2026-04-20T00:00:00Z
BATCH0020,SB0020,SUCCESS,500.00,CAD,vendor20@example.com,2026-04-21T00:00:00Z
BATCH0021,SB0021,SUCCESS,500.00,CAD,vendor21@example.com,2026-04-22T00:00:00Z
BATCH0022,SB0022,SUCCESS,500.00,CAD,vendor22@example.com,2026-04-23T00:00:00Z
BATCH0023,SB0023,SUCCESS,500.00,CAD,vendor23@example.com,2026-04-24T00:00:00Z
BATCH0024,SB0024,SUCCESS,500.00,CAD,vendor24@example.com,2026-04-25T00:00:00Z
BATCH0025,SB0025,SUCCESS,500.00,CAD,vendor25@example.com,2026-04-26T00:00:00Z
BATCH0026,SB0026,SUCCESS,500.00,CAD,vendor26@example.com,2026-04-27T00:00:00Z
BATCH0027,SB0027,SUCCESS,500.00,CAD,vendor27@example.com,2026-04-28T00:00:00Z
BATCH0028,SB0028,SUCCESS,500.00,CAD,vendor28@example.com,2026-04-29T00:00:00Z
BATCH0029,SB0029,SUCCESS,500.00,CAD,vendor29@example.com,2026-04-30T00:00:00Z
BATCH0030,SB0030,SUCCESS,500.00,CAD,vendor30@example.com,2026-05-01T00:00:00Z
BATCH0031,SB0031,SUCCESS,500.00,CAD,vendor31@example.com,2026-05-02T00:00:00Z
BATCH0032,SB0032,SUCCESS,500.00,CAD,vendor32@example.com,2026-05-03T00:00:00Z
BATCH0033,SB0033,SUCCESS,500.00,CAD,vendor33@example.com,2026-05-04T00:00:00Z
BATCH0034,SB0034,SUCCESS,500.00,CAD,vendor34@example.com,2026-05-05T00:00:00Z
BATCH0035,SB0035,SUCCESS,500.00,CAD,vendor35@example.com,2026-05-06T00:00:00Z
BATCH0036,SB0036,SUCCESS,500.00,CAD,vendor36@example.com,2026-05-07T00:00:00Z
BATCH0037,SB0037,SUCCESS,500.00,CAD,vendor37@example.com,2026-05-08T00:00:00Z
BATCH0038,SB0038,SUCCESS,500.00,CAD,vendor38@example.com,2026-05-09T00:00:00Z
BATCH0039,SB0039,SUCCESS,500.00,CAD,vendor39@example.com,2026-05-10T00:00:00Z
BATCH0040,SB0040,SUCCESS,500.00,CAD,vendor40@example.com,2026-05-11T00:00:00Z
BATCH0041,SB0041,SUCCESS,500.00,CAD,vendor41@example.com,2026-05-12T00:00:00Z
BATCH0042,SB0042,SUCCESS,500.00,CAD,vendor42@example.com,2026-05-13T00:00:00Z
BATCH0043,SB0043,SUCCESS,500.00,CAD,vendor43@example.com,2026-05-14T00:00:00Z
BATCH0044,SB0044,SUCCESS,500.00,CAD,vendor44@example.com,2026-05-15T00:00:00Z
BATCH0045,SB0045,SUCCESS,500.00,CAD,vendor45@example.com,2026-05-16T00:00:00Z
BATCH0046,SB0046,SUCCESS,500.00,CAD,vendor46@example.com,2026-05-17T00:00:00Z
BATCH0047,SB0047,SUCCESS,500.00,CAD,vendor47@example.com,2026-05-18T00:00:00Z
BATCH0048,SB0048,SUCCESS,500.00,CAD,vendor48@example.com,2026-05-19T00:00:00Z
BATCH0049,SB0049,SUCCESS,500.00,CAD,vendor49@example.com,2026-05-20T00:00:00Z
BATCH0050,SB0050,SUCCESS,500.00,CAD,vendor50@example.com,2026-05-21T00:00:00Z
BATCH0051,SB0051,SUCCESS,500.00,CAD,vendor51@example.com,2026-05-22T00:00:00Z
BATCH0052,SB0052,SUCCESS,500.00,CAD,vendor52@example.com,2026-05-23T00:00:00Z
BATCH0053,SB0053,SUCCESS,500.00,CAD,vendor53@example.com,2026-05-24T00:00:00Z
BATCH0054,SB0054,SUCCESS,500.00,CAD,vendor54@example.com,2026-05-25T00:00:00Z
BATCH0055,SB0055,SUCCESS,500.00,CAD,vendor55@example.com,2026-05-26T00:00:00Z
BATCH0056,SB0056,SUCCESS,500.00,CAD,vendor56@example.com,2026-05-27T00:00:00Z
BATCH0057,SB0057,SUCCESS,500.00,CAD,vendor57@example.com,2026-05-28T00:00:00Z
BATCH0058,SB0058,SUCCESS,500.00,CAD,vendor58@example.com,2026-05-29T00:00:00Z
BATCH0059,SB0059,SUCCESS,500.00,CAD,vendor59@example.com,2026-05-30T00:00:00Z
BATCH0060,SB0060,SUCCESS,500.00,CAD,vendor60@example.com,2026-05-31T00:00:00Z
BATCH0061,SB0061,SUCCESS,500.00,CAD,vendor61@example.com,2026-06-01T00:00:00Z
BATCH0062,SB0062,SUCCESS,500.00,CAD,vendor62@example.com,2026-06-02T00:00:00Z
BATCH0063,SB0063,SUCCESS,500.00,CAD,vendor63@example.com,2026-06-03T00:00:00Z
BATCH0064,SB0064,SUCCESS,500.00,CAD,vendor64@example.com,2026-06-04T00:00:00Z
BATCH0065,SB0065,SUCCESS,500.00,CAD,vendor65@example.com,2026-06-05T00:00:00Z
BATCH0066,SB0066,SUCCESS,500.00,CAD,vendor66@example.com,2026-06-06T00:00:00Z
BATCH0067,SB0067,SUCCESS,500.00,CAD,vendor67@example.com,2026-06-07T00:00:00Z
BATCH0068,SB0068,SUCCESS,500.00,CAD,vendor68@example.com,2026-06-08T00:00:00Z
BATCH0069,SB0069,SUCCESS,500.00,CAD,vendor69@example.com,2026-06-09T00:00:00Z
BATCH0070,SB0070,SUCCESS,500.00,CAD,vendor70@example.com,2026-06-10T00:00:00Z
BATCH0071,SB0071,SUCCESS,500.00,CAD,vendor71@example.com,2026-06-11T00:00:00Z
BATCH0072,SB0072,SUCCESS,500.00,CAD,vendor72@example.com,2026-06-12T00:00:00Z
BATCH0073,SB0073,SUCCESS,500.00,CAD,vendor73@example.com,2026-06-13T00:00:00Z
BATCH0074,SB0074,SUCCESS,500.00,CAD,vendor74@example.com,2026-06-14T00:00:00Z
BATCH0075,SB0075,SUCCESS,500.00,CAD,vendor75@example.com,2026-06-15T00:00:00Z
BATCH0076,SB0076,SUCCESS,500.00,CAD,vendor76@example.com,2026-06-16T00:00:00Z
BATCH0077,SB0077,SUCCESS,500.00,CAD,vendor77@example.com,2026-06-17T00:00:00Z
BATCH0078,SB0078,SUCCESS,500.00,CAD,vendor78@example.com,2026-06-18T00:00:00Z
BATCH0079,SB0079,SUCCESS,500.00,CAD,vendor79@example.com,2026-06-19T00:00:00Z
BATCH0080,SB0080,SUCCESS,500.00,CAD,vendor80@example.com,2026-06-20T00:00:00Z
BATCH0081,SB0081,SUCCESS,500.00,CAD,vendor81@example.com,2026-06-21T00:00:00Z
BATCH0082,SB0082,SUCCESS,500.00,CAD,vendor82@example.com,2026-06-22T00:00:00Z
BATCH0083,SB0083,SUCCESS,500.00,CAD,vendor83@example.com,2026-06-23T00:00:00Z
BATCH0084,SB0084,SUCCESS,500.00,CAD,vendor84@example.com,2026-06-24T00:00:00Z
BATCH0085,SB0085,SUCCESS,500.00,CAD,vendor85@example.com,2026-06-25T00:00:00Z
BATCH0086,SB0086,SUCCESS,500.00,CAD,vendor86@example.com,2026-06-26T00:00:00Z
BATCH0087,SB0087,SUCCESS,500.00,CAD,vendor87@example.com,2026-06-27T00:00:00Z
BATCH0088,SB0088,SUCCESS,500.00,CAD,vendor88@example.com,2026-06-28T00:00:00Z
BATCH0089,SB0089,SUCCESS,500.00,CAD,vendor89@example.com,2026-06-29T00:00:00Z
BATCH0090,SB0090,SUCCESS,500.00,CAD,vendor90@example.com,2026-06-30T00:00:00Z
BATCH0091,SB0091,SUCCESS,500.00,CAD,vendor91@example.com,2026-07-01T00:00:00Z
BATCH0092,SB0092,SUCCESS,500.00,CAD,vendor92@example.com,2026-07-02T00:00:00Z
BATCH0093,SB0093,SUCCESS,500.00,CAD,vendor93@example.com,2026-07-03T00:00:00Z
BATCH0094,SB0094,SUCCESS,500.00,CAD,vendor94@example.com,2026-07-04T00:00:00Z
BATCH0095,SB0095,SUCCESS,500.00,CAD,vendor95@example.com,2026-07-05T00:00:00Z
BATCH0096,SB0096,SUCCESS,500.00,CAD,vendor96@example.com,2026-07-06T00:00:00Z
BATCH0097,SB0097,SUCCESS,500.00,CAD,vendor97@example.com,2026-07-07T00:00:00Z
BATCH0098,SB0098,SUCCESS,500.00,CAD,vendor98@example.com,2026-07-08T00:00:00Z
BATCH0099,SB0099,SUCCESS,500.00,CAD,vendor99@example.com,2026-07-09T00:00:00Z
BATCH0100,SB0100,SUCCESS,500.00,CAD,vendor100@example.com,2026-07-10T00:00:00Z
BATCH0101,SB0101,SUCCESS,500.00,CAD,vendor101@example.com,2026-07-11T00:00:00Z
BATCH0102,SB0102,SUCCESS,500.00,CAD,vendor102@example.com,2026-07-12T00:00:00Z
BATCH0103,SB0103,SUCCESS,500.00,CAD,vendor103@example.com,2026-07-13T00:00:00Z
BATCH0104,SB0104,SUCCESS,500.00,CAD,vendor104@example.com,2026-07-14T00:00:00Z
