sale_id,date,buyer_name,buyer_subscriber_id,piece_form,glaze,price_jpy,payment_method,notes
SS-0001,2026-05-09,Sakura Okada,MC-0042,small_vase,celadon_pale,8400,stripe,first purchase
SS-0002,2026-05-09,Lucas Lambert,MC-0201,serving_bowl_24,shino_carbon_trap,18000,paypal,
SS-0003,2026-05-09,Ren Yoshida,MC-0065,kaiseki_plate_22,tenmoku_black_brown,12000,bank_transfer,asked about next open studio
SS-0004,2026-05-09,Laura Lewis,MC-0154,incense_dish,nuka_white,46000,bank_transfer,
SS-0005,2026-05-09,Aoi Fukuda,MC-0036,sake_cup,celadon_pale,8400,bank_transfer,first purchase
SS-0006,2026-05-09,Ashley Clark,MC-0159,chawan,nuka_white,32000,paypal,referred by Akiko
SS-0007,2026-05-09,Matthew Hernandez,MC-0160,chawan,kaki_iron_red,8400,stripe,first purchase
SS-0008,2026-05-09,Ian Allen,MC-0156,small_vase,kaki_iron_red,22000,square,
SS-0009,2026-05-09,Chloe Leroy,MC-0224,pitcher,tenmoku_black_brown,12000,bank_transfer,
SS-0010,2026-05-09,Pierre Petit,MC-0206,kaiseki_plate_16,kaki_iron_red,8400,cash,wants commission info
SS-0011,2026-05-09,Ren Nakagawa,MC-0069,sake_cup,celadon_pale,26000,square,wants commission info
SS-0012,2026-05-09,Maya Hashimoto,MC-0004,incense_dish,celadon_pale,46000,cash,first purchase
SS-0013,2026-05-09,Chie Kaneko,MC-0110,tea_bowl,tenmoku_black_brown,46000,square,
SS-0014,2026-05-09,Keiko Yamada,MC-0006,serving_bowl_28,kaki_iron_red,12000,paypal,asked about next open studio
SS-0015,2026-05-09,Chloe Laurent,MC-0218,pitcher,tenmoku_black_brown,22000,bank_transfer,first purchase
SS-0016,2026-05-09,Chie Murakami,MC-0063,serving_bowl_28,shino_carbon_trap,8400,square,
SS-0017,2026-05-09,Miki Fukuda,MC-0101,kaiseki_plate_22,shino_carbon_trap,32000,bank_transfer,first purchase
SS-0018,2026-05-09,Naoko Kondo,MC-0020,incense_dish,nuka_white,22000,bank_transfer,
SS-0019,2026-05-09,Michelle King,MC-0190,sake_cup,ash_glaze_olive,8400,square,first purchase
SS-0020,2026-05-09,Satoshi Endo,MC-0024,kaiseki_plate_16,kaki_iron_red,26000,bank_transfer,repeat buyer
SS-0021,2026-05-09,David Perez,MC-0157,incense_dish,ash_glaze_olive,12000,stripe,referred by Akiko
SS-0022,2026-05-09,Hannah Robinson,MC-0144,pitcher,celadon_pale,8400,square,asked about next open studio
SS-0023,2026-05-09,Shun Sakamoto,MC-0019,sake_cup,kaki_iron_red,32000,stripe,
SS-0024,2026-05-09,Maya Davis,MC-0148,kaiseki_plate_22,shino_carbon_trap,6800,bank_transfer,
SS-0025,2026-05-09,Akira Kondo,MC-0116,chawan,shino_carbon_trap,38000,cash,wants commission info
SS-0026,2026-05-09,Charlotte Michel,MC-0236,chawan,kaki_iron_red,32000,paypal,wants commission info
SS-0027,2026-05-09,Michael Miller,MC-0121,incense_dish,celadon_pale,14000,stripe,asked about next open studio
SS-0028,2026-05-09,Keiko Tamura,MC-0089,kaiseki_plate_16,ash_glaze_olive,14000,paypal,first purchase
SS-0029,2026-05-09,Michelle Thomas,MC-0143,serving_bowl_28,tenmoku_black_brown,8400,stripe,referred by Akiko
SS-0030,2026-05-09,Yui Takahashi,MC-0009,pitcher,tenmoku_black_brown,12000,stripe,
SS-0031,2026-05-09,Brian Johnson,MC-0166,incense_dish,shino_carbon_trap,8400,stripe,repeat buyer
SS-0032,2026-05-09,Mio Hasegawa,MC-0111,serving_bowl_24,celadon_pale,46000,square,referred by Akiko
SS-0033,2026-05-09,Sho Okamoto,MC-0103,serving_bowl_28,tenmoku_black_brown,6800,stripe,asked about next open studio
SS-0034,2026-05-09,Julia White,MC-0200,chawan,ash_glaze_olive,26000,paypal,asked about next open studio
SS-0035,2026-05-09,Osamu Hashimoto,MC-0102,kaiseki_plate_22,ash_glaze_olive,46000,stripe,
SS-0036,2026-05-09,Yuko Nakamura,MC-0090,pitcher,kaki_iron_red,18000,cash,referred by Akiko
SS-0037,2026-05-09,Hina Kato,MC-0016,serving_bowl_24,shino_carbon_trap,8400,square,
SS-0038,2026-05-09,Ren Matsumoto,MC-0112,incense_dish,ash_glaze_olive,46000,paypal,asked about next open studio
SS-0039,2026-05-09,Yuko Aoki,MC-0047,kaiseki_plate_22,celadon_pale,46000,stripe,wants commission info
SS-0040,2026-05-09,Hannah Hernandez,MC-0176,chawan,celadon_pale,18000,bank_transfer,referred by Akiko
SS-0041,2026-05-09,Ian Young,MC-0162,tea_bowl,kaki_iron_red,26000,stripe,
SS-0042,2026-05-09,William Miller,MC-0187,yunomi,kaki_iron_red,22000,cash,first purchase
SS-0043,2026-05-09,Steven Young,MC-0170,sake_cup,shino_carbon_trap,32000,paypal,first purchase
SS-0044,2026-05-09,Ren Takeda,MC-0091,serving_bowl_24,kaki_iron_red,22000,cash,repeat buyer
SS-0045,2026-05-09,Mio Takeda,MC-0084,yunomi,shino_carbon_trap,18000,stripe,asked about next open studio
SS-0046,2026-05-09,Kevin Hill,MC-0186,serving_bowl_28,shino_carbon_trap,12000,paypal,
SS-0047,2026-05-09,Brian Johnson,MC-0166,tea_bowl,tenmoku_black_brown,14000,stripe,wants commission info
SS-0048,2026-05-09,Tetsuya Kobayashi,MC-0092,chawan,tenmoku_black_brown,14000,square,asked about next open studio
SS-0049,2026-05-09,Aoi Yamamoto,MC-0032,serving_bowl_24,kaki_iron_red,6800,stripe,
SS-0050,2026-05-09,Hiroshi Matsuda,MC-0107,chawan,ash_glaze_olive,14000,paypal,
SS-0051,2026-05-09,Sophie Michel,MC-0215,yunomi,ash_glaze_olive,22000,square,first purchase
SS-0052,2026-05-09,Takeshi Okada,MC-0114,kaiseki_plate_22,nuka_white,38000,stripe,
SS-0053,2026-05-09,Sho Endo,MC-0015,tea_bowl,nuka_white,22000,cash,asked about next open studio
SS-0054,2026-05-09,Emma Dupont,MC-0210,pitcher,shino_carbon_trap,38000,cash,wants commission info
SS-0055,2026-05-09,Matthew Miller,MC-0151,serving_bowl_28,shino_carbon_trap,6800,bank_transfer,
SS-0056,2026-05-09,Julien Lefevre,MC-0232,kaiseki_plate_22,nuka_white,14000,paypal,asked about next open studio
SS-0057,2026-05-09,Sho Okamoto,MC-0103,small_vase,ash_glaze_olive,26000,square,asked about next open studio
