subscriber_id,name,email,city,country,joined_date,last_open_date,lifetime_purchases_jpy,segment_primary
MC-0001,Maya Murakami,maya.murakami@example.jp,Kobe,JP,2024-02-18,2026-06-02,22000,kyoto_kansai
MC-0002,Akira Miura,akira.miura@example.jp,Nagoya,JP,2024-12-24,2026-09-11,12000,tokyo_travel_in
MC-0003,Riko Ota,riko.ota@example.jp,Kobe,JP,2019-01-04,2019-08-02,18000,warm_but_quiet
MC-0004,Maya Hashimoto,maya.hashimoto@example.jp,Kobe,JP,2024-10-12,2026-09-11,120000,kyoto_kansai
MC-0005,Kazuki Ono,kazuki.ono@example.jp,Kanazawa,JP,2021-04-17,2023-02-22,0,warm_but_quiet
MC-0006,Keiko Yamada,keiko.yamada@example.jp,Osaka,JP,2025-05-28,2026-09-05,22000,kyoto_kansai
MC-0007,Naoko Matsumoto,naoko.matsumoto@example.jp,Nagoya,JP,2019-03-16,2019-09-27,18000,warm_but_quiet
MC-0008,Kaito Tamura,kaito.tamura@example.jp,Sapporo,JP,2021-03-02,2026-08-21,320000,tokyo_travel_in
MC-0009,Yui Takahashi,yui.takahashi@example.jp,Nagoya,JP,2020-08-09,2023-05-08,12000,warm_but_quiet
MC-0010,Chie Ikeda,chie.ikeda@example.jp,Sapporo,JP,2021-05-19,2025-02-05,120000,warm_but_quiet
MC-0011,Sakura Ono,sakura.ono@example.jp,Kanazawa,JP,2019-06-08,2024-06-21,180000,warm_but_quiet
MC-0012,Mio Ono,mio.ono@example.jp,Kyoto,JP,2024-11-08,2026-08-22,0,kyoto_kansai
MC-0013,Junko Kobayashi,junko.kobayashi@example.jp,Kobe,JP,2023-06-24,2026-08-16,0,kyoto_kansai
MC-0014,Yuko Okamoto,yuko.okamoto@example.jp,Tokyo,JP,2023-08-22,2026-09-04,320000,tokyo_travel_in
MC-0015,Sho Endo,sho.endo@example.jp,Sendai,JP,2021-09-30,2026-08-22,240000,tokyo_travel_in
MC-0016,Hina Kato,hina.kato@example.jp,Tokyo,JP,2019-05-06,2024-02-23,0,warm_but_quiet
MC-0017,Hina Inoue,hina.inoue@example.jp,Kobe,JP,2021-08-04,2025-02-18,120000,warm_but_quiet
MC-0018,Emi Nakano,emi.nakano@example.jp,Osaka,JP,2025-06-08,2026-08-23,26000,kyoto_kansai
MC-0019,Shun Sakamoto,shun.sakamoto@example.jp,Nara,JP,2020-01-06,2024-04-29,320000,warm_but_quiet
MC-0020,Naoko Kondo,naoko.kondo@example.jp,Osaka,JP,2022-08-22,2024-07-20,26000,kyoto_kansai
MC-0021,Mio Takeda,mio.takeda@example.jp,Kobe,JP,2023-04-02,2026-09-12,26000,kyoto_kansai
MC-0022,Hina Ogawa,hina.ogawa@example.jp,Nara,JP,2019-10-03,2022-09-07,22000,warm_but_quiet
MC-0023,Aoi Nakagawa,aoi.nakagawa@example.jp,Osaka,JP,2020-01-08,2020-02-23,0,warm_but_quiet
MC-0024,Satoshi Endo,satoshi.endo@example.jp,Tokyo,JP,2019-05-12,2019-07-02,240000,warm_but_quiet
MC-0025,Tetsuya Kato,tetsuya.kato@example.jp,Sendai,JP,2019-03-17,2022-04-05,44000,warm_but_quiet
MC-0026,Hiroshi Nishimura,hiroshi.nishimura@example.jp,Nara,JP,2021-06-29,2025-07-22,12000,warm_but_quiet
MC-0027,Yusuke Takahashi,yusuke.takahashi@example.jp,Kanazawa,JP,2023-06-18,2026-09-04,26000,tokyo_travel_in
MC-0028,Chie Suzuki,chie.suzuki@example.jp,Kobe,JP,2022-08-06,2024-07-19,26000,kyoto_kansai
MC-0029,Junko Nakamura,junko.nakamura@example.jp,Nara,JP,2022-04-11,2025-02-05,120000,kyoto_kansai
MC-0030,Hiroshi Matsumoto,hiroshi.matsumoto@example.jp,Sapporo,JP,2020-07-01,2026-07-08,12000,tokyo_travel_in
MC-0031,Keiko Kato,keiko.kato@example.jp,Kobe,JP,2024-07-16,2026-08-30,18000,kyoto_kansai
MC-0032,Aoi Yamamoto,aoi.yamamoto@example.jp,Fukuoka,JP,2023-05-14,2026-09-13,0,tokyo_travel_in
MC-0033,Hina Endo,hina.endo@example.jp,Kanazawa,JP,2022-12-26,2026-08-29,32000,tokyo_travel_in
MC-0034,Yusuke Nakamura,yusuke.nakamura@example.jp,Sapporo,JP,2020-11-06,2026-04-11,18000,tokyo_travel_in
MC-0035,Mio Matsuda,mio.matsuda@example.jp,Sendai,JP,2023-01-06,2025-07-01,22000,tokyo_travel_in
MC-0036,Aoi Fukuda,aoi.fukuda@example.jp,Kyoto,JP,2024-01-14,2026-08-30,0,kyoto_kansai
MC-0037,Riko Nakagawa,riko.nakagawa@example.jp,Kobe,JP,2019-04-05,2025-06-23,22000,warm_but_quiet
MC-0038,Rin Okada,rin.okada@example.jp,Nagoya,JP,2025-03-12,2026-08-22,0,tokyo_travel_in
MC-0039,Chie Ogawa,chie.ogawa@example.jp,Tokyo,JP,2022-03-04,2024-08-18,0,tokyo_travel_in
MC-0040,Yusuke Murakami,yusuke.murakami@example.jp,Kyoto,JP,2021-03-03,2025-03-09,32000,warm_but_quiet
MC-0041,Kazuki Ikeda,kazuki.ikeda@example.jp,Nagoya,JP,2020-09-15,2026-08-25,0,tokyo_travel_in
MC-0042,Sakura Okada,sakura.okada@example.jp,Kanazawa,JP,2019-09-15,2024-12-04,0,warm_but_quiet
MC-0043,Aoi Takeda,aoi.takeda@example.jp,Fukuoka,JP,2019-09-25,2025-01-30,18000,warm_but_quiet
MC-0044,Riko Ishii,riko.ishii@example.jp,Sapporo,JP,2020-09-29,2023-09-07,0,warm_but_quiet
MC-0045,Keiko Matsuda,keiko.matsuda@example.jp,Sendai,JP,2020-12-28,2023-03-06,44000,warm_but_quiet
MC-0046,Yuki Kobayashi,yuki.kobayashi@example.jp,Kobe,JP,2022-12-22,2023-11-12,0,kyoto_kansai
MC-0047,Yuko Aoki,yuko.aoki@example.jp,Nara,JP,2022-08-03,2026-09-03,0,kyoto_kansai
MC-0048,Kaito Aoki,kaito.aoki@example.jp,Sapporo,JP,2019-07-30,2020-09-17,26000,warm_but_quiet
MC-0049,Haruki Kondo,haruki.kondo@example.jp,Kyoto,JP,2020-03-05,2022-09-30,44000,warm_but_quiet
MC-0050,Yui Harada,yui.harada@example.jp,Sendai,JP,2025-04-09,2026-08-31,0,tokyo_travel_in
MC-0051,Maya Kimura,maya.kimura@example.jp,Nara,JP,2019-08-26,2019-12-31,44000,warm_but_quiet
MC-0052,Hiroko Ishikawa,hiroko.ishikawa@example.jp,Kanazawa,JP,2024-05-12,2026-09-05,26000,tokyo_travel_in
MC-0053,Kenji Yamada,kenji.yamada@example.jp,Fukuoka,JP,2024-12-31,2026-08-28,320000,tokyo_travel_in
MC-0054,Yui Fujii,yui.fujii@example.jp,Sendai,JP,2023-11-13,2025-12-04,240000,tokyo_travel_in
