inquiry_id,contact_name,contact_id,date,source,interest,disposition,note
HS-0001,Matthew Hernandez,MC-0160,2024-03-07,instagram_dm_via_gmail_forward,wholesale_inquiry,invited_to_open_studio,referred to Akiko at Shibui for the plate set
HS-0002,Mio Matsuda,MC-0035,2024-03-18,email,wholesale_inquiry,closed_no_fit,referred to Akiko at Shibui for the plate set
HS-0003,Haruki Kondo,MC-0049,2024-03-28,instagram_dm_via_gmail_forward,commission_inquiry,referred_to_galerie_terre,asked about the mountain-ash surface
HS-0004,Osamu Hashimoto,MC-0102,2024-03-30,word_of_mouth,wholesale_inquiry,sold_matched,not for this cycle
HS-0005,Camille Durand,MC-0227,2024-03-30,galerie_terre_referral,wholesale_inquiry,note_and_hold,"wholesale request, declined"
HS-0006,Shun Ota,MC-0104,2024-03-31,email,tea_bowl,invited_to_open_studio,"quiet buyer, keep on the list"
HS-0007,Karen Garcia,MC-0169,2024-04-04,email,commission_inquiry,closed_no_fit,asked if the piece can be posted overseas
HS-0008,Michelle Thomas,MC-0143,2024-04-08,museum_referral,large_vessel,waiting_for_stock,asked about the mountain-ash surface
HS-0009,Michael Miller,MC-0121,2024-04-10,email,commission_inquiry,waiting_for_stock,asked if the piece can be posted overseas
HS-0010,Kate King,MC-0132,2024-04-17,word_of_mouth,large_vessel,waiting_for_stock,"quiet buyer, keep on the list"
HS-0011,Nicole Rodriguez,MC-0175,2024-05-14,shibui_referral,yunomi,sold_matched,wants to visit in the autumn
HS-0012,Jennifer Smith,MC-0196,2024-05-20,typeform,studio_visit_by_appointment,referred_to_galerie_terre,asked if the piece can be posted overseas
HS-0013,Michael Miller,MC-0121,2024-06-25,open_studio,serving_bowl,note_and_hold,wants to visit in the autumn
HS-0014,Nicole Anderson,MC-0164,2024-06-27,instagram_dm_via_gmail_forward,serving_bowl,referred_to_shibui,asked if the piece can be posted overseas
HS-0015,Mio Hayashi,MC-0068,2024-07-09,typeform,serving_bowl,note_and_hold,"wholesale request, declined"
HS-0016,Osamu Hashimoto,MC-0102,2024-07-19,instagram_dm_via_gmail_forward,tea_bowl,waiting_for_stock,not for this cycle
HS-0017,Kaito Aoki,MC-0048,2024-07-22,email,serving_bowl,waiting_for_stock,asked if the piece can be posted overseas
HS-0018,Sophie Walker,MC-0194,2024-07-28,galerie_terre_referral,large_vessel,referred_to_shibui,open studio invitation appropriate
HS-0019,Miki Kondo,MC-0108,2024-07-28,open_studio,studio_visit_by_appointment,referred_to_galerie_terre,asked if the piece can be posted overseas
HS-0020,Shun Hasegawa,MC-0096,2024-08-01,museum_referral,serving_bowl,invited_to_open_studio,not for this cycle
HS-0021,Ian Martinez,MC-0138,2024-08-15,typeform,wholesale_inquiry,invited_to_open_studio,asked if the piece can be posted overseas
HS-0022,Christopher Lewis,MC-0134,2024-08-18,shibui_referral,serving_bowl,waiting_for_stock,asked about the mountain-ash surface
HS-0023,Owen Smith,MC-0195,2024-08-18,instagram_dm_via_gmail_forward,studio_visit_by_appointment,waiting_for_stock,"quiet buyer, keep on the list"
HS-0024,Akira Ota,MC-0085,2024-08-19,museum_referral,open_studio_visit,invited_to_open_studio,"wholesale request, declined"
HS-0025,Grace Wilson,MC-0126,2024-08-22,shibui_referral,wholesale_inquiry,closed_no_fit,not for this cycle
HS-0026,Karen Wilson,MC-0183,2024-08-27,instagram_dm_via_gmail_forward,yunomi,closed_no_fit,asked about the mountain-ash surface
HS-0027,Hina Kato,MC-0016,2024-09-04,open_studio,yunomi,note_and_hold,asked about the mountain-ash surface
HS-0028,James Thomas,MC-0146,2024-09-10,typeform,yunomi,note_and_hold,asked if the piece can be posted overseas
HS-0029,Emma Dupont,MC-0210,2024-09-14,shibui_referral,large_vessel,note_and_hold,"quiet buyer, keep on the list"
HS-0030,Grace Williams,MC-0131,2024-09-14,galerie_terre_referral,wholesale_inquiry,sold_matched,asked about the mountain-ash surface
HS-0031,Ashley White,MC-0167,2024-09-21,open_studio,commission_inquiry,note_and_hold,referred to Akiko at Shibui for the plate set
HS-0032,David Robinson,MC-0128,2024-09-22,email,commission_inquiry,referred_to_shibui,"quiet buyer, keep on the list"
HS-0033,Hiroshi Matsuda,MC-0107,2024-09-28,typeform,serving_bowl,invited_to_open_studio,asked if the piece can be posted overseas
HS-0034,Camille Robert,MC-0230,2024-09-29,shibui_referral,tea_bowl,referred_to_shibui,"wholesale request, declined"
HS-0035,Chie Kaneko,MC-0110,2024-10-03,instagram_dm_via_gmail_forward,commission_inquiry,waiting_for_stock,wants to visit in the autumn
HS-0036,Chie Suzuki,MC-0028,2024-10-11,instagram_dm_via_gmail_forward,tea_bowl,invited_to_open_studio,referred to Akiko at Shibui for the plate set
HS-0037,Aoi Nakajima,MC-0099,2024-10-22,word_of_mouth,yunomi,note_and_hold,open studio invitation appropriate
HS-0038,Michelle King,MC-0150,2024-10-24,galerie_terre_referral,wholesale_inquiry,sold_matched,asked if the piece can be posted overseas
HS-0039,Michelle King,MC-0150,2024-10-25,instagram_dm_via_gmail_forward,studio_visit_by_appointment,note_and_hold,"quiet buyer, keep on the list"
HS-0040,Ellen White,MC-0177,2024-10-26,open_studio,serving_bowl,referred_to_galerie_terre,referred to Akiko at Shibui for the plate set
HS-0041,Laura Allen,MC-0158,2024-11-11,museum_referral,large_vessel,referred_to_galerie_terre,open studio invitation appropriate
HS-0042,Michelle Jones,MC-0180,2024-11-11,typeform,large_vessel,closed_no_fit,not for this cycle
HS-0043,Jennifer Smith,MC-0196,2024-11-29,museum_referral,tea_bowl,note_and_hold,referred to Akiko at Shibui for the plate set
HS-0044,Antoine Bernard,MC-0223,2024-12-05,open_studio,open_studio_visit,invited_to_open_studio,wants to visit in the autumn
HS-0045,Chie Murakami,MC-0063,2024-12-10,galerie_terre_referral,open_studio_visit,closed_no_fit,not for this cycle
HS-0046,Miki Kondo,MC-0108,2024-12-11,instagram_dm_via_gmail_forward,studio_visit_by_appointment,referred_to_shibui,open studio invitation appropriate
HS-0047,Grace Williams,MC-0131,2024-12-24,museum_referral,tea_bowl,waiting_for_stock,wants to visit in the autumn
HS-0048,Osamu Kobayashi,MC-0055,2024-12-29,word_of_mouth,serving_bowl,waiting_for_stock,asked if the piece can be posted overseas
HS-0049,Yuko Aoki,MC-0047,2024-12-30,museum_referral,yunomi,invited_to_open_studio,wants to visit in the autumn
HS-0050,Anna Baker,MC-0133,2025-01-01,museum_referral,commission_inquiry,waiting_for_stock,asked about the mountain-ash surface
