Date	RO Number	Customer	Vehicle	Service	Mileage	Tech	Total USD	Status
2025-11-03	HAW-2025-1147	Marcus Bell	2014 Honda Accord	Front brakes and rotors	94120	David Hayes	372.44	Paid
2025-11-12	HAW-2025-1151	Renee Atwood	2017 Ford Escape	Oil change and tire rotation	61880	Sam Haddad	79.00	Paid
2025-11-21	HAW-2025-1158	Hassan Saleh	2012 Toyota Camry	Alternator replacement	132540	David Hayes	515.20	Paid
2025-12-04	HAW-2025-1166	Gloria Pratt	2019 Chevrolet Equinox	Check engine diagnostic	40310	David Hayes	129.00	Paid
2025-12-15	HAW-2025-1174	Tony Mancini	2008 Dodge Ram 1500	Transmission service	158900	Sam Haddad	248.75	Paid
2026-01-09	HAW-2026-1182	Priya Nair	2020 Honda CR-V	Brake fluid flush	28450	Sam Haddad	98.00	Paid
2026-01-22	HAW-2026-1192	Wendell Carter	2011 Ford F-150	Coolant leak repair	176320	David Hayes	413.60	Paid
2026-02-06	HAW-2026-1201	Dana Whitfield	2016 Subaru Outback	AC recharge and inspection	83770	Sam Haddad	165.00	Paid
2026-02-18	HAW-2026-1209	Omar Bazzi	2018 Ram 2500	Full multi point inspection	69540	David Hayes	0.00	No charge
2026-10-05	HAW-2026-1305	Marcus Bell	2014 Honda Accord	Winter prep and battery test	99010	David Hayes	145.00	Scheduled
2026-10-19	HAW-2026-1307	Gloria Pratt	2019 Chevrolet Equinox	Tire changeover to winter set	43120	Sam Haddad	60.00	Scheduled
2026-11-09	HAW-2026-1303	Hassan Saleh	2012 Toyota Camry	Timing belt service	138200	David Hayes	640.00	Scheduled
