sys_id,user_name,name,email,title,department,active
ubrianhenderson001,bhenderson,Brian Henderson,brian.henderson@windbridgepartners.com,Biostatistician,Biostatistics,true
umarkstevens002,mstevens,Mark Stevens,mark.stevens@windbridgepartners.com,Senior Biostatistician,Biostatistics,true
urebeccafoster003,rfoster,Rebecca Foster,rebecca.foster@windbridgepartners.com,Senior Director,Research Leadership,true
ujessicapowell004,jpowell,Jessica Powell,jessica.powell@windbridgepartners.com,IT Systems Administrator,IT,true
ujoshuaarcher005,jarcher,Joshua Archer,joshua.archer@windbridgepartners.com,IT Support Specialist,IT,true
urichardbarrera006,rbarrera,Richard Barrera,richard.barrera@windbridgepartners.com,Research Analyst,Research,true
ujamescarter100,jcarter1,James Carter,jcarter1@windbridge.com,Associate,Biostatistics,true
urichardbrown101,rbrown2,Richard Brown,rbrown2@windbridge.com,Manager,Clinical,true
uoliviacarter102,ocarter3,Olivia Carter,ocarter3@windbridge.com,Scientist,Engineering,true
uameliahall103,ahall4,Amelia Hall,ahall4@windbridge.com,Scientist,Clinical,true
uemmataylor104,etaylor5,Emma Taylor,etaylor5@windbridge.com,Coordinator,Operations,true
uthomastaylor105,ttaylor6,Thomas Taylor,ttaylor6@windbridge.com,Scientist,Analytics,true
umichaeljones106,mjones7,Michael Jones,mjones7@windbridge.com,Analyst,IT,true
uemilyjohnson107,ejohnson8,Emily Johnson,ejohnson8@windbridge.com,Director,Operations,true
ujosephadams108,jadams9,Joseph Adams,jadams9@windbridge.com,Analyst,Analytics,true
usandradavis109,sdavis10,Sandra Davis,sdavis10@windbridge.com,Analyst,Research,true
uanthonytaylor110,ataylor11,Anthony Taylor,ataylor11@windbridge.com,Engineer,Clinical,true
umiathompson111,mthompson12,Mia Thompson,mthompson12@windbridge.com,Associate,Engineering,true
uevelynharris112,eharris13,Evelyn Harris,eharris13@windbridge.com,Scientist,Clinical,true
uashleybrown113,abrown14,Ashley Brown,abrown14@windbridge.com,Manager,IT,true
uashleygarcia114,agarcia15,Ashley Garcia,agarcia15@windbridge.com,Associate,Biostatistics,true
ujameslewis115,jlewis16,James Lewis,jlewis16@windbridge.com,Analyst,IT,true
ulindagarcia116,lgarcia17,Linda Garcia,lgarcia17@windbridge.com,Director,Research,true
uanthonylewis117,alewis18,Anthony Lewis,alewis18@windbridge.com,Engineer,Data Science,true
ujosephlewis118,jlewis19,Joseph Lewis,jlewis19@windbridge.com,Lead,Biostatistics,true
udavidadams119,dadams20,David Adams,dadams20@windbridge.com,Associate,IT,true
urichardadams120,radams21,Richard Adams,radams21@windbridge.com,Lead,Biostatistics,true
uanthonydavis121,adavis22,Anthony Davis,adavis22@windbridge.com,Director,Engineering,true
