Name	Relationship	Phone	Email	Preferred Contact
John Bennett	Husband	(954) 555-0142	john.bennett.fl@gmail.com	Text, shared calendar
Oliver Bennett	Son	(954) 555-0153	oliver.bennett@gmail.com	Text, calls Mon/Wed/Fri
Claire Bennett	Daughter	(954) 555-0164	claire.bennett@gmail.com	Text
Rosemary Bell	Mother	(954) 555-0175		Phone only, no text
Philip Bell	Brother	(407) 555-0186	philip.bell.orlando@gmail.com	Text, WhatsApp
Dr. Rachel Foster	PMHNP, Clinical Staff	(954) 555-0197	rachel.foster.pmhnp@gmail.com	Text, email
Marcus Hawthorne	PMHNP, Clinical Staff	(954) 555-0208	marcus.hawthorne.pmhnp@gmail.com	Text, email
Danielle Bennett	Office Manager	(954) 555-0219	danielle.bennett.bbh@gmail.com	Text, email
Dr. Harold Thompson	Cardiologist (Rosemary)	(954) 555-0230		Office line
Dr. Yvonne Anderson	Primary Care (Karen)	(954) 555-0241	dr.anderson@gmail.com	Email, portal
Dr. Martin Chen	Podiatrist	(954) 555-0252	browardfootankle@gmail.com	Email
Dr. Susan Pearson	Endocrinologist	(954) 555-0263	s.pearson@gmail.com	Email, portal
Prof. Nadine Cherry	Nova PMHNP Program Director	(954) 555-0274	nadine.cherry.nova@gmail.com	Email
Anthony Beaumont, CPA	Accountant	(954) 555-0285	anthony.beaumont.cpa@gmail.com	Email, quarterly call
Margaret Sinclair	Home Aide (Rosemary)	(954) 555-0296		Phone, confirm by 8 AM Tue/Thu
Dr. Lydia Thornton	Broward County Mental Health Coalition	(305) 555-0307	lydia.thornton@gmail.com	Email, calls
