employee_id,name,title,department,status,hire_date,time_off_next_90_days_hours,separation_date
E-1001,Maria Gonzalez,Math Teacher,Math,Active,2015-08-10,0,
E-1002,James Patterson,Math Teacher,Math,Active,2018-08-12,8,
E-1003,Priya Ramanathan,Math Teacher,Math,Active,2019-08-19,0,
E-1004,Robert Kim,Math Teacher,Math,Active,2020-08-11,0,
E-1005,Alicia Nguyen,Math Teacher,Math,Active,2021-08-16,0,
E-1006,Terrence Booker,Math Teacher,Math,Active,2022-08-22,0,
E-1007,Yolanda Reyes,Math Teacher,Math,Active,2023-08-14,0,
E-1008,Devon Ashcroft,Math Teacher,Math,Active,2024-08-19,16,
E-1009,Rachel Whitaker,ELA Teacher,ELA,Active,2013-08-05,0,
E-1010,Marcus Bell,ELA Teacher,ELA,Active,2016-08-08,0,
E-1011,Grace Iwuchukwu,ELA Teacher,ELA,Active,2017-08-14,0,
E-1012,Nathan Lindqvist,ELA Teacher,ELA,Active,2019-08-19,0,
E-1013,Fatima Hassan,ELA Teacher,ELA,Active,2020-08-11,0,
E-1014,Cyrus Delacroix,ELA Teacher,ELA,Active,2021-08-16,24,
E-1015,Anita Sharma,ELA Teacher,ELA,Active,2022-08-22,0,
E-1016,Elliot Voss,ELA Teacher,ELA,On Leave,2023-08-14,320,
E-1017,Dominique Rousseau,Science Teacher,Science,Active,2014-08-11,0,
E-1018,Kenji Watanabe,Science Teacher,Science,Active,2017-08-14,0,
E-1019,Bethany Corrigan,Science Teacher,Science,Active,2018-08-12,0,
E-1020,Ravi Krishnamurthy,Science Teacher,Science,Active,2020-08-11,0,
E-1021,Simone Okafor,Science Teacher,Science,Active,2021-08-16,0,
E-1022,Trent Halligan,Science Teacher,Science,Active,2022-08-22,8,
E-1023,Wendy Karsten,Science Teacher,Science,Active,2023-08-14,0,
E-1024,Osvaldo Marino,Science Teacher,Science,On Leave,2024-08-19,240,
E-1025,Harriet Bowen,Social Studies Teacher,Social Studies,Active,2012-08-06,0,
E-1026,Julian Ferrer,Social Studies Teacher,Social Studies,Active,2015-08-10,0,
E-1027,Kiara Waweru,Social Studies Teacher,Social Studies,Active,2018-08-12,0,
E-1028,Vincent Padua,Social Studies Teacher,Social Studies,Active,2019-08-19,0,
E-1029,Rosalie Guerrero,Social Studies Teacher,Social Studies,Active,2020-08-11,0,
E-1030,Malik Osei-Yeboah,Social Studies Teacher,Social Studies,Active,2022-08-22,0,
E-1031,Sonya Milanovic,Social Studies Teacher,Social Studies,Active,2023-08-14,0,
E-1032,Emerson Blake,Elective - Art,Elective,Active,2016-08-08,0,
E-1033,Priscilla Owusu,Elective - Music,Elective,Active,2017-08-14,0,
E-1034,Tobias Fleischer,Elective - PE,Elective,Active,2019-08-19,0,
E-1035,Nadine Constantopoulos,Elective - PE,Elective,Active,2020-08-11,0,
E-1036,Adrian Volkov,Elective - Technology,Elective,Active,2021-08-16,0,
E-1037,Latoya Simmons,Elective - Theater,Elective,Active,2022-08-22,16,
E-1038,Rafael Aguilar,Elective - Yearbook,Elective,Active,2023-08-14,0,
E-1039,Camila Restrepo,Bilingual - Spanish,Bilingual,Active,2014-08-11,0,
E-1040,Diego Herrera,Bilingual - Spanish,Bilingual,Active,2016-08-08,0,
E-1041,Ines Palomino,Bilingual - Spanish,Bilingual,Active,2018-08-12,0,
E-1042,Manuel Salazar,Bilingual - Spanish,Bilingual,Active,2020-08-11,0,
E-1043,Linh Tran,Bilingual - Vietnamese,Bilingual,Active,2019-08-19,0,
E-1044,Thanh Pham,Bilingual - Vietnamese,Bilingual,Active,2022-08-22,0,
E-1045,Aisha Malik,Special Ed Teacher,Special Ed,Active,2013-08-05,0,
E-1046,Benjamin Otieno,Special Ed Teacher,Special Ed,Active,2016-08-08,0,
E-1047,Cassidy Ellingsworth,Special Ed Teacher,Special Ed,Active,2019-08-19,0,
E-1048,Damon Whitfield,Special Ed Teacher,Special Ed,Active,2021-08-16,0,
E-1049,Ekaterina Voronova,Special Ed Teacher,Special Ed,Active,2022-08-22,0,
E-1050,Franco Isabella,Special Ed Teacher,Special Ed,On Leave,2023-08-14,360,
E-1051,Gabriela Cortes,Math Teacher,Math,Active,2025-08-11,0,
E-1052,Hakim Balogun,ELA Teacher,ELA,Active,2025-08-11,0,
E-1053,Iliana Kastrinos,Science Teacher,Science,Active,2025-08-11,0,
E-1054,Jerome Whitfield,Social Studies Teacher,Social Studies,Active,2025-08-11,0,
E-1055,Kalinda Ojo,Elective - Art,Elective,Active,2025-08-11,0,
E-1056,Lucien Vargas,Bilingual - Spanish,Bilingual,Active,2024-08-19,0,
E-1057,Marisol Bautista,Bilingual - Vietnamese,Bilingual,Active,2024-08-19,0,
E-1058,Noah Petrovic,Special Ed Teacher,Special Ed,Active,2024-08-19,0,
E-1059,Ophelia Whitmore,Math Teacher,Math,Active,2024-08-19,0,
E-1060,Percival Adeyemi,ELA Teacher,ELA,Active,2024-08-19,0,
E-1061,Quentin Lasseter,Bilingual - Spanish,Bilingual,Active,2018-08-12,0,2026-09-30
E-1062,Renata Salvatori,Science Teacher,Science,Active,2020-08-11,0,2026-10-24
C-2001,Sydney Vaughn,Counselor,Counseling,Active,2016-08-08,0,
C-2002,Terence Onyekachi,Counselor,Counseling,Active,2018-08-12,0,
C-2003,Umeko Nakamura,Counselor,Counseling,Active,2020-08-11,0,
C-2004,Valentina Aguilera,Counselor,Counseling,Active,2022-08-22,0,
A-3001,Kevin Park,Assistant Principal,Admin,Active,2018-07-01,0,
A-3002,Jamal Washington,Assistant Principal,Admin,Active,2020-07-01,0,
F-4001,Deborah Whitcomb,Front Office - Registrar,Admin,Active,2010-08-01,0,
