id,name,company,from_name,from_email,subject,member_count,unsubscribe_count,date_created
mclist_past,Past Clients,Chandler Electric LLC,Jae Chandler,jae.chandler@Finthesiss.ai,Seasonal panel safety check-in,312,4,2014-10-01T09:00:00-05:00
mclist_solar,Past Clients - solar fit >= 7,Chandler Electric LLC,Jae Chandler,jae.chandler@Finthesiss.ai,Residential solar at Chandler Electric,47,0,2026-09-22T11:00:00-05:00
mc_l_zu9fa57k,List fon0,Chandler Electric,Jae,chris.ztes@outlook.com,Subject jdch,394,0,2025-11-14T10:09:00
mc_l_8jqcw0go,List kdzg,Chandler Electric,Jae,joe.cxuw@contractor.net,Subject prqw,389,7,2026-09-25T23:49:00
mc_l_hh4ps4rt,List 1yrl,Chandler Electric,Jae,sarah.196h@hotmail.com,Subject kean,279,4,2025-09-12T16:21:00
mc_l_cfxaj5j0,List 0e4y,Chandler Electric,Jae,pat.cqp3@gmail.com,Subject ih8u,27,2,2025-04-19T19:46:00
mc_l_jwnmh173,List voug,Chandler Electric,Jae,joe.quau@gmail.com,Subject 9gu6,477,12,2025-03-21T03:24:00
mc_l_s6lprbvy,List rrgs,Chandler Electric,Jae,lisa.pq7l@gmail.com,Subject kp0b,344,19,2025-05-25T05:48:00
mc_l_vqlopzn6,List tfzh,Chandler Electric,Jae,mike.31n0@hotmail.com,Subject fuw3,350,17,2025-06-24T14:43:00
mc_l_od5vcgs2,List entt,Chandler Electric,Jae,amy.a8tn@contractor.net,Subject byg3,83,7,2026-02-21T23:08:00
mc_l_14rdf3e3,List 7et2,Chandler Electric,Jae,john.nu3l@contractor.net,Subject fwb6,282,11,2026-04-24T05:26:00
mc_l_g8z40ko9,List vqqh,Chandler Electric,Jae,dan.31y4@gmail.com,Subject dum1,465,9,2026-08-31T18:26:00
mc_l_36pvkirp,List ofuc,Chandler Electric,Jae,mark.lb79@outlook.com,Subject 8dq7,466,11,2025-04-02T16:28:00
mc_l_y89cokfp,List vze2,Chandler Electric,Jae,tom.2zsi@yahoo.com,Subject i6k8,124,7,2025-01-26T09:03:00
mc_l_9qcifwcq,List zf13,Chandler Electric,Jae,tom.nfz7@gmail.com,Subject moj8,436,12,2025-06-18T07:29:00
mc_l_rpt0v0xa,List ozp1,Chandler Electric,Jae,ann.esjg@chandlerelectric.com,Subject 1vsb,203,4,2026-09-21T21:36:00
mc_l_2h87rgc4,List u5vb,Chandler Electric,Jae,joe.xywo@contractor.net,Subject z1r7,274,16,2025-11-09T00:03:00
mc_l_4l5dqpzw,List k0go,Chandler Electric,Jae,amy.moz9@hotmail.com,Subject vcb3,402,14,2026-02-27T22:10:00
mc_l_cs7sk9v7,List mbdv,Chandler Electric,Jae,mark.b3ga@contractor.net,Subject 8i1v,60,17,2025-03-14T16:57:00
mc_l_c2ks52rg,List gjmb,Chandler Electric,Jae,pat.0st4@yahoo.com,Subject sm5z,446,9,2025-12-02T05:02:00
mc_l_d2jnmvkh,List po5e,Chandler Electric,Jae,sarah.lwab@chandlerelectric.com,Subject 0duu,219,4,2025-04-29T05:32:00
mc_l_rb3985yw,List hbv9,Chandler Electric,Jae,pat.a6xo@outlook.com,Subject 1nro,415,18,2026-02-01T02:17:00
mc_l_qbyo49n8,List 1px0,Chandler Electric,Jae,amy.x8d3@hotmail.com,Subject nliy,428,16,2026-08-23T01:09:00
mc_l_ov3zviah,List ydhh,Chandler Electric,Jae,dan.p9wx@gmail.com,Subject yfx1,464,5,2026-08-31T17:31:00
mc_l_nb8diy0k,List q9a9,Chandler Electric,Jae,amy.6jh4@yahoo.com,Subject 4ive,281,0,2025-07-19T12:49:00
mc_l_w22gcek2,List 6ajc,Chandler Electric,Jae,mike.7gj6@outlook.com,Subject 8o2i,35,17,2026-09-03T10:28:00
mc_l_0m14all2,List 93av,Chandler Electric,Jae,lisa.qcet@chandlerelectric.com,Subject 6tct,60,20,2025-11-05T06:46:00
mc_l_l2dk5jgv,List f3s2,Chandler Electric,Jae,sarah.1w8t@hotmail.com,Subject dpxy,450,13,2026-07-22T22:56:00
mc_l_wxu52hds,List ynzj,Chandler Electric,Jae,mark.ei9p@outlook.com,Subject p5zw,267,7,2026-04-28T09:35:00
mc_l_i2e9eh3j,List p0hv,Chandler Electric,Jae,mike.gtyd@yahoo.com,Subject dz9q,493,7,2026-06-30T12:24:00
mc_l_r6jgdulh,List yfz8,Chandler Electric,Jae,bob.l144@contractor.net,Subject c68j,187,14,2025-06-10T14:49:00
mc_l_pi67izu3,List n9o9,Chandler Electric,Jae,jane.q5ao@contractor.net,Subject bt4w,462,1,2026-02-08T12:50:00
mc_l_st8632vq,List z45x,Chandler Electric,Jae,ann.mr2y@outlook.com,Subject udpi,375,10,2026-02-14T17:13:00
mc_l_9bdm6zmc,List 9zay,Chandler Electric,Jae,ann.o0xe@yahoo.com,Subject o5i3,24,6,2025-08-31T06:04:00
mc_l_7ic7vh0f,List s7ay,Chandler Electric,Jae,amy.j98h@chandlerelectric.com,Subject hax9,479,14,2025-06-21T04:47:00
mc_l_usy6rrrm,List 70jh,Chandler Electric,Jae,mike.lq6p@chandlerelectric.com,Subject ukzo,261,5,2025-04-07T03:09:00
mc_l_v6z7lrvz,List dmki,Chandler Electric,Jae,tom.kvdc@outlook.com,Subject cv6v,283,4,2025-01-21T00:59:00
mc_l_6iax60c1,List brvi,Chandler Electric,Jae,chris.escq@yahoo.com,Subject h831,67,5,2025-04-08T11:06:00
mc_l_u4m0t00h,List o99d,Chandler Electric,Jae,john.bx97@hotmail.com,Subject ry6f,317,0,2026-05-04T23:24:00
mc_l_rvfmsvm2,List s9qw,Chandler Electric,Jae,tom.s5r0@contractor.net,Subject ztsu,438,12,2026-09-22T06:15:00
mc_l_g2hxkqpx,List fjx6,Chandler Electric,Jae,mark.peyv@hotmail.com,Subject h0hq,259,0,2026-06-06T08:41:00
mc_l_4ubyh7yx,List fke1,Chandler Electric,Jae,pat.tz30@yahoo.com,Subject fhh9,344,7,2025-07-23T03:42:00
mc_l_k0ccm2zv,List hqxn,Chandler Electric,Jae,mark.x56a@contractor.net,Subject j3zl,326,7,2026-05-09T18:19:00
mc_l_nnqnmt47,List n4e8,Chandler Electric,Jae,sarah.vgrn@yahoo.com,Subject nydm,472,11,2026-05-10T11:45:00
mc_l_ox4neqqj,List 3uhh,Chandler Electric,Jae,sarah.gc9k@chandlerelectric.com,Subject nof8,394,20,2025-02-17T12:30:00
mc_l_n1vqzi70,List yu0v,Chandler Electric,Jae,mike.4neh@chandlerelectric.com,Subject 21sc,335,10,2026-07-19T11:14:00
mc_l_18a3h2au,List jzoc,Chandler Electric,Jae,amy.zzdx@gmail.com,Subject db7s,167,10,2025-08-07T20:06:00
mc_l_wvz3q7vp,List x9w0,Chandler Electric,Jae,lisa.15zn@gmail.com,Subject t3bw,318,17,2026-08-24T19:17:00
mc_l_f3901gbh,List lzha,Chandler Electric,Jae,mike.wjo0@chandlerelectric.com,Subject 0abx,356,19,2026-06-24T05:19:00
mc_l_9zsihxft,List w92e,Chandler Electric,Jae,jane.j7na@gmail.com,Subject yj5c,402,13,2025-08-16T01:03:00
mc_l_d0a8b9xn,List jm0s,Chandler Electric,Jae,sarah.dqaz@chandlerelectric.com,Subject gas7,121,17,2025-02-05T14:31:00
mc_l_jf3xvnrr,List vzvv,Chandler Electric,Jae,pat.54fb@yahoo.com,Subject nnhn,203,8,2026-01-07T15:11:00
mc_l_xsls3fqt,List txcm,Chandler Electric,Jae,amy.iwq9@chandlerelectric.com,Subject o71l,207,19,2026-02-03T14:56:00
mc_l_pzj59fcx,List d6q1,Chandler Electric,Jae,chris.kbgk@chandlerelectric.com,Subject bfqj,95,19,2025-03-04T20:50:00
mc_l_holfibqe,List 62gw,Chandler Electric,Jae,sarah.9xa0@gmail.com,Subject izhl,186,0,2026-03-01T14:56:00
mc_l_49cj8wkh,List j1oa,Chandler Electric,Jae,jane.8v3k@outlook.com,Subject m6q9,389,7,2026-09-21T07:35:00
mc_l_qm4cqp9f,List ffph,Chandler Electric,Jae,joe.s0y1@gmail.com,Subject sito,397,1,2025-12-23T16:50:00
mc_l_2yd7rami,List t1jr,Chandler Electric,Jae,sue.6ili@outlook.com,Subject wpv1,465,14,2026-04-08T20:39:00
mc_l_3p4kz296,List aybd,Chandler Electric,Jae,amy.i752@outlook.com,Subject eqru,201,6,2025-11-16T08:48:00
mc_l_87cxle58,List bo1k,Chandler Electric,Jae,amy.s3eg@gmail.com,Subject xxdg,329,13,2025-06-08T15:23:00
mc_l_grog27xl,List bksw,Chandler Electric,Jae,chris.79kj@hotmail.com,Subject 91md,117,2,2025-07-20T12:36:00
mc_l_qeu9r4as,List xyo1,Chandler Electric,Jae,tom.ss7b@contractor.net,Subject h8y5,83,16,2025-01-26T14:15:00
mc_l_rj4k1utk,List 4x51,Chandler Electric,Jae,mark.j5f1@gmail.com,Subject egap,307,9,2026-07-08T01:20:00
mc_l_blp7x1i1,List 6fof,Chandler Electric,Jae,jane.qqi1@contractor.net,Subject cfdw,155,16,2025-06-22T07:09:00
mc_l_iybhc9y0,List ajwh,Chandler Electric,Jae,mike.phe6@contractor.net,Subject xujc,319,1,2026-02-14T03:32:00
