id,list_id,type,status,subject_line,from_name,reply_to,title,emails_sent,send_time,create_time
camp_spring_2026,mclist_past,regular,sent,308,2026-04-15T09:00:00-05:00,2026-04-12T14:00:00-05:00,Spring panel safety check-in from Chandler Electric,Jae Chandler,jae.chandler@Finthesiss.ai,2026 Spring panel safety
camp_solar_launch,mclist_solar,regular,draft,0,,2026-09-28T10:00:00-05:00,Residential solar - now available at Chandler Electric,Jae Chandler,jae.chandler@Finthesiss.ai,DRAFT - Solar launch announcement (HOLD - per Jae sign-off)
camp_fall_2026,mclist_past,regular,draft,0,,2026-09-25T11:00:00-05:00,Fall panel + heating-season safety,Jae Chandler,jae.chandler@Finthesiss.ai,DRAFT - 2026 Fall panel safety
mc_c_78c2733c,mc_l_w2ox,regular,draft,Campaign wdju,Subject v4f8,dan.572c@yahoo.com,6sb5 w0cxgm,383,2026-06-15T14:43:00,2025-06-22T19:51:00
mc_c_5u49uqgs,mc_l_zl08,regular,draft,Campaign 6t19,Subject lhw1,lisa.ebda@contractor.net,urpa 7nom2h,437,2025-01-30T10:23:00,2025-07-10T02:55:00
mc_c_wci6r5ve,mc_l_phat,regular,sent,Campaign segc,Subject 3z8z,mike.598y@yahoo.com,hvej 84hzvk,208,2026-03-25T12:05:00,2025-02-01T07:57:00
mc_c_foncruqn,mc_l_1gz0,regular,sent,Campaign j0bl,Subject z3od,joe.3kos@gmail.com,omhq bekiwq,329,2025-12-19T11:42:00,2026-07-25T22:33:00
mc_c_jc36bbm5,mc_l_repe,regular,draft,Campaign o3m4,Subject ih9r,tom.05a8@yahoo.com,ekqb os3wao,15,2026-06-25T11:40:00,2026-05-05T15:32:00
mc_c_wkptmtfj,mc_l_2pj5,regular,draft,Campaign m7u7,Subject utgb,lisa.3lkb@chandlerelectric.com,g50p o8lxs8,291,2026-04-26T16:36:00,2025-03-10T21:54:00
mc_c_w5tfkca1,mc_l_pyxq,regular,sent,Campaign 1usu,Subject f1y9,john.fagn@hotmail.com,gk5q 6zwhdg,245,2026-03-13T13:13:00,2025-04-09T04:56:00
mc_c_2cuijp5s,mc_l_6zyg,regular,sent,Campaign s8nw,Subject kkk9,john.37im@hotmail.com,ea4l 52be12,280,2026-09-24T12:29:00,2025-12-14T04:25:00
mc_c_b4vheb9q,mc_l_7hbz,regular,sent,Campaign 494c,Subject jgnw,jane.0k5g@outlook.com,2rix 9gue31,180,2025-08-22T08:35:00,2026-08-11T01:08:00
mc_c_js5rdpa7,mc_l_dxw0,regular,save,Campaign oeb5,Subject 24ov,dan.bmsb@chandlerelectric.com,iq11 rabqtz,305,2025-09-30T20:54:00,2025-02-06T19:45:00
mc_c_mnmfzg4p,mc_l_dvm1,regular,save,Campaign gaam,Subject b6dr,pat.9tyt@hotmail.com,c7hi ivkesg,203,2026-04-01T00:07:00,2026-05-19T06:31:00
mc_c_w4q1i85s,mc_l_5xl5,regular,draft,Campaign 8z3a,Subject 5e6m,jane.eux9@hotmail.com,wgth m1q9dd,12,2025-09-16T23:52:00,2026-09-12T08:45:00
mc_c_wlqaplwe,mc_l_ss61,regular,save,Campaign xpr8,Subject lua2,chris.kpx0@outlook.com,jbzo ayh9qb,414,2026-06-28T23:50:00,2025-11-19T17:58:00
mc_c_hfjx1hg2,mc_l_tjv9,regular,save,Campaign 0b8k,Subject rwnb,tom.o0lw@yahoo.com,9mka 7e0stx,255,2025-05-09T20:56:00,2026-09-24T16:24:00
mc_c_cfy7u2fy,mc_l_x6dq,regular,draft,Campaign vkn6,Subject 0vf1,dan.3bcz@outlook.com,k63s 6sjymu,429,2026-08-15T19:38:00,2026-06-04T22:00:00
mc_c_7hdavcpg,mc_l_qcvg,regular,draft,Campaign 376m,Subject 516q,mike.pix4@chandlerelectric.com,za8p 0yiedm,40,2025-11-28T10:11:00,2025-06-21T22:40:00
mc_c_abebg0j9,mc_l_6yg7,regular,sent,Campaign ddv5,Subject 53qz,mike.efmh@hotmail.com,ych5 h9lzck,437,2025-10-20T03:18:00,2026-08-14T15:03:00
