employee_id,last_name,first_name,department,role,start_date,years_of_service,qualification,ft_pt,union,notes
T-001,Vasquez,Mary,Administration,Principal,2019-08-01,7.4,OCT Principal Qualification,FT,Non-union,
T-002,Morrison,Janet,Administration,Vice-Principal,2020-08-01,6.4,OCT VP Qualification,FT,Non-union,
T-003,Okafor,Chidi,Administration,Vice-Principal,2021-08-01,5.4,OCT VP Qualification,FT,Non-union,EDI Lead
T-004,Albright,Cynthia,English,Department Head,2008-09-01,18.3,OCT English M.Ed.,FT,OSSTF,
T-005,Bakshi,Rajan,Mathematics,Department Head,2010-09-01,16.3,OCT Mathematics M.Sc.,FT,OSSTF,
T-006,Chen,Lily,Science,Department Head,2011-09-01,15.3,OCT Science Ph.D.,FT,OSSTF,
T-007,Dubois,Marc,French,Department Head,2012-09-01,14.3,OCT French B.Ed.,FT,OSSTF,French Immersion lead
T-008,Ellis,Sarah,Social Sciences,Department Head,2009-09-01,17.3,OCT History M.A.,FT,OSSTF,
T-009,Fernandez,Antonio,Arts,Department Head,2013-09-01,13.3,OCT Visual Arts MFA,FT,OSSTF,
T-010,Gupta,Anita,Guidance,Department Head,2014-09-01,12.3,OCT Guidance M.Ed.,FT,OSSTF,
T-011,Harrison,Thomas,Physical Education,Department Head,2007-09-01,19.3,OCT HPE B.Ed.,FT,OSSTF,Athletics coordinator
T-012,Ionescu,Dana,Technology,Department Head,2015-09-01,11.3,OCT Technology B.Eng.,FT,OSSTF,
T-013,Patterson,Robert,Music,Teacher,2006-09-01,20.3,OCT Music M.Mus.,FT,OSSTF,Music dept and jazz ensemble
T-014,Kim,Soo-Yun,Mathematics,Teacher,2016-09-01,10.3,OCT Mathematics B.Sc.,FT,OSSTF,
T-015,Lavoie,Marie,French,Teacher,2017-09-01,9.3,OCT French M.A.,FT,OSSTF,
T-016,Martinez,Diego,Science,Teacher,2018-09-01,8.3,OCT Biology B.Sc.,FT,OSSTF,
T-017,Nguyen,Thi,English,Teacher,2019-09-01,7.3,OCT English M.A.,FT,OSSTF,
T-018,O'Brien,Patrick,Social Sciences,Teacher,2020-09-01,6.3,OCT Geography B.A.,FT,OSSTF,
T-019,Prasad,Ravi,Science,Teacher,2021-09-01,5.3,OCT Physics M.Sc.,FT,OSSTF,
T-020,Quinn,Siobhan,English,Teacher,2022-09-01,4.3,OCT English B.A.,FT,OSSTF,
T-021,Rossi,Marco,Physical Education,Teacher,2023-09-01,3.3,OCT HPE B.Ed.,FT,OSSTF,Junior boys basketball
T-022,Singh,Harpreet,Mathematics,Teacher,2024-09-01,2.3,OCT Mathematics B.Ed.,FT,OSSTF,
T-023,Taylor,James,Technology,Teacher,2024-09-01,2.3,OCT Computer Science B.Sc.,FT,OSSTF,
T-024,Uddin,Farah,Guidance,Counsellor,2023-09-01,3.3,OCT Guidance M.Sw.,FT,OSSTF,
T-025,Volkov,Irina,Arts,Teacher,2025-09-01,1.3,OCT Drama B.A.,FT,OSSTF,Fall production director
,,,,,,,,,,,
Note: This is a seniority reference list maintained by the principal's office.
It is NOT the authoritative headcount source. The authoritative sources are BambooHR (roster) and Gusto (payroll) and Okta (access accounts).
This list may not reflect the most recent hires or departures and should NOT be used for the board brief headcount reconciliation.
The list above is a subset of certificated staff only. Support staff custodial and administrative staff are not included.
Total headcount for the board brief must come from the HR systems not from this list.
