record_id,organization,primary_contact,contact_email,partnership_status,last_synced,segment_tags
CRM-1101,Maplewood Community Arts Collective,Rashida Thompson,rashida.thompson@mcac.example.org,active,2026-09-30,"arts,partner_signed,keynote_invite"
CRM-1102,Toronto Youth Services Alliance,Marcus Dwyer,m.dwyer@tysa.example.org,active,2026-09-30,"youth,partner_signed,keynote_invite"
CRM-1103,Lakeshore Cultural Centre,Yuki Tanaka,yuki@lakeshorecc.example.org,active,2026-09-30,"culture,partner_signed,keynote_invite"
CRM-1104,Northgate Family Services,Grace R Rodriguez,grace.rodriguez@northgatefs.example.org,active,2026-09-30,"family,partner_signed,keynote_invite"
CRM-1105,Guadalupe Youth Circle,Sister Pilar Ramirez,pilar@guadalupeyc.example.org,active,2026-09-30,"faith,partner_signed,keynote_invite"
CRM-1106,Ridgewood Public Library Foundation,David Kellerman,d.kellerman@rplfoundation.example.org,active,2026-09-30,"literacy,partner_signed,keynote_invite"
CRM-1107,North York Somali Womens Circle,Halima Farah,halima@nysomali.example.org,prospective,2026-09-30,"newcomer,in_negotiation,keynote_invite"
CRM-1108,Tamil Community Learning Society,Prakash Sundaram,prakash@tclearning.example.org,prospective,2026-09-30,"heritage,in_negotiation,keynote_invite"
CRM-1109,Boreal Indigenous Education Council,Elder J. Beardy,jbeardy@boreal.example.org,exploratory,2026-09-30,"indigenous,exploring,no_keynote_invite_per_request"
CRM-1110,Peel Newcomer Services,Amira Hussein,a.hussein@peelnewcomer.example.org,prospective,2026-09-30,"newcomer,in_negotiation,keynote_invite"
CRM-1111,Regent Park Youth Media Lab,Kwame Adjei,kwame@regentmedia.example.org,archived,2025-05-14,"media,prior_year_declined"
CRM-1112,East York Multicultural Alliance,Fatima Al-Rashid,fatima@eastyorkma.example.org,prospective,2026-09-30,"heritage,warm_contact,keynote_invite"
CRM-1113,Casa Cultural de Toronto,Carlos Fuentes,cfuentes@casacultural.example.org,community_guest,2026-09-30,"latinx,keynote_invite"
CRM-1114,Our Lady of Guadalupe Parish,Rev. Miguel Ortega,parish@olgtoronto.example.org,community_guest,2026-09-30,"faith,keynote_invite"
CRM-1115,Sheppard East Youth Coalition,Andre Mensah,andre@seyc.example.org,paused,2026-09-30,"youth,paused"
Note: Klaviyo style CRM extract maintained by the partner organization on behalf of the equity plan community engagement arm. The partner CRM includes both formal partners with signed agreements and community guests invited to public events. Status vocabulary differs from the school outreach ledger and should not be treated as one to one. Some organizations appear in this CRM as community guests without being active programming partners.
