record_id,participant_last,participant_first,school_code,session_code,session_title,completion_date,credit_hours,completion_status
PD-4471,Albright,Cynthia,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4472,Bakshi,Rajan,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4473,Chen,Lily,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4474,Dubois,Marc,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4475,Ellis,Sarah,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4476,Fernandez,Antonio,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4477,Gupta,Anita,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4478,Harrison,Thomas,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-03,6,PARTIAL
PD-4479,Ionescu,Dana,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4480,Kim,Soo-Yun,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4481,Lavoie,Marie,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4482,Martinez,Diego,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4483,Nguyen,Thi,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4484,O'Brien,Patrick,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4485,Prasad,Ravi,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4486,Quinn,Siobhan,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4487,Rossi,Marco,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4488,Singh,Harpreet,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4489,Taylor,James,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4490,Uddin,Farah,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4491,Volkov,Irina,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4492,Whitmore,Grace,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4493,Hollis,Sean,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4494,Bianchi,Sofia,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4495,Osei,Kojo,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,,0,NOT_ENROLLED
PD-4496,Boateng,Kwame,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4497,Alcaraz,Julian,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,,0,NOT_ENROLLED
PD-4498,Restrepo,Elena,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,,0,NOT_ENROLLED
PD-4499,Morrison,Janet,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
PD-4500,Okafor,Chidi,RCI,CRP-FA26-01,Culturally Responsive Pedagogy Foundations,2026-10-04,12,COMPLETED
Note: Extract from the Maplewood School Board district professional development attendance system for Ridgewood Collegiate Institute (school code RCI). Session CRP-FA26-01 was the fall culturally responsive pedagogy training weekend. Completion status reflects the board learning system credit assignment based on facilitator sign-off. NOT_ENROLLED means the participant was not registered in the district system for this session code. PARTIAL means credit was assigned for a partial attendance. Extract generated 2026-10-08 by the district PD office.
