rsvp_id,attendee_name,affiliation,ticket_type,rsvp_status,checked_in_flag,session_selection
RSVP-8801,Rashida Thompson,Maplewood Community Arts Collective,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8802,Marcus Dwyer,Toronto Youth Services Alliance,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8803,Yuki Tanaka,Lakeshore Cultural Centre,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8804,Grace Rivera Rodriguez,Northgate Family Services,partner_complimentary,DECLINED,,
RSVP-8805,Sister Pilar Ramirez,Guadalupe Youth Circle,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8806,David Kellerman,Ridgewood Public Library Foundation,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8807,Halima Farah,North York Somali Womens Circle,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8808,Prakash Sundaram,Tamil Community Learning Society,partner_complimentary,TENTATIVE,,
RSVP-8809,Elder Josephine Beardy,Boreal Indigenous Education Council,partner_complimentary,DECLINED,,
RSVP-8810,Andre Mensah,Sheppard East Youth Coalition,partner_complimentary,NO_RESPONSE,,
RSVP-8811,Amira Hussein,Peel Newcomer Services,partner_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8812,Dr. Patricia Hernandez,Maplewood School Board,superintendent,CONFIRMED,,keynote_afternoon
RSVP-8813,Trustee Margaret Liu,Maplewood School Board,trustee_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8814,Trustee Rita Patel,Maplewood School Board,trustee_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8815,Trustee Douglas Williams,Maplewood School Board,trustee_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8816,Trustee Aria Chen,Maplewood School Board,trustee_complimentary,DECLINED,,
RSVP-8817,VP Chidi Okafor,Ridgewood Collegiate,school_staff,CONFIRMED,,keynote_afternoon
RSVP-8818,VP Janet Morrison,Ridgewood Collegiate,school_staff,CONFIRMED,,keynote_afternoon
RSVP-8819,Michelle Chen,Northgate Secondary,school_leader,CONFIRMED,,keynote_afternoon
RSVP-8820,Priya Ghosh,Lakeview Collegiate,school_leader,CONFIRMED,,keynote_afternoon
RSVP-8821,Preet Johal,Cedarhurst Secondary,school_leader,CONFIRMED,,keynote_afternoon
RSVP-8822,Kate Fitzgerald,Board Office,board_office,CONFIRMED,,keynote_afternoon
RSVP-8823,Ama Osei-Kofi,Board Office,board_office,CONFIRMED,,keynote_afternoon
RSVP-8824,Amelie Delacroix,Willowdale Secondary,school_leader,CONFIRMED,,keynote_afternoon
RSVP-8825,Rev. Miguel Ortega,Our Lady of Guadalupe Parish,community_guest,CONFIRMED,,keynote_afternoon
RSVP-8826,Carlos Fuentes,Casa Cultural de Toronto,community_guest,CONFIRMED,,keynote_afternoon
RSVP-8827,Dr. Amara Osei,Independent Consultant,facilitator_complimentary,CONFIRMED,,keynote_afternoon
RSVP-8828,Reporter Lena Diallo,Toronto Compass,media,CONFIRMED,,keynote_afternoon
Note: Eventbrite export for the Maplewood Educational Leadership Conference keynote day. RSVP status reflects the response the attendee submitted through the registration link. checked_in_flag will be populated by the on site scanners the day of the event. This export captures registrations only and does not include walk in attendance which is tracked separately by the conference desk.
