mentee_id,last_name,first_name,current_role_recorded,current_school_recorded,mentorship_start,last_recorded_check_in,total_sessions,coaching_focus,notes
M-01,Adeyemi,Folake,Teacher,Brookstone Academy,2019-09-15,2026-08-22,42,curriculum leadership,pursuing vice-principal qualification part 2
M-02,Chen,Michelle,Vice-Principal,Northgate Secondary,2018-01-10,2026-09-18,68,school culture and equity,confirmed VP appointment August 2024
M-03,Delacroix,Amelie,Teacher,Willowdale Secondary,2020-09-20,2026-07-05,31,assessment practice,new department head as of Sep 2026
M-04,Egwuatu,Ngozi,Teacher,Brookstone Academy,2021-02-14,2026-06-12,26,classroom management,considering VP application this cycle
M-05,Fitzgerald,Kate,Teacher on secondment,Board Office,2019-11-05,2026-09-30,45,systems leadership,on curriculum secondment 2026-27
M-06,Ghosh,Priya,Vice-Principal,Lakeview Collegiate,2017-09-12,2026-08-14,74,leadership under pressure,confirmed VP appointment January 2023
M-07,Hernandez,Luz,Teacher,Ridgewood Collegiate,2022-08-30,2026-09-25,22,early career sustainability,internal mentee
M-08,Ito,Sachiko,Teacher,Meadowbrook Secondary,2020-01-15,2026-06-28,29,culturally responsive practice,interviewed twice for VP this fall
M-09,Johal,Preet,Vice-Principal,Cedarhurst Secondary,2018-09-10,2026-08-05,63,equity work in white spaces,confirmed VP appointment July 2025
M-10,Kariuki,Wanjiku,Teacher,Brookstone Academy,2022-01-20,2026-09-11,18,parent partnership,
M-11,Lopez,Marisela,Teacher,Willowdale Secondary,2021-08-25,2026-09-08,24,new teacher retention,
M-12,Mbeki,Thandi,Teacher,Ridgewood Collegiate,2023-09-05,2026-09-19,14,first year induction,internal mentee
M-13,Nikolic,Ana,Teacher,Meadowbrook Secondary,2020-09-10,2026-05-30,30,mathematics leadership,shortlisted for VP short course
M-14,Osei-Kofi,Ama,Teacher,Board Office,2019-08-20,2026-09-02,41,program design,currently seconded to district equity office
Note: Airtable extract of the coaching log Mary Vasquez maintains across her mentee cohort. Roles recorded reflect the last confirmed role the mentee shared with Mary; some entries may be stale between check ins. Total sessions counts one on one coaching sessions of 30 minutes or longer. External appointments and career moves should be corroborated with a second source before being cited in any public setting.
