signin_id,session_day,arrival_time,printed_name,department,initials,notes
S001,2026-10-03,08:47,Cynthia Albright,English,CA,
S002,2026-10-03,08:51,Rajan Bakshi,Mathematics,RB,
S003,2026-10-03,08:53,Lily Chen,Science,LC,
S004,2026-10-03,08:55,Marc Dubois,French,MD,
S005,2026-10-03,08:58,Sarah Ellis,Social Sciences,SE,
S006,2026-10-03,09:02,Antonio Fernandez,Arts,AF,
S007,2026-10-03,09:04,Anita Gupta,Guidance,AG,
S008,2026-10-03,09:06,Thomas Harrison,Physical Education,TH,arrived late from parking
S009,2026-10-03,09:11,Dana Ionescu,Technology,DI,
S010,2026-10-03,09:13,Robert Patterson,Music,RP,
S011,2026-10-03,09:15,Soo-Yun Kim,Mathematics,SK,
S012,2026-10-03,09:16,Marie Lavoie,French,ML,
S013,2026-10-03,09:20,Diego Martinez,Science,DM,
S014,2026-10-03,09:22,Thi Nguyen,English,TN,
S015,2026-10-03,09:25,Patrick O'Brien,Social Sciences,POB,
S016,2026-10-03,09:28,Ravi Prasad,Science,RP,note: same initials as R Patterson
S017,2026-10-03,09:30,Siobhan Quinn,English,SQ,
S018,2026-10-03,09:32,Marco Rossi,Physical Education,MR,
S019,2026-10-03,09:35,Harpreet Singh,Mathematics,HS,
S020,2026-10-03,09:36,James Taylor,Technology,JT,
S021,2026-10-03,09:38,Farah Uddin,Guidance,FU,
S022,2026-10-03,09:41,Irina Volkov,Arts,IV,
S023,2026-10-03,09:44,Kwame Boateng,Science,KB,new hire fall term
S024,2026-10-03,09:47,Elena Restrepo,Spanish LOTE,ER,new LOTE lead
S025,2026-10-04,08:50,Cynthia Albright,English,CA,day 2
S026,2026-10-04,08:52,Rajan Bakshi,Mathematics,RB,day 2
S027,2026-10-04,08:55,Lily Chen,Science,LC,day 2
S028,2026-10-04,08:57,Marc Dubois,French,MD,day 2
S029,2026-10-04,09:00,Sarah Ellis,Social Sciences,SE,day 2
S030,2026-10-04,09:02,Antonio Fernandez,Arts,AF,day 2
S031,2026-10-04,09:05,Anita Gupta,Guidance,AG,day 2
S032,2026-10-04,09:10,Thomas Harrison,Physical Education,TH,day 2 - left early for tournament coaching
S033,2026-10-04,09:12,Dana Ionescu,Technology,DI,day 2
S034,2026-10-04,09:14,Robert Patterson,Music,RP,day 2
S035,2026-10-04,09:17,Soo-Yun Kim,Mathematics,SK,day 2
S036,2026-10-04,09:19,Marie Lavoie,French,ML,day 2
S037,2026-10-04,09:22,Diego Martinez,Science,DM,day 2
S038,2026-10-04,09:24,Thi Nguyen,English,TN,day 2
S039,2026-10-04,09:26,Patrick OBrien,Social Sciences,POB,day 2 - name spelled without apostrophe
S040,2026-10-04,09:28,Ravi Prasad,Science,RP,day 2
S041,2026-10-04,09:30,Siobhan Quinn,English,SQ,day 2
S042,2026-10-04,09:34,Marco Rossi,Physical Education,MR,day 2
S043,2026-10-04,09:36,Harpreet Singh,Mathematics,HS,day 2
S044,2026-10-04,09:38,Farah Uddin,Guidance,FU,day 2
S045,2026-10-04,09:41,Irina Volkov,Arts,IV,day 2
S046,2026-10-04,09:44,Elena Restrepo,Spanish LOTE,ER,day 2
S047,2026-10-04,09:47,,unassigned,,signature illegible
S048,2026-10-04,09:52,J. Taylor,Technology,JT,day 2 - initials only entered
Note: This is a scan of the paper sign-in sheet from the fall culturally responsive pedagogy training weekend held in the Ridgewood library. Entries were transcribed from handwritten signatures. Not all attendees may appear as staff completed the sign-in on either day but not both. Some entries may be duplicates across days. This sheet is one input among several; treat it as evidence but not the sole authority.
