employee_id,last_name,first_name,department,pay_period_start,pay_period_end,status_code,gross_pay_cad,leave_type,notes
T-001,Vasquez,Mary,Administration,2026-10-01,2026-10-15,ACTIVE,4923.08,,principal
T-002,Morrison,Janet,Administration,2026-10-01,2026-10-15,ACTIVE,4192.31,,vice-principal
T-003,Okafor,Chidi,Administration,2026-10-01,2026-10-15,ACTIVE,4192.31,,vice-principal EDI lead
T-004,Albright,Cynthia,English,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-005,Bakshi,Rajan,Mathematics,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-006,Chen,Lily,Science,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-007,Dubois,Marc,French,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-008,Ellis,Sarah,Social Sciences,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-009,Fernandez,Antonio,Arts,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-010,Gupta,Anita,Guidance,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-011,Harrison,Thomas,Physical Education,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-012,Ionescu,Dana,Technology,2026-10-01,2026-10-15,ACTIVE,3846.15,,dept head
T-013,Patterson,Robert,Music,2026-10-01,2026-10-15,LEAVE,0,short-term-disability,cardiac procedure recovery Sep 28 through Oct 20
T-014,Kim,Soo-Yun,Mathematics,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-015,Lavoie,Marie,French,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-016,Martinez,Diego,Science,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-017,Nguyen,Thi,English,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-018,O'Brien,Patrick,Social Sciences,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-019,Prasad,Ravi,Science,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-020,Quinn,Siobhan,English,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-021,Rossi,Marco,Physical Education,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-022,Singh,Harpreet,Mathematics,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-023,Taylor,James,Technology,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-024,Uddin,Farah,Guidance,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-025,Volkov,Irina,Arts,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-026,Boateng,Kwame,Science,2026-10-01,2026-10-15,ACTIVE,3384.61,,new hire Sep 2026
T-027,Restrepo,Elena,Spanish LOTE,2026-10-01,2026-10-15,PENDING,0,,onboarding paperwork not finalized until Oct 7
T-028,Novak,Petra,English,2026-10-01,2026-10-15,LEAVE,0,parental,parental leave through Jan 2027
T-029,Alcaraz,Julian,Guidance,2026-10-01,2026-10-15,ACTIVE,3384.61,,new hire Sep 2026
T-030,Whitmore,Grace,Special Education,2026-10-01,2026-10-15,ACTIVE,3538.46,,
T-031,Osei,Kojo,Mathematics,2026-10-01,2026-10-15,ACTIVE,3384.61,,new hire Sep 2026
T-032,Diallo,Aminata,French,2026-10-01,2026-10-15,LEAVE,0,personal,approved personal leave Oct 2 through Oct 9
T-033,Yamamoto,Ken,Technology,2026-10-01,2026-10-15,LOA,0,unpaid-loa,approved leave for family emergency Sep 15 through Nov 15
T-034,Bianchi,Sofia,Arts,2026-10-01,2026-10-15,ACTIVE,3384.61,,
T-035,Hollis,Sean,Physical Education,2026-10-01,2026-10-15,ACTIVE,3538.46,,
Note: Payroll snapshot for the pay period ending 2026-10-15. Values are gross biweekly and are not adjusted for benefit deductions statutory withholdings or pension contributions. Status codes: ACTIVE means on regular payroll for the period. LEAVE means on approved leave with the leave type indicated. LOA means unpaid leave of absence. PENDING means onboarding not finalized so no pay processed this period. This snapshot is one payroll cycle only and does not reflect the full staff complement across the school year.
