id,employeeId,name,type,start,end
who-1,emp-3001,Colleague One,PTO,2026-11-14,2026-11-14
who-2,emp-3001,Priya Diaz,PTO,2026-11-02,2026-11-02
who-3,emp-3002,Marcus Diaz,Holiday,2026-11-03,2026-11-03
who-4,emp-3003,Dana Diaz,PTO,2026-11-04,2026-11-04
who-5,emp-3004,Evan Diaz,PTO,2026-11-05,2026-11-05
who-6,emp-3005,Grace Diaz,Holiday,2026-11-06,2026-11-06
who-7,emp-3006,Nadia Diaz,PTO,2026-11-07,2026-11-07
who-8,emp-3007,Sam Diaz,Holiday,2026-11-08,2026-11-08
who-9,emp-3008,Tomas Diaz,Holiday,2026-11-09,2026-11-09
who-10,emp-3009,Wendy Diaz,PTO,2026-11-10,2026-11-10
who-11,emp-3010,Leo Diaz,Sick,2026-11-11,2026-11-11
who-12,emp-3011,Aisha Diaz,PTO,2026-11-12,2026-11-12
who-13,emp-3012,Ravi Diaz,Sick,2026-11-13,2026-11-13
who-14,emp-3013,Mia Diaz,PTO,2026-11-14,2026-11-14
who-15,emp-3014,Owen Diaz,Sick,2026-11-15,2026-11-15
who-16,emp-3015,Lena Diaz,Holiday,2026-11-16,2026-11-16
who-17,emp-3016,Kai Diaz,Holiday,2026-11-17,2026-11-17
who-18,emp-3017,Nora Diaz,PTO,2026-11-18,2026-11-18
who-19,emp-3018,Ivan Diaz,PTO,2026-11-19,2026-11-19
who-20,emp-3019,Zoe Diaz,PTO,2026-11-20,2026-11-20
who-21,emp-3020,Cole Diaz,Sick,2026-11-21,2026-11-21
who-22,emp-3021,Priya Park,PTO,2026-11-02,2026-11-02
who-23,emp-3022,Marcus Park,PTO,2026-11-03,2026-11-03
who-24,emp-3023,Dana Park,PTO,2026-11-04,2026-11-04
who-25,emp-3024,Evan Park,Sick,2026-11-05,2026-11-05
who-26,emp-3025,Grace Park,Sick,2026-11-06,2026-11-06
who-27,emp-3026,Nadia Park,Holiday,2026-11-07,2026-11-07
who-28,emp-3027,Sam Park,PTO,2026-11-08,2026-11-08
who-29,emp-3028,Tomas Park,Holiday,2026-11-09,2026-11-09
who-30,emp-3029,Wendy Park,Sick,2026-11-10,2026-11-10
who-31,emp-3030,Leo Park,Sick,2026-11-11,2026-11-11
who-32,emp-3031,Aisha Park,Sick,2026-11-12,2026-11-12
who-33,emp-3032,Ravi Park,Sick,2026-11-13,2026-11-13
who-34,emp-3033,Mia Park,Holiday,2026-11-14,2026-11-14
who-35,emp-3034,Owen Park,Sick,2026-11-15,2026-11-15
who-36,emp-3035,Lena Park,Sick,2026-11-16,2026-11-16
who-37,emp-3036,Kai Park,PTO,2026-11-17,2026-11-17
who-38,emp-3037,Nora Park,Sick,2026-11-18,2026-11-18
who-39,emp-3038,Ivan Park,PTO,2026-11-19,2026-11-19
who-40,emp-3039,Zoe Park,Holiday,2026-11-20,2026-11-20
who-41,emp-3040,Cole Park,Holiday,2026-11-21,2026-11-21
who-42,emp-3041,Priya Cho,Sick,2026-11-02,2026-11-02
who-43,emp-3042,Marcus Cho,Holiday,2026-11-03,2026-11-03
who-44,emp-3043,Dana Cho,Sick,2026-11-04,2026-11-04
who-45,emp-3044,Evan Cho,Holiday,2026-11-05,2026-11-05
who-46,emp-3045,Grace Cho,PTO,2026-11-06,2026-11-06
who-47,emp-3046,Nadia Cho,Sick,2026-11-07,2026-11-07
who-48,emp-3047,Sam Cho,PTO,2026-11-08,2026-11-08
who-49,emp-3048,Tomas Cho,Sick,2026-11-09,2026-11-09
who-50,emp-3049,Wendy Cho,PTO,2026-11-10,2026-11-10
who-51,emp-3050,Leo Cho,Holiday,2026-11-11,2026-11-11
who-52,emp-3051,Aisha Cho,Holiday,2026-11-12,2026-11-12
who-53,emp-3052,Ravi Cho,Holiday,2026-11-13,2026-11-13
who-54,emp-3053,Mia Cho,Holiday,2026-11-14,2026-11-14
who-55,emp-3054,Owen Cho,Holiday,2026-11-15,2026-11-15
who-56,emp-3055,Lena Cho,Sick,2026-11-16,2026-11-16
who-57,emp-3056,Kai Cho,Sick,2026-11-17,2026-11-17
who-58,emp-3057,Nora Cho,Holiday,2026-11-18,2026-11-18
