Care Package and Shipping Log	Family shipments	Kept by David				
Date Sent	Recipient	Address	Contents	Carrier ref	Cost	Status
10/05/2026	Emily Porter	Bay Port University, student mail	Chamomile tea, dozen sugar cookies, a note	8841 220 114	$18.40	Delivered
10/19/2026	Ryan Porter	Boston apartment	Sourdough loaf, jar of herb salt from the garden	8841 220 219	$22.10	Delivered
11/02/2026	Emily Porter	Bay Port University, student mail	Cookies, dark chocolate, exam week note	8841 220 337	$19.75	Delivered
11/09/2026	Emily Porter	Bay Port University, student mail	Chamomile tea, oat cookies, a watercolor card	8841 220 451	$18.40	In transit
				Total to date	$78.65	
						
Note	Emily is in her fall 2L stretch, ship Mondays so it lands midweek before her reading load peaks.					
Note	Ryan prefers bread over sweets, send a loaf not cookies. He is (617) 555-0512.					
Planned	Holiday tin for both kids and Margaret the week of 12/14, hold off shipping cookies in warm boxes.					
