Porter's Bakehouse Staff Schedule	Week of Monday 11/09/2026 to Sunday 11/15/2026	Posted by Sofia Chen						
Employee	Role	Mon 11/09	Tue 11/10	Wed 11/11	Thu 11/12	Fri 11/13	Sat 11/14	Sun 11/15
David Porter	Owner/Pastry Chef	Off	3:45a-2:00p	3:45a-2:00p	3:45a-2:00p	3:45a-5:30p	8:00a-3:00p	9:30a-2:00p
Jake Thompson	Head Baker	Off	3:45a-12:00p	3:45a-12:00p	3:45a-12:00p	3:45a-12:00p	5:00a-1:00p	5:00a-1:00p
Sofia Chen	Manager	Off	7:00a-3:30p	7:00a-3:30p	7:00a-3:30p	7:00a-3:30p	7:00a-3:30p	Off
Maria Santos	Counter	Off	6:00a-1:00p	6:00a-1:00p	Off	6:00a-1:00p	6:00a-2:00p	9:00a-3:00p
Devon Pratt	Counter	Off	11:00a-5:00p	11:00a-5:00p	11:00a-5:00p	11:00a-5:00p	Off	Off
Ava Lindqvist	Counter (PT)	Off	Off	Off	11:00a-5:00p	11:00a-5:00p	11:00a-5:00p	9:00a-3:00p
Luis Ferreira	Prep Cook	Off	4:30a-10:30a	4:30a-10:30a	4:30a-10:30a	4:30a-10:30a	Off	5:30a-11:00a
Grace Kim	Prep Cook (PT)	Off	Off	5:00a-10:00a	Off	5:00a-10:00a	5:30a-10:30a	Off
Sam Whitfield	Delivery Driver	Off	Off	7:00a-11:00a	Off	7:00a-11:00a	7:00a-10:00a	Off
								
Notes	Wholesale deliveries run Wednesday and Friday mornings, Sam on the route by 7:15a.							
Notes	Friday afternoon is the wedding cake decorating block. Hold the kitchen quiet 1:00p to 4:00p.							
Notes	Ava covers Saturday counter while David is at the market until about 8:00a.							
Time off	Devon requested off the weekend of 11/14, denied for now, revisit after the holiday schedule lands.							
